mun_code,efficient_measure,wellfare_measure,profile,province
BUF,0.999571621,0.574703629,1,Eastern Cape
CPT,0.9999993532,0.708695779,1,Western Cape
DC1,0.9999528547,0.712713918,1,Western Cape
DC10,0.9996863376,0.661455687,1,Eastern Cape
DC12,0.9996929722,0.258010173,2,Eastern Cape
DC13,0.998932759,0.382382194,2,Eastern Cape
DC14,0.9999259463,0.337836395,2,Eastern Cape
DC15,0.8290818503,0.17373136,2,Eastern Cape
DC16,0.9990655975,0.682325053,1,Free State
DC18,0.9788620112,0.684813125,1,Free State
DC19,0.9994533333,0.571394359,1,Free State
DC2,0.9992409687,0.713670908,1,Western Cape
DC20,0.9999406447,0.676326331,1,Free State
DC21,0.9992596959,0.287873448,2,KwaZulu-Natal
DC22,0.9999936887,0.520866911,1,KwaZulu-Natal
DC23,0.9983724624,0.328014519,2,KwaZulu-Natal
DC24,0.9993122819,0.235772549,2,KwaZulu-Natal
DC25,0.9970812792,0.554208906,1,KwaZulu-Natal
DC26,0.9999640086,0.308937344,2,KwaZulu-Natal
DC27,0.9955725654,0.175245324,2,KwaZulu-Natal
DC28,1.0,0.398295342,2,KwaZulu-Natal
DC29,0.9997731193,0.324697388,2,KwaZulu-Natal
DC3,0.9993571782,0.680925555,1,Western Cape
DC30,0.9994551481,0.538534472,1,Mpumalanga
DC31,0.9996676305,0.538256843,1,Mpumalanga
DC32,0.9999917117,0.386202841,2,Mpumalanga
DC33,0.9992820759,0.242002535,2,Limpopo
DC34,0.9952343536,0.231448872,2,Limpopo
DC35,0.9997910152,0.403480151,2,Limpopo
DC36,0.9999586018,0.439222902,2,Limpopo
DC37,0.9994526523,0.478888832,2,North West
DC38,0.9983422218,0.39875261,2,North West
DC39,0.9974389931,0.374978439,2,North West
DC4,0.9962132984,0.706404335,1,Western Cape
DC40,0.9997561803,0.689395456,1,North West
DC42,0.9999980789,0.713566072,1,Gauteng
DC43,0.9969124022,0.214061281,2,KwaZulu-Natal
DC44,0.9987656701,0.134247986,2,Eastern Cape
DC45,0.9992461622,0.380493247,2,Northern Cape
DC47,0.9986843099,0.226523933,2,Limpopo
DC48,0.9998572333,0.63475284,1,Gauteng
DC5,0.9997754162,0.718852518,1,Western Cape
DC6,0.9998324098,0.68193479,1,Northern Cape
DC7,0.9984377466,0.660349775,1,Northern Cape
DC8,0.9995299751,0.633034743,1,Northern Cape
DC9,0.9998969837,0.665701277,1,Northern Cape
EC101,0.9997253064,0.725868116,1,Eastern Cape
EC102,0.9992789733,0.666878204,1,Eastern Cape
EC103,0.9965696229,0.648199708,1,Eastern Cape
EC104,0.9988995861,0.662546256,1,Eastern Cape
