,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,BUF,Buffalo City,Total,404009112,Eastern Cape,27.6434844,27.6434844
2013,AUDA,DC1,West Coast,Total,29983600,Western Cape,18.6175626,18.6175626
2013,AUDA,DC10,Cacadu,Total,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC12,Amathole,Total,-65629594,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC13,Chris Hani,Total,187691980,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC14,Joe Gqabi,Total,42799743,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC15,O.R.Tambo,Total,199982939,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC16,Xhariep,Total,5754722,Free State,25.2837585,25.2837585
2013,AUDA,DC18,Lejweleputswa,Total,8044383,Free State,26.2304616,26.2304616
2013,AUDA,DC19,Thabo Mofutsanyane,Total,25309749,Free State,28.299435,28.299435
2013,AUDA,DC2,Cape Winelands,Total,1903324,Western Cape,19.7591675,19.7591675
2013,AUDA,DC20,Fezile Dabi,Total,0,Free State,27.7373373,27.7373373
2013,AUDA,DC21,Ugu,Total,129654518,KwaZulu-Natal,30.2512728,30.2512728
2013,AUDA,DC22,Umgungundlovu,Total,30817714,KwaZulu-Natal,30.3435506,30.3435506
2013,AUDA,DC23,Uthukela,Total,64472480,KwaZulu-Natal,29.6035495,29.6035495
2013,AUDA,DC24,Umzinyathi,Total,54065076,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,DC25,Amajuba,Total,44785259,KwaZulu-Natal,30.0665236,30.0665236
2013,AUDA,DC26,Zululand,Total,72148018,KwaZulu-Natal,31.4456179,31.4456179
2013,AUDA,DC27,Umkhanyakude,Total,29113311,KwaZulu-Natal,32.5372741,32.5372741
2013,AUDA,DC28,Uthungulu,Total,29846958,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,DC29,iLembe,Total,42252572,KwaZulu-Natal,31.1710389,31.1710389
2013,AUDA,DC3,Overberg,Total,1221210,Western Cape,19.7591675,19.7591675
2013,AUDA,DC30,Gert Sibande,Total,55790942,Mpumalanga,29.9740534,29.9740534
2013,AUDA,DC31,Nkangala,Total,25740482,Mpumalanga,29.6035495,29.6035495
2013,AUDA,DC32,Ehlanzeni,Total,16347748,Mpumalanga,31.2626366,31.2626366
2013,AUDA,DC33,Mopani,Total,527911191,Limpopo,30.7160431,30.7160431
2013,AUDA,DC35,Capricorn,Total,222091149,Limpopo,29.2320784,29.2320784
2013,AUDA,DC36,Waterberg,Total,8183514,Limpopo,28.299435,28.299435
2013,AUDA,DC37,Bojanala,Total,19920283,North West,27.3616476,27.3616476
2013,AUDA,DC4,Eden,Total,45332193,Western Cape,22.047637,22.047637
2013,AUDA,DC40,Dr Kenneth Kaunda,Total,32334681,North West,26.5137964,26.5137964
2013,AUDA,DC42,Sedibeng,Total,47095145,Gauteng,28.2058768,28.2058768
