,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,3916670850,AUDA,BUF,Buffalo City,Total Cash Receipts by Source,Eastern Cape,27.6434844,27.6434844
2013,3595324786,AUDA,BUF,Buffalo City,Total Cash Payments by Type,Eastern Cape,27.6434844,27.6434844
2013,26880069000,AUDA,CPT,City of Cape Town,Total Cash Receipts by Source,Western Cape,18.4680927,18.4680927
2013,25477705000,AUDA,CPT,City of Cape Town,Total Cash Payments by Type,Western Cape,18.4680927,18.4680927
2013,279832396,AUDA,DC1,West Coast,Total Cash Receipts by Source,Western Cape,18.6175626,18.6175626
2013,254835902,AUDA,DC1,West Coast,Total Cash Payments by Type,Western Cape,18.6175626,18.6175626
2013,100725419,AUDA,DC10,Cacadu,Total Cash Receipts by Source,Eastern Cape,25.6223644,25.6223644
2013,127516047,AUDA,DC10,Cacadu,Total Cash Payments by Type,Eastern Cape,25.6223644,25.6223644
2013,1294021910,AUDA,DC12,Amathole,Total Cash Receipts by Source,Eastern Cape,27.3616476,27.3616476
2013,1449251734,AUDA,DC12,Amathole,Total Cash Payments by Type,Eastern Cape,27.3616476,27.3616476
2013,934517450,AUDA,DC13,Chris Hani,Total Cash Receipts by Source,Eastern Cape,26.7967849,26.7967849
2013,961986138,AUDA,DC13,Chris Hani,Total Cash Payments by Type,Eastern Cape,26.7967849,26.7967849
2013,463485061,AUDA,DC14,Joe Gqabi,Total Cash Receipts by Source,Eastern Cape,26.9852422,26.9852422
2013,457316925,AUDA,DC14,Joe Gqabi,Total Cash Payments by Type,Eastern Cape,26.9852422,26.9852422
2013,1371058953,AUDA,DC15,O.R.Tambo,Total Cash Receipts by Source,Eastern Cape,29.2320784,29.2320784
2013,1598105967,AUDA,DC15,O.R.Tambo,Total Cash Payments by Type,Eastern Cape,29.2320784,29.2320784
2013,41172679,AUDA,DC16,Xhariep,Total Cash Receipts by Source,Free State,25.2837585,25.2837585
2013,54832615,AUDA,DC16,Xhariep,Total Cash Payments by Type,Free State,25.2837585,25.2837585
2013,95908853,AUDA,DC18,Lejweleputswa,Total Cash Receipts by Source,Free State,26.2304616,26.2304616
2013,96042655,AUDA,DC18,Lejweleputswa,Total Cash Payments by Type,Free State,26.2304616,26.2304616
2013,87875632,AUDA,DC19,Thabo Mofutsanyane,Total Cash Receipts by Source,Free State,28.299435,28.299435
2013,86097010,AUDA,DC19,Thabo Mofutsanyane,Total Cash Payments by Type,Free State,28.299435,28.299435
2013,308610715,AUDA,DC2,Cape Winelands,Total Cash Receipts by Source,Western Cape,19.7591675,19.7591675
2013,277168703,AUDA,DC2,Cape Winelands,Total Cash Payments by Type,Western Cape,19.7591675,19.7591675
2013,145526000,AUDA,DC20,Fezile Dabi,Total Cash Receipts by Source,Free State,27.7373373,27.7373373
2013,175941000,AUDA,DC20,Fezile Dabi,Total Cash Payments by Type,Free State,27.7373373,27.7373373
2013,892380375,AUDA,DC21,Ugu,Total Cash Receipts by Source,KwaZulu-Natal,30.2512728,30.2512728
2013,871767191,AUDA,DC21,Ugu,Total Cash Payments by Type,KwaZulu-Natal,30.2512728,30.2512728
2013,530364929,AUDA,DC22,Umgungundlovu,Total Cash Receipts by Source,KwaZulu-Natal,30.3435506,30.3435506
2013,524527180,AUDA,DC22,Umgungundlovu,Total Cash Payments by Type,KwaZulu-Natal,30.3435506,30.3435506
2013,631560508,AUDA,DC23,Uthukela,Total Cash Receipts by Source,KwaZulu-Natal,29.6035495,29.6035495
2013,571191986,AUDA,DC23,Uthukela,Total Cash Payments by Type,KwaZulu-Natal,29.6035495,29.6035495
2013,497798539,AUDA,DC24,Umzinyathi,Total Cash Receipts by Source,KwaZulu-Natal,30.6199895,30.6199895
2013,481974917,AUDA,DC24,Umzinyathi,Total Cash Payments by Type,KwaZulu-Natal,30.6199895,30.6199895
2013,189391908,AUDA,DC25,Amajuba,Total Cash Receipts by Source,KwaZulu-Natal,30.0665236,30.0665236
