,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,BUF,Buffalo City,Bulk Electricity,65656286,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Bulk Water,10601718,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,PAYE deductions,8912032,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,VAT (output less input),0,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Pensions / Retirement deductions,13018652,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Loan repayments,27102086,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Trade Creditors,145937497,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Auditor General,109148,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Other,132671693,Eastern Cape,27.6434844,27.6434844
2013,AUDA,BUF,Buffalo City,Total,404009112,Eastern Cape,27.6434844,27.6434844
2013,AUDA,DC1,West Coast,Bulk Electricity,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Bulk Water,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,PAYE deductions,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,VAT (output less input),138459,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Pensions / Retirement deductions,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Loan repayments,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Trade Creditors,29845141,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Auditor General,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Other,0,Western Cape,18.6175626,18.6175626
2013,AUDA,DC1,West Coast,Total,29983600,Western Cape,18.6175626,18.6175626
2013,AUDA,DC10,Cacadu,Bulk Electricity,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Bulk Water,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,PAYE deductions,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,VAT (output less input),0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Pensions / Retirement deductions,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Loan repayments,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Trade Creditors,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Auditor General,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Other,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC10,Cacadu,Total,0,Eastern Cape,25.6223644,25.6223644
2013,AUDA,DC12,Amathole,Bulk Electricity,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Bulk Water,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,PAYE deductions,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,VAT (output less input),0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Pensions / Retirement deductions,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Loan repayments,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Trade Creditors,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Auditor General,0,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Other,-65629594,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC12,Amathole,Total,-65629594,Eastern Cape,27.3616476,27.3616476
2013,AUDA,DC13,Chris Hani,Bulk Electricity,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Bulk Water,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,PAYE deductions,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,VAT (output less input),0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Pensions / Retirement deductions,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Loan repayments,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Trade Creditors,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Auditor General,0,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Other,187691980,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC13,Chris Hani,Total,187691980,Eastern Cape,26.7967849,26.7967849
2013,AUDA,DC14,Joe Gqabi,Bulk Electricity,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Bulk Water,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,PAYE deductions,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,VAT (output less input),0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Pensions / Retirement deductions,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Loan repayments,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Trade Creditors,27240551,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Auditor General,0,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Other,15559192,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC14,Joe Gqabi,Total,42799743,Eastern Cape,26.9852422,26.9852422
2013,AUDA,DC15,O.R.Tambo,Bulk Electricity,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Bulk Water,89469187,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,PAYE deductions,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,VAT (output less input),0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Pensions / Retirement deductions,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Loan repayments,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Trade Creditors,110513752,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Auditor General,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Other,0,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC15,O.R.Tambo,Total,199982939,Eastern Cape,29.2320784,29.2320784
2013,AUDA,DC16,Xhariep,Bulk Electricity,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Bulk Water,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,PAYE deductions,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,VAT (output less input),0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Pensions / Retirement deductions,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Loan repayments,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Trade Creditors,2609630,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Auditor General,0,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Other,3145092,Free State,25.2837585,25.2837585
2013,AUDA,DC16,Xhariep,Total,5754722,Free State,25.2837585,25.2837585
2013,AUDA,DC18,Lejweleputswa,Bulk Electricity,0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Bulk Water,0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,PAYE deductions,0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,VAT (output less input),0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Pensions / Retirement deductions,0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Loan repayments,1585085,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Trade Creditors,1042967,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Auditor General,0,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Other,5416331,Free State,26.2304616,26.2304616
2013,AUDA,DC18,Lejweleputswa,Total,8044383,Free State,26.2304616,26.2304616
2013,AUDA,DC19,Thabo Mofutsanyane,Bulk Electricity,0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Bulk Water,0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,PAYE deductions,0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,VAT (output less input),0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Pensions / Retirement deductions,19977,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Loan repayments,0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Trade Creditors,4105594,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Auditor General,0,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Other,21184178,Free State,28.299435,28.299435
2013,AUDA,DC19,Thabo Mofutsanyane,Total,25309749,Free State,28.299435,28.299435
2013,AUDA,DC2,Cape Winelands,Bulk Electricity,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Bulk Water,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,PAYE deductions,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,VAT (output less input),0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Pensions / Retirement deductions,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Loan repayments,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Trade Creditors,1903324,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Auditor General,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Other,0,Western Cape,19.7591675,19.7591675
2013,AUDA,DC2,Cape Winelands,Total,1903324,Western Cape,19.7591675,19.7591675
2013,AUDA,DC20,Fezile Dabi,Bulk Electricity,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Bulk Water,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,PAYE deductions,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,VAT (output less input),0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Pensions / Retirement deductions,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Loan repayments,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Trade Creditors,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Auditor General,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Other,0,Free State,27.7373373,27.7373373
2013,AUDA,DC20,Fezile Dabi,Total,0,Free State,27.7373373,27.7373373
2013,AUDA,DC21,Ugu,Bulk Electricity,0,KwaZulu-Natal,30.2512728,30.2512728
