,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Buffalo City,BUF,AUDA,Total By Income Source,1088904619,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total By Customer Group,1088904618,Eastern Cape,27.6434844,27.6434844
2013,City of Cape Town,CPT,AUDA,Total By Income Source,6135323585,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total By Customer Group,6135323583,Western Cape,18.4680927,18.4680927
2013,West Coast,DC1,AUDA,Total By Income Source,7511253,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total By Customer Group,7511253,Western Cape,18.6175626,18.6175626
2013,Cacadu,DC10,AUDA,Total By Income Source,22305346,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total By Customer Group,22305346,Eastern Cape,25.6223644,25.6223644
2013,Amathole,DC12,AUDA,Total By Income Source,368143463,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total By Customer Group,368143463,Eastern Cape,27.3616476,27.3616476
2013,Chris Hani,DC13,AUDA,Total By Income Source,192686073,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total By Customer Group,192686073,Eastern Cape,26.7967849,26.7967849
2013,Joe Gqabi,DC14,AUDA,Total By Income Source,24733476,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,AUDA,Total By Customer Group,24733476,Eastern Cape,26.9852422,26.9852422
2013,O.R.Tambo,DC15,AUDA,Total By Income Source,44932869,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,AUDA,Total By Customer Group,44932869,Eastern Cape,29.2320784,29.2320784
2013,Xhariep,DC16,AUDA,Total By Income Source,2652823,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total By Customer Group,2652823,Free State,25.2837585,25.2837585
2013,Lejweleputswa,DC18,AUDA,Total By Income Source,1557206,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total By Customer Group,1557206,Free State,26.2304616,26.2304616
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Income Source,3465234,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total By Customer Group,3465234,Free State,28.299435,28.299435
2013,Cape Winelands,DC2,AUDA,Total By Income Source,128226,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total By Customer Group,128226,Western Cape,19.7591675,19.7591675
2013,Fezile Dabi,DC20,AUDA,Total By Income Source,0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total By Customer Group,0,Free State,27.7373373,27.7373373
2013,Ugu,DC21,AUDA,Total By Income Source,192964409,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total By Customer Group,192964409,KwaZulu-Natal,30.2512728,30.2512728
2013,Umgungundlovu,DC22,AUDA,Total By Income Source,300639467,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total By Customer Group,300639467,KwaZulu-Natal,30.3435506,30.3435506
2013,Umzinyathi,DC24,AUDA,Total By Income Source,175035387,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,AUDA,Total By Customer Group,175035387,KwaZulu-Natal,30.6199895,30.6199895
2013,Amajuba,DC25,AUDA,Total By Income Source,64385,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,AUDA,Total By Customer Group,64385,KwaZulu-Natal,30.0665236,30.0665236
2013,Zululand,DC26,AUDA,Total By Income Source,60597865,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,AUDA,Total By Customer Group,60597865,KwaZulu-Natal,31.4456179,31.4456179
2013,Umkhanyakude,DC27,AUDA,Total By Income Source,14037124,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,AUDA,Total By Customer Group,14037124,KwaZulu-Natal,32.5372741,32.5372741
2013,Uthungulu,DC28,AUDA,Total By Income Source,46489460,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,AUDA,Total By Customer Group,46489460,KwaZulu-Natal,31.5370003,31.5370003
