,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Buffalo City,BUF,AUDA,Debtors Age Analysis By Income Source,0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Trade and Other Receivables from Exchange Transactions - Water,272677143,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,179922271,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Receivables from Non-exchange Transactions - Property Rates,218657712,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Waste Water Management,138386707,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Waste Management,166289611,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,2655609,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Interest on Arrear Debtor Accounts,0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Other,110315566,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total By Income Source,1088904619,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Debtors Age Analysis By Customer Group,0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Organs of State,16548306,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Commercial,226651466,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Households,676541188,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Other,169163658,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total By Customer Group,1088904618,Eastern Cape,27.6434844,27.6434844
2013,City of Cape Town,CPT,AUDA,Debtors Age Analysis By Income Source,0,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Trade and Other Receivables from Exchange Transactions - Water,1852943716,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Trade and Other Receivables from Exchange Transactions - Electricity,815226842,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Receivables from Non-exchange Transactions - Property Rates,1405408917,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Waste Water Management,899605202,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Waste Management,334406383,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Receivables from Exchange Transactions - Property Rental Debtors,482910540,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Interest on Arrear Debtor Accounts,673804498,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,"Recoverable unauthorised, irregular or fruitless and wasteful Expenditure",0,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Other,-328982513,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total By Income Source,6135323585,Western Cape,18.4680927,18.4680927
