,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
0,2013,BUF,Buffalo City,Eastern Cape,27.6434844,27.6434844,580100408,0,1965059264,15485472,84020618,22204094,0,5979207,15299245,0,723456797,510295971,521254222,0,0,4443155298
1,2013,CPT,City of Cape Town,Western Cape,18.4680927,18.4680927,6105689626,0,13099805253,306604995,363937465,268249365,0,100524185,41843393,132469397,1985808636,3414644999,2483846691,86747361,1029244540,27360926826
2,2013,DC1,West Coast,Western Cape,18.617562600000003,18.617562600000003,0,0,88353178,0,8898704,0,0,0,0,70094500,75641073,6420683,7478980,0,0,256887118
3,2013,DC10,Cacadu,Eastern Cape,25.6223644,25.6223644,0,0,0,1076663,15399324,0,0,0,0,31871,90831264,0,4737679,192110,0,112268911
4,2013,DC12,Amathole,Eastern Cape,27.3616476,27.3616476,0,0,235211610,326333,36605289,23077011,0,0,0,0,636996656,534551925,84734086,0,0,1551502910
5,2013,DC13,Chris Hani,Eastern Cape,26.7967849,26.7967849,0,0,0,94250,19049242,0,0,0,0,0,750048418,224628833,12231300,0,0,1006052043
6,2013,DC14,Joe Gqabi,Eastern Cape,26.985242200000002,26.985242200000002,0,0,41197099,0,3232983,1391970,0,0,0,0,305196449,96876141,21908499,0,13694763,456108378
7,2013,DC15,O.R.Tambo,Eastern Cape,29.2320784,29.2320784,0,0,127871676,17132,22617054,24471980,0,0,0,0,865396427,421925754,101148853,0,0,1563448876
8,2013,DC16,Xhariep,Free State,25.283758499999998,25.283758499999998,0,0,0,432517,283816,0,0,0,0,0,38596152,0,72623,0,0,39385108
9,2013,DC18,Lejweleputswa,Free State,26.230461600000005,26.230461600000005,0,0,0,0,2425189,769874,0,0,0,0,99931000,0,500000,0,0,103626063
10,2013,DC19,Thabo Mofutsanyane,Free State,28.299435,28.299435,0,0,0,0,2518928,0,0,0,0,0,83402347,0,42150,0,0,85963425
11,2013,DC2,Cape Winelands,Western Cape,19.7591675,19.7591675,0,0,287652,57560,24451381,24,0,0,0,74136546,205442617,0,4688804,799212,0,309863796
12,2013,DC20,Fezile Dabi,Free State,27.737337300000004,27.737337300000004,0,0,0,0,9420228,0,0,0,0,0,134396000,0,1700659,0,0,145516887
13,2013,DC21,Ugu,KwaZulu-Natal,30.2512728,30.2512728,0,0,276525928,1693135,1928978,18376236,0,0,0,0,318044484,276253795,12734874,0,0,905557430
14,2013,DC22,Umgungundlovu,KwaZulu-Natal,30.3435506,30.3435506,0,0,118135897,288622,7979036,12855690,0,0,0,0,327088221,140324378,15048976,427458,0,622148278
15,2013,DC23,Uthukela,KwaZulu-Natal,29.6035495,29.6035495,0,0,117285980,0,39236502,0,0,0,0,0,308032847,187952252,5075974,32687000,0,690270555
16,2013,DC24,Umzinyathi,KwaZulu-Natal,30.619989500000003,30.619989500000003,0,0,40839000,321358,1839981,11931442,0,0,0,0,296593000,239224000,5233074,0,0,595981855
17,2013,DC25,Amajuba,KwaZulu-Natal,30.066523600000004,30.066523600000004,0,0,0,265121,2254742,0,0,0,0,0,177361918,0,227020,0,0,180108801
18,2013,DC26,Zululand,KwaZulu-Natal,31.445617900000002,31.445617900000002,0,0,23914694,106272,11829016,445473,0,0,0,0,290800476,359860050,1834442,0,0,688790423
19,2013,DC27,Umkhanyakude,KwaZulu-Natal,32.537274100000005,32.537274100000005,0,0,41939959,103940,12679849,1538146,0,0,0,0,214250626,240874798,1055715,0,0,512443033
20,2013,DC28,Uthungulu,KwaZulu-Natal,31.537000300000003,31.537000300000003,0,0,49901919,33947,27113167,34243,0,0,0,0,396374210,173857180,10102329,0,0,657416995
21,2013,DC29,iLembe,KwaZulu-Natal,31.171038899999996,31.171038899999996,0,0,101506977,74081,5364480,14940232,0,0,0,1058998,278830925,316216456,8678969,0,0,726671118
22,2013,DC3,Overberg,Western Cape,19.7591675,19.7591675,0,0,621346,11144665,484647,3918,0,0,45040,3873146,88328070,0,5218291,616292,0,110335415
23,2013,DC30,Gert Sibande,Mpumalanga,29.9740534,29.9740534,0,0,0,0,4677772,0,0,0,0,0,273824341,0,11398665,0,0,289900778
