,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,4443155298,AUDA,BUF,Buffalo City,Total Operating Revenue Generated,Eastern Cape,27.6434844,27.6434844
2013,4443155298,AUDA,BUF,Buffalo City,Total Direct Operating Revenue,Eastern Cape,27.6434844,27.6434844
2013,0,AUDA,BUF,Buffalo City,Total Indirect Operating Revenue,Eastern Cape,27.6434844,27.6434844
2013,4443155298,AUDA,BUF,Buffalo City,Total Operating Revenue,Eastern Cape,27.6434844,27.6434844
2013,3951868256,AUDA,BUF,Buffalo City,Total Direct Operating Expenditure,Eastern Cape,27.6434844,27.6434844
2013,0,AUDA,BUF,Buffalo City,Total Indirect Operating Expenditure,Eastern Cape,27.6434844,27.6434844
2013,3951868256,AUDA,BUF,Buffalo City,Total Operating Expenditure,Eastern Cape,27.6434844,27.6434844
2013,491287042,AUDA,BUF,Buffalo City,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,27.6434844,27.6434844
2013,28390171366,AUDA,CPT,City of Cape Town,Total Operating Revenue Generated,Western Cape,18.4680927,18.4680927
2013,27360926826,AUDA,CPT,City of Cape Town,Total Direct Operating Revenue,Western Cape,18.4680927,18.4680927
2013,9308889809,AUDA,CPT,City of Cape Town,Total Indirect Operating Revenue,Western Cape,18.4680927,18.4680927
2013,36669816635,AUDA,CPT,City of Cape Town,Total Operating Revenue,Western Cape,18.4680927,18.4680927
2013,23919727477,AUDA,CPT,City of Cape Town,Total Direct Operating Expenditure,Western Cape,18.4680927,18.4680927
2013,9311416616,AUDA,CPT,City of Cape Town,Total Indirect Operating Expenditure,Western Cape,18.4680927,18.4680927
2013,33231144093,AUDA,CPT,City of Cape Town,Total Operating Expenditure,Western Cape,18.4680927,18.4680927
2013,3438672542,AUDA,CPT,City of Cape Town,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Western Cape,18.4680927,18.4680927
2013,256887118,AUDA,DC1,West Coast,Total Operating Revenue Generated,Western Cape,18.6175626,18.6175626
2013,256887118,AUDA,DC1,West Coast,Total Direct Operating Revenue,Western Cape,18.6175626,18.6175626
2013,0,AUDA,DC1,West Coast,Total Indirect Operating Revenue,Western Cape,18.6175626,18.6175626
2013,256887118,AUDA,DC1,West Coast,Total Operating Revenue,Western Cape,18.6175626,18.6175626
2013,251028646,AUDA,DC1,West Coast,Total Direct Operating Expenditure,Western Cape,18.6175626,18.6175626
2013,0,AUDA,DC1,West Coast,Total Indirect Operating Expenditure,Western Cape,18.6175626,18.6175626
2013,251028646,AUDA,DC1,West Coast,Total Operating Expenditure,Western Cape,18.6175626,18.6175626
2013,5858472,AUDA,DC1,West Coast,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Western Cape,18.6175626,18.6175626
2013,112268911,AUDA,DC10,Cacadu,Total Operating Revenue Generated,Eastern Cape,25.6223644,25.6223644
2013,112268911,AUDA,DC10,Cacadu,Total Direct Operating Revenue,Eastern Cape,25.6223644,25.6223644
2013,0,AUDA,DC10,Cacadu,Total Indirect Operating Revenue,Eastern Cape,25.6223644,25.6223644
2013,112268911,AUDA,DC10,Cacadu,Total Operating Revenue,Eastern Cape,25.6223644,25.6223644
2013,117769673,AUDA,DC10,Cacadu,Total Direct Operating Expenditure,Eastern Cape,25.6223644,25.6223644
2013,0,AUDA,DC10,Cacadu,Total Indirect Operating Expenditure,Eastern Cape,25.6223644,25.6223644
2013,117769673,AUDA,DC10,Cacadu,Total Operating Expenditure,Eastern Cape,25.6223644,25.6223644
2013,-5500762,AUDA,DC10,Cacadu,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,25.6223644,25.6223644
2013,1551502910,AUDA,DC12,Amathole,Total Operating Revenue Generated,Eastern Cape,27.3616476,27.3616476
2013,1551502910,AUDA,DC12,Amathole,Total Direct Operating Revenue,Eastern Cape,27.3616476,27.3616476
2013,0,AUDA,DC12,Amathole,Total Indirect Operating Revenue,Eastern Cape,27.3616476,27.3616476
2013,1551502910,AUDA,DC12,Amathole,Total Operating Revenue,Eastern Cape,27.3616476,27.3616476
2013,1114395066,AUDA,DC12,Amathole,Total Direct Operating Expenditure,Eastern Cape,27.3616476,27.3616476
2013,0,AUDA,DC12,Amathole,Total Indirect Operating Expenditure,Eastern Cape,27.3616476,27.3616476
2013,1114395066,AUDA,DC12,Amathole,Total Operating Expenditure,Eastern Cape,27.3616476,27.3616476
2013,437107844,AUDA,DC12,Amathole,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,27.3616476,27.3616476
2013,1006052043,AUDA,DC13,Chris Hani,Total Operating Revenue Generated,Eastern Cape,26.7967849,26.7967849
2013,1006052043,AUDA,DC13,Chris Hani,Total Direct Operating Revenue,Eastern Cape,26.7967849,26.7967849
2013,0,AUDA,DC13,Chris Hani,Total Indirect Operating Revenue,Eastern Cape,26.7967849,26.7967849
2013,1006052043,AUDA,DC13,Chris Hani,Total Operating Revenue,Eastern Cape,26.7967849,26.7967849
2013,807944198,AUDA,DC13,Chris Hani,Total Direct Operating Expenditure,Eastern Cape,26.7967849,26.7967849
2013,0,AUDA,DC13,Chris Hani,Total Indirect Operating Expenditure,Eastern Cape,26.7967849,26.7967849
2013,807944198,AUDA,DC13,Chris Hani,Total Operating Expenditure,Eastern Cape,26.7967849,26.7967849
2013,198107845,AUDA,DC13,Chris Hani,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,26.7967849,26.7967849
2013,469803141,AUDA,DC14,Joe Gqabi,Total Operating Revenue Generated,Eastern Cape,26.9852422,26.9852422
2013,456108378,AUDA,DC14,Joe Gqabi,Total Direct Operating Revenue,Eastern Cape,26.9852422,26.9852422
2013,0,AUDA,DC14,Joe Gqabi,Total Indirect Operating Revenue,Eastern Cape,26.9852422,26.9852422
2013,456108378,AUDA,DC14,Joe Gqabi,Total Operating Revenue,Eastern Cape,26.9852422,26.9852422
2013,408000836,AUDA,DC14,Joe Gqabi,Total Direct Operating Expenditure,Eastern Cape,26.9852422,26.9852422
2013,0,AUDA,DC14,Joe Gqabi,Total Indirect Operating Expenditure,Eastern Cape,26.9852422,26.9852422
2013,408000836,AUDA,DC14,Joe Gqabi,Total Operating Expenditure,Eastern Cape,26.9852422,26.9852422
2013,48107542,AUDA,DC14,Joe Gqabi,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,26.9852422,26.9852422
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Operating Revenue Generated,Eastern Cape,29.2320784,29.2320784
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Direct Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,0,AUDA,DC15,O.R.Tambo,Total Indirect Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,1218340113,AUDA,DC15,O.R.Tambo,Total Direct Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,0,AUDA,DC15,O.R.Tambo,Total Indirect Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,1218340113,AUDA,DC15,O.R.Tambo,Total Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,345108763,AUDA,DC15,O.R.Tambo,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,29.2320784,29.2320784
2013,39385108,AUDA,DC16,Xhariep,Total Operating Revenue Generated,Free State,25.2837585,25.2837585
2013,39385108,AUDA,DC16,Xhariep,Total Direct Operating Revenue,Free State,25.2837585,25.2837585
2013,0,AUDA,DC16,Xhariep,Total Indirect Operating Revenue,Free State,25.2837585,25.2837585
2013,39385108,AUDA,DC16,Xhariep,Total Operating Revenue,Free State,25.2837585,25.2837585
2013,70745191,AUDA,DC16,Xhariep,Total Direct Operating Expenditure,Free State,25.2837585,25.2837585
2013,0,AUDA,DC16,Xhariep,Total Indirect Operating Expenditure,Free State,25.2837585,25.2837585
2013,70745191,AUDA,DC16,Xhariep,Total Operating Expenditure,Free State,25.2837585,25.2837585
2013,-31360083,AUDA,DC16,Xhariep,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Free State,25.2837585,25.2837585
2013,103626063,AUDA,DC18,Lejweleputswa,Total Operating Revenue Generated,Free State,26.2304616,26.2304616
2013,103626063,AUDA,DC18,Lejweleputswa,Total Direct Operating Revenue,Free State,26.2304616,26.2304616
2013,0,AUDA,DC18,Lejweleputswa,Total Indirect Operating Revenue,Free State,26.2304616,26.2304616
2013,103626063,AUDA,DC18,Lejweleputswa,Total Operating Revenue,Free State,26.2304616,26.2304616
2013,100498712,AUDA,DC18,Lejweleputswa,Total Direct Operating Expenditure,Free State,26.2304616,26.2304616
2013,0,AUDA,DC18,Lejweleputswa,Total Indirect Operating Expenditure,Free State,26.2304616,26.2304616
2013,100498712,AUDA,DC18,Lejweleputswa,Total Operating Expenditure,Free State,26.2304616,26.2304616
