item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,2744242
3,0400,,line_item,Water Reservoirs & Reticulation,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,4006739
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,87502
5,0600,,line_item,Electricity Reticulation,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,907168
6,0700,,line_item,Sewerage Purification & Reticulation,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,4300045
7,0800,,line_item,Housing,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,3295461
8,0900,,line_item,Street Lighting,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,66625
9,1000,,line_item,Refuse sites,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,529202
10,1100,,line_item,Gas,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,15936984
13,1400,,heading,COMMUNITY,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,82905
15,1600,,line_item,Sportsfields,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
16,1700,,line_item,Community Halls,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,313663
17,1800,,line_item,Libraries,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,87530
18,1900,,line_item,Recreational Facilities,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,210349
19,2000,,line_item,Clinics,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,824411
20,2100,,line_item,Museums & Art Galleries,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,307
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1519165
23,2310,,heading,HERITAGE ASSETS,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
25,2312,2311,subtotal,Sub-total Heritage Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
26,2320,,heading,INVESTMENT PROPERTIES,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
27,2321,,line_item,Investment Properties,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
28,2322,2321,subtotal,Sub-total Investment Properties,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
29,2400,,heading,OTHER ASSETS,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
30,2500,,line_item,Other motor vehicles,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
31,2600,,line_item,Plant & equipment,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,890244
32,2700,,line_item,Office equipment,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1739526
33,2800,,line_item,Abattoirs,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
34,2900,,line_item,Markets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,13942
35,3000,,line_item,Airports,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
36,3100,,line_item,Security Measures,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
37,3110,,line_item,Civic Land and Buildings,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,104505
38,3120,,line_item,Other Land and Buildings,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
39,3200,,line_item,Other,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,527776
40,3300,"sum(2500, 2600, 2700, 2800, 2900, 3000, 3100, 3110, 3120, 3200)",subtotal,Sub-total Other Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,3275993
41,3400,,heading,SPECIALISED VEHICLES,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
42,3500,,line_item,Refuse,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
43,3600,,line_item,Fire,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,25990
44,3700,,line_item,Conservancy,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
45,3800,,line_item,Ambulances,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
46,3900,,line_item,Buses,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
47,4000,"sum(3500, 3600, 3700, 3800, 3900)",subtotal,Sub-total Specialised Vehicles,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,25990
48,4010,,heading,AGRICULTURAL ASSETS,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
49,4011,,line_item,Agricultural Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
50,4012,4011,subtotal,Sub-total Agricultural Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
51,4020,,heading,BIOLOGICAL ASSETS,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
52,4021,,line_item,Biological Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
53,4022,3021,subtotal,Sub-total Biological Assets,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
54,4030,,heading,INTANGIBLES,11,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
