item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1354902
3,0400,,line_item,Water Reservoirs & Reticulation,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,2282482
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,523453
5,0600,,line_item,Electricity Reticulation,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1764721
6,0700,,line_item,Sewerage Purification & Reticulation,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,2377077
7,0800,,line_item,Housing,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1299361
8,0900,,line_item,Street Lighting,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,455619
9,1000,,line_item,Refuse sites,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,6105
10,1100,,line_item,Gas,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,10063720
13,1400,,heading,COMMUNITY,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,19000
15,1600,,line_item,Sportsfields,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,234388
16,1700,,line_item,Community Halls,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1208647
17,1800,,line_item,Libraries,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,30000
18,1900,,line_item,Recreational Facilities,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
19,2000,,line_item,Clinics,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,63771
20,2100,,line_item,Museums & Art Galleries,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1555806
23,2310,,heading,HERITAGE ASSETS,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
25,2312,2311,subtotal,Sub-total Heritage Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
26,2320,,heading,INVESTMENT PROPERTIES,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
27,2321,,line_item,Investment Properties,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
28,2322,2321,subtotal,Sub-total Investment Properties,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
29,2400,,heading,OTHER ASSETS,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
30,2500,,line_item,Other motor vehicles,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,182999
31,2600,,line_item,Plant & equipment,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,21804
32,2700,,line_item,Office equipment,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,283334
33,2800,,line_item,Abattoirs,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
34,2900,,line_item,Markets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
35,3000,,line_item,Airports,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
36,3100,,line_item,Security Measures,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
37,3110,,line_item,Civic Land and Buildings,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,36000
38,3120,,line_item,Other Land and Buildings,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
39,3200,,line_item,Other,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1641613
40,3300,"sum(2500, 2600, 2700, 2800, 2900, 3000, 3100, 3110, 3120, 3200)",subtotal,Sub-total Other Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,2165750
41,3400,,heading,SPECIALISED VEHICLES,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
42,3500,,line_item,Refuse,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,4808190
43,3600,,line_item,Fire,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,725035
44,3700,,line_item,Conservancy,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
45,3800,,line_item,Ambulances,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
46,3900,,line_item,Buses,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
47,4000,"sum(3500, 3600, 3700, 3800, 3900)",subtotal,Sub-total Specialised Vehicles,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,5533225
48,4010,,heading,AGRICULTURAL ASSETS,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
49,4011,,line_item,Agricultural Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
50,4012,4011,subtotal,Sub-total Agricultural Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
51,4020,,heading,BIOLOGICAL ASSETS,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
52,4021,,line_item,Biological Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
53,4022,3021,subtotal,Sub-total Biological Assets,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
54,4030,,heading,INTANGIBLES,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
55,4031,,line_item,Intangibles,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
56,4032,4031,subtotal,Sub-total Intangibles,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
57,4100,"sum(1300, 2300, 2312, 2322, 3300, 4000, 4012, 4022, 4032)",subtotal,TOTAL,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,19318501
58,4200,,heading,SOURCE OF FINANCE,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
59,4300,,line_item,External Loans,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
60,4400,,line_item,Asset Financing Reserve,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,7259837
61,4500,,line_item,Surplus Cash,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
62,4600,,line_item,Public contributions/ donations,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
63,4700,,line_item,National Government Transfers and Grants,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,10536936
64,4701,,line_item,Provincial Government Transfers and Grants,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,1521728
65,4702,,line_item,District Municipality Transfers and Grants,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
66,4703,,line_item,Other Transfers and Grants,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
67,4800,,line_item,Leases,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
68,5000,,line_item,Other,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
69,5100,"sum(4300, 4400, 4500, 4600, 4700, 4701, 4702, 4703, 4800, 5000)",subtotal,TOTAL FINANCING,5,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,19318501
1,0100,,heading,INFRASTRUCTURE,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",5,ACT,Actual,2012,month,CPT,City of Cape Town,0,11120575,0,,43853076
3,0400,,line_item,Water Reservoirs & Reticulation,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,7183814,0,,10339256
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,17219939
5,0600,,line_item,Electricity Reticulation,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,42744260,0,,60884259
6,0700,,line_item,Sewerage Purification & Reticulation,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,16153250,0,,24040493
7,0800,,line_item,Housing,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,14712445,0,,14787445
8,0900,,line_item,Street Lighting,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,4798925
9,1000,,line_item,Refuse sites,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,6910161,0,,9392600
10,1100,,line_item,Gas,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
11,1200,,line_item,Other,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,98824505,0,,185315993
13,1400,,heading,COMMUNITY,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,2751654,0,,2751654
15,1600,,line_item,Sportsfields,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,7018884,0,,13355745
16,1700,,line_item,Community Halls,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,122156,0,,166041
17,1800,,line_item,Libraries,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,679993
18,1900,,line_item,Recreational Facilities,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,643582,0,,643582
19,2000,,line_item,Clinics,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,81717,0,,1664332
20,2100,,line_item,Museums & Art Galleries,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
21,2200,,line_item,Other,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,5143564,0,,5952215
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,15761557,0,,25213562
23,2310,,heading,HERITAGE ASSETS,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
24,2311,,line_item,Heritage Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,19850,0,,987086
25,2312,2311,subtotal,Sub-total Heritage Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,19850,0,,987086
26,2320,,heading,INVESTMENT PROPERTIES,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
27,2321,,line_item,Investment Properties,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,59991,0,,1036494
28,2322,2321,subtotal,Sub-total Investment Properties,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,59991,0,,1036494
29,2400,,heading,OTHER ASSETS,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
30,2500,,line_item,Other motor vehicles,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,2507040,0,,5643865
31,2600,,line_item,Plant & equipment,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,3560599,0,,31868280
32,2700,,line_item,Office equipment,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,1756491,0,,9644410
33,2800,,line_item,Abattoirs,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
34,2900,,line_item,Markets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
35,3000,,line_item,Airports,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
36,3100,,line_item,Security Measures,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,357248,0,,357248
37,3110,,line_item,Civic Land and Buildings,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
38,3120,,line_item,Other Land and Buildings,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,6993583,0,,13835817
39,3200,,line_item,Other,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
40,3300,"sum(2500, 2600, 2700, 2800, 2900, 3000, 3100, 3110, 3120, 3200)",subtotal,Sub-total Other Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,15174961,0,,61349620
41,3400,,heading,SPECIALISED VEHICLES,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
42,3500,,line_item,Refuse,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,11889804
43,3600,,line_item,Fire,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
44,3700,,line_item,Conservancy,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
45,3800,,line_item,Ambulances,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
46,3900,,line_item,Buses,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
47,4000,"sum(3500, 3600, 3700, 3800, 3900)",subtotal,Sub-total Specialised Vehicles,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,11889804
48,4010,,heading,AGRICULTURAL ASSETS,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
49,4011,,line_item,Agricultural Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
50,4012,4011,subtotal,Sub-total Agricultural Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
51,4020,,heading,BIOLOGICAL ASSETS,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
52,4021,,line_item,Biological Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
53,4022,3021,subtotal,Sub-total Biological Assets,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
54,4030,,heading,INTANGIBLES,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
55,4031,,line_item,Intangibles,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
56,4032,4031,subtotal,Sub-total Intangibles,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
57,4100,"sum(1300, 2300, 2312, 2322, 3300, 4000, 4012, 4022, 4032)",subtotal,TOTAL,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,129840864,0,,285792559
58,4200,,heading,SOURCE OF FINANCE,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,,0,,
59,4300,,line_item,External Loans,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,71478314,0,,110821926
60,4400,,line_item,Asset Financing Reserve,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,23229042,0,,44268873
61,4500,,line_item,Surplus Cash,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,403954,0,,3535255
62,4600,,line_item,Public contributions/ donations,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,84097,0,,4128564
63,4700,,line_item,National Government Transfers and Grants,5,ACT,Actual,2012,month,CPT,City of Cape Town,0,21829149,0,,109785260
