item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,6178432
3,0400,,line_item,Water Reservoirs & Reticulation,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,2530336
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,37352
5,0600,,line_item,Electricity Reticulation,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
6,0700,,line_item,Sewerage Purification & Reticulation,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,4688433
7,0800,,line_item,Housing,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
8,0900,,line_item,Street Lighting,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
9,1000,,line_item,Refuse sites,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
10,1100,,line_item,Gas,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,13434553
13,1400,,heading,COMMUNITY,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
15,1600,,line_item,Sportsfields,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,47839
16,1700,,line_item,Community Halls,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
17,1800,,line_item,Libraries,2,ACT,Actual,2012,month,BUF,Buffalo City,0,,0,,
