item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,10887862
3,0400,,line_item,Water Reservoirs & Reticulation,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,6177966
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,13446
5,0600,,line_item,Electricity Reticulation,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,7971454
6,0700,,line_item,Sewerage Purification & Reticulation,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,10023833
7,0800,,line_item,Housing,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2915021
8,0900,,line_item,Street Lighting,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
9,1000,,line_item,Refuse sites,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
10,1100,,line_item,Gas,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,541716
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,38531298
13,1400,,heading,COMMUNITY,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,1423
15,1600,,line_item,Sportsfields,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,169950
16,1700,,line_item,Community Halls,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,254480
17,1800,,line_item,Libraries,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
18,1900,,line_item,Recreational Facilities,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,317669
19,2000,,line_item,Clinics,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
20,2100,,line_item,Museums & Art Galleries,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,243969
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,987491
23,2310,,heading,HERITAGE ASSETS,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
25,2312,2311,subtotal,Sub-total Heritage Assets,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
26,2320,,heading,INVESTMENT PROPERTIES,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
27,2321,,line_item,Investment Properties,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
28,2322,2321,subtotal,Sub-total Investment Properties,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
29,2400,,heading,OTHER ASSETS,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
30,2500,,line_item,Other motor vehicles,6,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2646634
