item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2543447
3,0400,,line_item,Water Reservoirs & Reticulation,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2277229
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,391317
5,0600,,line_item,Electricity Reticulation,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,1487055
6,0700,,line_item,Sewerage Purification & Reticulation,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,7277835
7,0800,,line_item,Housing,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,1324707
8,0900,,line_item,Street Lighting,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
9,1000,,line_item,Refuse sites,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,3299
10,1100,,line_item,Gas,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,237638
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,15542527
13,1400,,heading,COMMUNITY,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
15,1600,,line_item,Sportsfields,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
16,1700,,line_item,Community Halls,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,442651
17,1800,,line_item,Libraries,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
18,1900,,line_item,Recreational Facilities,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
19,2000,,line_item,Clinics,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
20,2100,,line_item,Museums & Art Galleries,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,183450
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,626101
23,2310,,heading,HERITAGE ASSETS,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,7,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
