item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,34029831
3,0400,,line_item,Water Reservoirs & Reticulation,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,24946720
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,26198800
5,0600,,line_item,Electricity Reticulation,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,17660433
6,0700,,line_item,Sewerage Purification & Reticulation,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,31153574
7,0800,,line_item,Housing,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,8974767
8,0900,,line_item,Street Lighting,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,71485
9,1000,,line_item,Refuse sites,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,6169
10,1100,,line_item,Gas,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2102673
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,145144452
13,1400,,heading,COMMUNITY,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,25840
15,1600,,line_item,Sportsfields,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,226903
16,1700,,line_item,Community Halls,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,771468
17,1800,,line_item,Libraries,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
18,1900,,line_item,Recreational Facilities,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,113559
19,2000,,line_item,Clinics,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
20,2100,,line_item,Museums & Art Galleries,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2408776
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,3546546
23,2310,,heading,HERITAGE ASSETS,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
25,2312,2311,subtotal,Sub-total Heritage Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
26,2320,,heading,INVESTMENT PROPERTIES,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
27,2321,,line_item,Investment Properties,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
28,2322,2321,subtotal,Sub-total Investment Properties,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
29,2400,,heading,OTHER ASSETS,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
30,2500,,line_item,Other motor vehicles,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,142828
31,2600,,line_item,Plant & equipment,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,73205
32,2700,,line_item,Office equipment,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,2398426
33,2800,,line_item,Abattoirs,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
34,2900,,line_item,Markets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,59374
35,3000,,line_item,Airports,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
36,3100,,line_item,Security Measures,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
37,3110,,line_item,Civic Land and Buildings,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
38,3120,,line_item,Other Land and Buildings,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,596861
39,3200,,line_item,Other,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,35987
40,3300,"sum(2500, 2600, 2700, 2800, 2900, 3000, 3100, 3110, 3120, 3200)",subtotal,Sub-total Other Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,3306681
41,3400,,heading,SPECIALISED VEHICLES,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
42,3500,,line_item,Refuse,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
43,3600,,line_item,Fire,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
44,3700,,line_item,Conservancy,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
45,3800,,line_item,Ambulances,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
46,3900,,line_item,Buses,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
47,4000,"sum(3500, 3600, 3700, 3800, 3900)",subtotal,Sub-total Specialised Vehicles,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
48,4010,,heading,AGRICULTURAL ASSETS,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
49,4011,,line_item,Agricultural Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
50,4012,4011,subtotal,Sub-total Agricultural Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
51,4020,,heading,BIOLOGICAL ASSETS,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
52,4021,,line_item,Biological Assets,12,ACT,Actual,2013,month,BUF,Buffalo City,0,,0,,
