item.position_in_return_form,item.code,item.composition,item.return_form_structure,item.label,financial_period.period,amount_type.code,amount_type.label,financial_year_end.year,period_length.length,demarcation.code,demarcation.label,total_assets.sum,renewal_of_existing.sum,new_assets.sum,repairs_maintenance.sum,asset_register_summary.sum
1,0100,,heading,INFRASTRUCTURE,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
2,0300,,line_item,"Roads, Pavements, Bridges & Storm Water",3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,26031953
3,0400,,line_item,Water Reservoirs & Reticulation,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,2647648
4,0500,,line_item,"Car Parks, Bus Terminals and Taxi Ranks",3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,35112
5,0600,,line_item,Electricity Reticulation,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,5555683
6,0700,,line_item,Sewerage Purification & Reticulation,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,15363100
7,0800,,line_item,Housing,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,1452679
8,0900,,line_item,Street Lighting,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
9,1000,,line_item,Refuse sites,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
10,1100,,line_item,Gas,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
11,1200,,line_item,Other,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,33350
12,1300,"sum(0300, 0400, 0500, 0600, 0700, 0800, 0900, 1000, 1100, 1200)",subtotal,Sub-total Infrastructure,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,51119525
13,1400,,heading,COMMUNITY,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
14,1500,,line_item,Establishment of Parks & Gardens,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,4532
15,1600,,line_item,Sportsfields,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,16838
16,1700,,line_item,Community Halls,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,485376
17,1800,,line_item,Libraries,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
18,1900,,line_item,Recreational Facilities,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
19,2000,,line_item,Clinics,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
20,2100,,line_item,Museums & Art Galleries,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
21,2200,,line_item,Other,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,581733
22,2300,"sum(1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200)",subtotal,Sub-total Community,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,1088479
23,2310,,heading,HERITAGE ASSETS,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
24,2311,,line_item,Heritage Assets,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
25,2312,2311,subtotal,Sub-total Heritage Assets,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
26,2320,,heading,INVESTMENT PROPERTIES,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
27,2321,,line_item,Investment Properties,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
28,2322,2321,subtotal,Sub-total Investment Properties,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
29,2400,,heading,OTHER ASSETS,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
30,2500,,line_item,Other motor vehicles,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
31,2600,,line_item,Plant & equipment,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
32,2700,,line_item,Office equipment,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,611394
33,2800,,line_item,Abattoirs,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
34,2900,,line_item,Markets,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
35,3000,,line_item,Airports,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
36,3100,,line_item,Security Measures,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
37,3110,,line_item,Civic Land and Buildings,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
38,3120,,line_item,Other Land and Buildings,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
39,3200,,line_item,Other,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,486541
40,3300,"sum(2500, 2600, 2700, 2800, 2900, 3000, 3100, 3110, 3120, 3200)",subtotal,Sub-total Other Assets,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,1097935
41,3400,,heading,SPECIALISED VEHICLES,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
42,3500,,line_item,Refuse,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
43,3600,,line_item,Fire,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
44,3700,,line_item,Conservancy,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
45,3800,,line_item,Ambulances,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
46,3900,,line_item,Buses,3,ACT,Actual,2014,month,BUF,Buffalo City,0,,0,,
