,label,date,mun_code,mun_name,total_amount
0,Fruitless and Wasteful Expenditure,2013,BUF,Buffalo City,8080000.0
1,Irregular Expenditure,2013,BUF,Buffalo City,117128000.0
2,Unauthorised Expenditure,2013,BUF,Buffalo City,14478000.0
3,Fruitless and Wasteful Expenditure,2013,CPT,City of Cape Town,
4,Irregular Expenditure,2013,CPT,City of Cape Town,1465000.0
5,Unauthorised Expenditure,2013,CPT,City of Cape Town,
6,Fruitless and Wasteful Expenditure,2013,DC1,West Coast,0.0
7,Irregular Expenditure,2013,DC1,West Coast,0.0
8,Unauthorised Expenditure,2013,DC1,West Coast,0.0
9,Fruitless and Wasteful Expenditure,2013,DC10,Cacadu,
10,Irregular Expenditure,2013,DC10,Cacadu,7894000.0
11,Unauthorised Expenditure,2013,DC10,Cacadu,
12,Fruitless and Wasteful Expenditure,2013,DC12,Amathole,58695000.0
13,Irregular Expenditure,2013,DC12,Amathole,2147000.0
14,Unauthorised Expenditure,2013,DC12,Amathole,58695000.0
15,Fruitless and Wasteful Expenditure,2013,DC13,Chris Hani,817000.0
16,Irregular Expenditure,2013,DC13,Chris Hani,42959000.0
17,Unauthorised Expenditure,2013,DC13,Chris Hani,2301000.0
18,Fruitless and Wasteful Expenditure,2013,DC14,Joe Gqabi,4360000.0
19,Irregular Expenditure,2013,DC14,Joe Gqabi,422000.0
20,Unauthorised Expenditure,2013,DC14,Joe Gqabi,3938000.0
21,Fruitless and Wasteful Expenditure,2013,DC15,O.R.Tambo,15134000.0
22,Irregular Expenditure,2013,DC15,O.R.Tambo,264197000.0
23,Unauthorised Expenditure,2013,DC15,O.R.Tambo,9181000.0
24,Fruitless and Wasteful Expenditure,2013,DC16,Xhariep,133000.0
25,Irregular Expenditure,2013,DC16,Xhariep,17774000.0
26,Unauthorised Expenditure,2013,DC16,Xhariep,11151000.0
27,Fruitless and Wasteful Expenditure,2013,DC18,Lejweleputswa,288680000.0
28,Irregular Expenditure,2013,DC18,Lejweleputswa,31243000.0
29,Unauthorised Expenditure,2013,DC18,Lejweleputswa,1595540000.0
30,Fruitless and Wasteful Expenditure,2013,DC19,Thabo Mofutsanyane,1323000.0
31,Irregular Expenditure,2013,DC19,Thabo Mofutsanyane,46092000.0
32,Unauthorised Expenditure,2013,DC19,Thabo Mofutsanyane,
33,Fruitless and Wasteful Expenditure,2013,DC2,Cape Winelands,51000.0
34,Irregular Expenditure,2013,DC2,Cape Winelands,9207000.0
35,Unauthorised Expenditure,2013,DC2,Cape Winelands,2531000.0
