,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,0.0,AUDA,BUF,Buffalo City,Employee Related Costs,Eastern Cape,27.6434844,27.6434844
2013,0.0,AUDA,BUF,Buffalo City,Other Materials,Eastern Cape,27.6434844,27.6434844
2013,0.0,AUDA,BUF,Buffalo City,Contracted Services,Eastern Cape,27.6434844,27.6434844
2013,263701937.0,AUDA,BUF,Buffalo City,Other Expenditure,Eastern Cape,27.6434844,27.6434844
2013,263701937.0,AUDA,BUF,Buffalo City,Total Repairs and Maintenance Expenditure,Eastern Cape,27.6434844,27.6434844
2013,1030136790.0,AUDA,CPT,City of Cape Town,Employee Related Costs,Western Cape,18.4680927,18.4680927
2013,202645614.0,AUDA,CPT,City of Cape Town,Other Materials,Western Cape,18.4680927,18.4680927
2013,1314473132.0,AUDA,CPT,City of Cape Town,Contracted Services,Western Cape,18.4680927,18.4680927
2013,209173005.0,AUDA,CPT,City of Cape Town,Other Expenditure,Western Cape,18.4680927,18.4680927
2013,2756428540.0,AUDA,CPT,City of Cape Town,Total Repairs and Maintenance Expenditure,Western Cape,18.4680927,18.4680927
2013,0.0,AUDA,DC1,West Coast,Employee Related Costs,Western Cape,18.6175626,18.6175626
2013,25881665.0,AUDA,DC1,West Coast,Other Materials,Western Cape,18.6175626,18.6175626
2013,0.0,AUDA,DC1,West Coast,Contracted Services,Western Cape,18.6175626,18.6175626
2013,0.0,AUDA,DC1,West Coast,Other Expenditure,Western Cape,18.6175626,18.6175626
2013,25881665.0,AUDA,DC1,West Coast,Total Repairs and Maintenance Expenditure,Western Cape,18.6175626,18.6175626
2013,0.0,AUDA,DC10,Cacadu,Employee Related Costs,Eastern Cape,25.6223644,25.6223644
2013,0.0,AUDA,DC10,Cacadu,Other Materials,Eastern Cape,25.6223644,25.6223644
2013,0.0,AUDA,DC10,Cacadu,Contracted Services,Eastern Cape,25.6223644,25.6223644
2013,388129.0,AUDA,DC10,Cacadu,Other Expenditure,Eastern Cape,25.6223644,25.6223644
2013,388129.0,AUDA,DC10,Cacadu,Total Repairs and Maintenance Expenditure,Eastern Cape,25.6223644,25.6223644
2013,0.0,AUDA,DC12,Amathole,Employee Related Costs,Eastern Cape,27.3616476,27.3616476
2013,0.0,AUDA,DC12,Amathole,Other Materials,Eastern Cape,27.3616476,27.3616476
2013,0.0,AUDA,DC12,Amathole,Contracted Services,Eastern Cape,27.3616476,27.3616476
2013,0.0,AUDA,DC12,Amathole,Other Expenditure,Eastern Cape,27.3616476,27.3616476
2013,0.0,AUDA,DC12,Amathole,Total Repairs and Maintenance Expenditure,Eastern Cape,27.3616476,27.3616476
2013,0.0,AUDA,DC13,Chris Hani,Employee Related Costs,Eastern Cape,26.7967849,26.7967849
2013,0.0,AUDA,DC13,Chris Hani,Other Materials,Eastern Cape,26.7967849,26.7967849
2013,0.0,AUDA,DC13,Chris Hani,Contracted Services,Eastern Cape,26.7967849,26.7967849
2013,1746150.0,AUDA,DC13,Chris Hani,Other Expenditure,Eastern Cape,26.7967849,26.7967849
2013,1746150.0,AUDA,DC13,Chris Hani,Total Repairs and Maintenance Expenditure,Eastern Cape,26.7967849,26.7967849
2013,0.0,AUDA,DC14,Joe Gqabi,Employee Related Costs,Eastern Cape,26.9852422,26.9852422
2013,0.0,AUDA,DC14,Joe Gqabi,Other Materials,Eastern Cape,26.9852422,26.9852422
2013,0.0,AUDA,DC14,Joe Gqabi,Contracted Services,Eastern Cape,26.9852422,26.9852422
2013,0.0,AUDA,DC14,Joe Gqabi,Other Expenditure,Eastern Cape,26.9852422,26.9852422
2013,0.0,AUDA,DC14,Joe Gqabi,Total Repairs and Maintenance Expenditure,Eastern Cape,26.9852422,26.9852422
2013,0.0,AUDA,DC15,O.R.Tambo,Employee Related Costs,Eastern Cape,29.2320784,29.2320784
2013,62150058.0,AUDA,DC15,O.R.Tambo,Other Materials,Eastern Cape,29.2320784,29.2320784
2013,0.0,AUDA,DC15,O.R.Tambo,Contracted Services,Eastern Cape,29.2320784,29.2320784
2013,0.0,AUDA,DC15,O.R.Tambo,Other Expenditure,Eastern Cape,29.2320784,29.2320784
2013,62150058.0,AUDA,DC15,O.R.Tambo,Total Repairs and Maintenance Expenditure,Eastern Cape,29.2320784,29.2320784
