,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,263701937.0,AUDA,BUF,Buffalo City,Total Repairs and Maintenance Expenditure,Eastern Cape,27.6434844,27.6434844
2013,2756428540.0,AUDA,CPT,City of Cape Town,Total Repairs and Maintenance Expenditure,Western Cape,18.4680927,18.4680927
2013,25881665.0,AUDA,DC1,West Coast,Total Repairs and Maintenance Expenditure,Western Cape,18.6175626,18.6175626
2013,388129.0,AUDA,DC10,Cacadu,Total Repairs and Maintenance Expenditure,Eastern Cape,25.6223644,25.6223644
2013,0.0,AUDA,DC12,Amathole,Total Repairs and Maintenance Expenditure,Eastern Cape,27.3616476,27.3616476
2013,1746150.0,AUDA,DC13,Chris Hani,Total Repairs and Maintenance Expenditure,Eastern Cape,26.7967849,26.7967849
2013,0.0,AUDA,DC14,Joe Gqabi,Total Repairs and Maintenance Expenditure,Eastern Cape,26.9852422,26.9852422
2013,62150058.0,AUDA,DC15,O.R.Tambo,Total Repairs and Maintenance Expenditure,Eastern Cape,29.2320784,29.2320784
2013,1271312.0,AUDA,DC16,Xhariep,Total Repairs and Maintenance Expenditure,Free State,25.2837585,25.2837585
2013,500000.0,AUDA,DC18,Lejweleputswa,Total Repairs and Maintenance Expenditure,Free State,26.2304616,26.2304616
2013,0.0,AUDA,DC19,Thabo Mofutsanyane,Total Repairs and Maintenance Expenditure,Free State,28.299435,28.299435
2013,0.0,AUDA,DC2,Cape Winelands,Total Repairs and Maintenance Expenditure,Western Cape,19.7591675,19.7591675
2013,747650.0,AUDA,DC20,Fezile Dabi,Total Repairs and Maintenance Expenditure,Free State,27.7373373,27.7373373
2013,11200295.0,AUDA,DC21,Ugu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.2512728,30.2512728
2013,114969083.0,AUDA,DC22,Umgungundlovu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.3435506,30.3435506
2013,13477000.0,AUDA,DC23,Uthukela,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,29.6035495,29.6035495
2013,5884349.0,AUDA,DC24,Umzinyathi,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.6199895,30.6199895
2013,1030871.0,AUDA,DC25,Amajuba,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.0665236,30.0665236
2013,38258583.0,AUDA,DC26,Zululand,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,31.4456179,31.4456179
2013,0.0,AUDA,DC27,Umkhanyakude,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,32.5372741,32.5372741
2013,43985000.0,AUDA,DC28,Uthungulu,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,31.5370003,31.5370003
2013,0.0,AUDA,DC29,iLembe,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,31.1710389,31.1710389
2013,7782286.0,AUDA,DC3,Overberg,Total Repairs and Maintenance Expenditure,Western Cape,19.7591675,19.7591675
2013,0.0,AUDA,DC30,Gert Sibande,Total Repairs and Maintenance Expenditure,Mpumalanga,29.9740534,29.9740534
2013,35519811.0,AUDA,DC31,Nkangala,Total Repairs and Maintenance Expenditure,Mpumalanga,29.6035495,29.6035495
2013,0.0,AUDA,DC32,Ehlanzeni,Total Repairs and Maintenance Expenditure,Mpumalanga,31.2626366,31.2626366
2013,85225709.0,AUDA,DC33,Mopani,Total Repairs and Maintenance Expenditure,Limpopo,30.7160431,30.7160431
2013,0.0,AUDA,DC34,Vhembe,Total Repairs and Maintenance Expenditure,Limpopo,29.9740534,29.9740534
2013,3864702.0,AUDA,DC35,Capricorn,Total Repairs and Maintenance Expenditure,Limpopo,29.2320784,29.2320784
2013,0.0,AUDA,DC36,Waterberg,Total Repairs and Maintenance Expenditure,Limpopo,28.299435,28.299435
2013,2903000.0,AUDA,DC37,Bojanala,Total Repairs and Maintenance Expenditure,North West,27.3616476,27.3616476
2013,0.0,AUDA,DC38,Ngaka Modiri Molema,Total Repairs and Maintenance Expenditure,North West,25.8521764,25.8521764
2013,1735498.0,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total Repairs and Maintenance Expenditure,North West,24.3341432,24.3341432
2013,2957000.0,AUDA,DC4,Eden,Total Repairs and Maintenance Expenditure,Western Cape,22.047637,22.047637
2013,902095.0,AUDA,DC40,Dr Kenneth Kaunda,Total Repairs and Maintenance Expenditure,North West,26.5137964,26.5137964
2013,4813629.0,AUDA,DC42,Sedibeng,Total Repairs and Maintenance Expenditure,Gauteng,28.2058768,28.2058768
2013,22806551.0,AUDA,DC43,Harry Gwala,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,29.6035495,29.6035495
2013,0.0,AUDA,DC44,Alfred Nzo,Total Repairs and Maintenance Expenditure,Eastern Cape,28.8596804,28.8596804
2013,0.0,AUDA,DC45,John Taolo Gaetsewe,Total Repairs and Maintenance Expenditure,Northern Cape,23.1918021,23.1918021
2013,0.0,AUDA,DC47,Sekhukhune,Total Repairs and Maintenance Expenditure,Limpopo,29.9740534,29.9740534
2013,2229000.0,AUDA,DC48,West Rand,Total Repairs and Maintenance Expenditure,Gauteng,27.4556388,27.4556388
2013,0.0,AUDA,DC5,Central Karoo,Total Repairs and Maintenance Expenditure,Western Cape,22.2384017,22.2384017
2013,0.0,AUDA,DC6,Namakwa,Total Repairs and Maintenance Expenditure,Northern Cape,19.949686,19.949686
2013,0.0,AUDA,DC7,Pixley ka Seme,Total Repairs and Maintenance Expenditure,Northern Cape,23.3823545,23.3823545
2013,0.0,AUDA,DC8,Z F Mgcawu,Total Repairs and Maintenance Expenditure,Northern Cape,21.246215,21.246215
2013,2569405.0,AUDA,DC9,Frances Baard,Total Repairs and Maintenance Expenditure,Northern Cape,24.3341432,24.3341432
2013,0.0,AUDA,EC101,Dr Beyers Naude,Total Repairs and Maintenance Expenditure,Eastern Cape,24.371068,24.371068
2013,3146659.0,AUDA,EC102,Blue Crane Route,Total Repairs and Maintenance Expenditure,Eastern Cape,24.3341432,24.3341432
2013,1597547.0,AUDA,EC103,Ikwezi,Total Repairs and Maintenance Expenditure,Eastern Cape,25.4733554,25.4733554
2013,18721399.0,AUDA,EC104,Makana,Total Repairs and Maintenance Expenditure,Eastern Cape,24.6192899,24.6192899
2013,0.0,AUDA,EC105,Ndlambe,Total Repairs and Maintenance Expenditure,Eastern Cape,26.3249438,26.3249438
2013,11842927.0,AUDA,EC106,Sundays River Valley,Total Repairs and Maintenance Expenditure,Eastern Cape,26.749645,26.749645
2013,3083000.0,AUDA,EC107,Baviaans,Total Repairs and Maintenance Expenditure,Eastern Cape,25.5681084,25.5681084
2013,19198925.0,AUDA,EC108,Kouga,Total Repairs and Maintenance Expenditure,Eastern Cape,24.0488007,24.0488007
2013,1349934.0,AUDA,EC109,Kou-Kamma,Total Repairs and Maintenance Expenditure,Eastern Cape,24.8092691,24.8092691
2013,0.0,AUDA,EC121,Mbhashe,Total Repairs and Maintenance Expenditure,Eastern Cape,24.0488007,24.0488007
2013,4561000.0,AUDA,EC122,Mnquma,Total Repairs and Maintenance Expenditure,Eastern Cape,28.7664408,28.7664408
2013,0.0,AUDA,EC123,Great Kei,Total Repairs and Maintenance Expenditure,Eastern Cape,28.0186087,28.0186087
2013,586171.0,AUDA,EC124,Amahlathi,Total Repairs and Maintenance Expenditure,Eastern Cape,27.9717606,27.9717606
2013,3885276.0,AUDA,EC126,Ngqushwa,Total Repairs and Maintenance Expenditure,Eastern Cape,27.2676116,27.2676116
2013,8768260.0,AUDA,EC127,Nkonkobe,Total Repairs and Maintenance Expenditure,Eastern Cape,27.2676116,27.2676116
2013,303000.0,AUDA,EC128,Nxuba,Total Repairs and Maintenance Expenditure,Eastern Cape,26.8329144,26.8329144
2013,0.0,AUDA,EC129,Raymond Mhlaba,Total Repairs and Maintenance Expenditure,Eastern Cape,26.3249438,26.3249438
2013,0.0,AUDA,EC131,Inxuba Yethemba,Total Repairs and Maintenance Expenditure,Eastern Cape,26.8927198,26.8927198
2013,0.0,AUDA,EC132,Tsolwana,Total Repairs and Maintenance Expenditure,Eastern Cape,25.3785719,25.3785719
2013,3710000.0,AUDA,EC133,Inkwanca,Total Repairs and Maintenance Expenditure,Eastern Cape,26.1359431,26.1359431
2013,14172314.0,AUDA,EC134,Lukanji,Total Repairs and Maintenance Expenditure,Eastern Cape,26.5137964,26.5137964
2013,0.0,AUDA,EC135,Intsika Yethu,Total Repairs and Maintenance Expenditure,Eastern Cape,26.8910342,26.8910342
2013,0.0,AUDA,EC136,Emalahleni,Total Repairs and Maintenance Expenditure,Eastern Cape,27.6434844,27.6434844
2013,5273126.0,AUDA,EC137,Engcobo,Total Repairs and Maintenance Expenditure,Eastern Cape,29.2553229,29.2553229
2013,0.0,AUDA,EC138,Sakhisizwe,Total Repairs and Maintenance Expenditure,Eastern Cape,27.9834738,27.9834738
2013,17032314.0,AUDA,EC139,Enoch Mgijima,Total Repairs and Maintenance Expenditure,Eastern Cape,27.8311428,27.8311428
2013,0.0,AUDA,EC141,Elundini,Total Repairs and Maintenance Expenditure,Eastern Cape,26.085158,26.085158
2013,0.0,AUDA,EC142,Senqu,Total Repairs and Maintenance Expenditure,Eastern Cape,28.3929417,28.3929417
2013,6687900.0,AUDA,EC143,Maletswai,Total Repairs and Maintenance Expenditure,Eastern Cape,27.6434844,27.6434844
2013,0.0,AUDA,EC144,Gariep,Total Repairs and Maintenance Expenditure,Eastern Cape,26.8910342,26.8910342
2013,0.0,AUDA,EC145,Walter Sisulu,Total Repairs and Maintenance Expenditure,Eastern Cape,25.8521764,25.8521764
2013,8833000.0,AUDA,EC153,Ngquza Hill,Total Repairs and Maintenance Expenditure,Eastern Cape,26.32916,26.32916
2013,0.0,AUDA,EC154,Port St Johns,Total Repairs and Maintenance Expenditure,Eastern Cape,29.6962677,29.6962677
2013,0.0,AUDA,EC155,Nyandeni,Total Repairs and Maintenance Expenditure,Eastern Cape,29.5457058,29.5457058
2013,0.0,AUDA,EC156,Mhlontlo,Total Repairs and Maintenance Expenditure,Eastern Cape,29.1390642,29.1390642
2013,0.0,AUDA,EC157,King Sabata Dalindyebo,Total Repairs and Maintenance Expenditure,Eastern Cape,28.8130675,28.8130675
2013,0.0,AUDA,EC441,Matatiele,Total Repairs and Maintenance Expenditure,Eastern Cape,28.5797981,28.5797981
2013,2366000.0,AUDA,EC442,Umzimvubu,Total Repairs and Maintenance Expenditure,Eastern Cape,28.7664408,28.7664408
2013,5580924.0,AUDA,EC443,Mbizana,Total Repairs and Maintenance Expenditure,Eastern Cape,28.9528645,28.9528645
2013,0.0,AUDA,EC444,Ntabankulu,Total Repairs and Maintenance Expenditure,Eastern Cape,29.8566142,29.8566142
2013,1172045632.0,AUDA,EKU,Ekurhuleni,Total Repairs and Maintenance Expenditure,Eastern Cape,29.2785638,29.2785638
2013,2311701479.0,AUDA,ETH,eThekwini,Total Repairs and Maintenance Expenditure,Gauteng,28.3461948,28.3461948
2013,0.0,AUDA,FS161,Letsemeng,Total Repairs and Maintenance Expenditure,KwaZulu-Natal,30.8039474,30.8039474
2013,9424000.0,AUDA,FS162,Kopanong,Total Repairs and Maintenance Expenditure,Free State,25.094045,25.094045
2013,3044792.0,AUDA,FS163,Mohokare,Total Repairs and Maintenance Expenditure,Free State,25.4733554,25.4733554
2013,3595000.0,AUDA,FS164,Naledi,Total Repairs and Maintenance Expenditure,Free State,26.9852422,26.9852422
2013,0.0,AUDA,FS181,Masilonyana,Total Repairs and Maintenance Expenditure,Free State,24.7142918,24.7142918
2013,3458449.0,AUDA,FS182,Tokologo,Total Repairs and Maintenance Expenditure,Free State,26.6081653,26.6081653
2013,6678000.0,AUDA,FS183,Tswelopele,Total Repairs and Maintenance Expenditure,Free State,25.4733554,25.4733554
2013,0.0,AUDA,FS184,Matjhabeng,Total Repairs and Maintenance Expenditure,Free State,25.9467997,25.9467997
2013,0.0,AUDA,FS185,Nala,Total Repairs and Maintenance Expenditure,Free State,26.8910342,26.8910342
2013,31608436.0,AUDA,FS191,Setsoto,Total Repairs and Maintenance Expenditure,Free State,26.5137964,26.5137964
2013,0.0,AUDA,FS192,Dihlabeng,Total Repairs and Maintenance Expenditure,Free State,27.6434844,27.6434844
2013,8821056.0,AUDA,FS193,Nketoana,Total Repairs and Maintenance Expenditure,Free State,28.2058768,28.2058768
2013,79800431.0,AUDA,FS194,Maluti a Phofung,Total Repairs and Maintenance Expenditure,Free State,28.4318311,28.4318311
2013,0.0,AUDA,FS195,Phumelela,Total Repairs and Maintenance Expenditure,Free State,28.9528645,28.9528645
2013,0.0,AUDA,FS196,Mantsopa,Total Repairs and Maintenance Expenditure,Free State,29.2320784,29.2320784
2013,32777000.0,AUDA,FS201,Moqhaka,Total Repairs and Maintenance Expenditure,Free State,27.2676116,27.2676116
