,mun_name,mun_code,label,total_amount,Province,Latitude,Longitude
2013,Buffalo City,BUF,fruitless,8080000.0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,irregular,117128000.0,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,unauthorised,14478000.0,Eastern Cape,27.6434844,27.6434844
2013,City of Cape Town,CPT,fruitless,0.0,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,irregular,1465000.0,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,unauthorised,0.0,Western Cape,18.4680927,18.4680927
2013,West Coast,DC1,fruitless,0.0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,irregular,0.0,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,unauthorised,0.0,Western Cape,18.6175626,18.6175626
2013,Cacadu,DC10,fruitless,0.0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,irregular,7894000.0,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,unauthorised,0.0,Eastern Cape,25.6223644,25.6223644
2013,Amathole,DC12,fruitless,58695000.0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,irregular,2147000.0,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,unauthorised,58695000.0,Eastern Cape,27.3616476,27.3616476
2013,Chris Hani,DC13,fruitless,817000.0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,irregular,42959000.0,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,unauthorised,2301000.0,Eastern Cape,26.7967849,26.7967849
2013,Joe Gqabi,DC14,fruitless,4360000.0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,irregular,422000.0,Eastern Cape,26.9852422,26.9852422
2013,Joe Gqabi,DC14,unauthorised,3938000.0,Eastern Cape,26.9852422,26.9852422
2013,O.R.Tambo,DC15,fruitless,15134000.0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,irregular,264197000.0,Eastern Cape,29.2320784,29.2320784
2013,O.R.Tambo,DC15,unauthorised,9181000.0,Eastern Cape,29.2320784,29.2320784
2013,Xhariep,DC16,fruitless,133000.0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,irregular,17774000.0,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,unauthorised,11151000.0,Free State,25.2837585,25.2837585
2013,Lejweleputswa,DC18,fruitless,288680000.0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,irregular,31243000.0,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,unauthorised,1595540000.0,Free State,26.2304616,26.2304616
2013,Thabo Mofutsanyane,DC19,fruitless,1323000.0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,irregular,46092000.0,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,unauthorised,0.0,Free State,28.299435,28.299435
2013,Cape Winelands,DC2,fruitless,51000.0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,irregular,9207000.0,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,unauthorised,2531000.0,Western Cape,19.7591675,19.7591675
2013,Fezile Dabi,DC20,fruitless,2454000.0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,irregular,311000.0,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,unauthorised,0.0,Free State,27.7373373,27.7373373
2013,Ugu,DC21,fruitless,2028000.0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,irregular,61101000.0,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,unauthorised,8126000.0,KwaZulu-Natal,30.2512728,30.2512728
2013,Umgungundlovu,DC22,fruitless,291000.0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,irregular,-82000.0,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,unauthorised,0.0,KwaZulu-Natal,30.3435506,30.3435506
2013,Uthukela,DC23,fruitless,3819000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,irregular,42346000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Uthukela,DC23,unauthorised,270891000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Umzinyathi,DC24,fruitless,0.0,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,irregular,12696000.0,KwaZulu-Natal,30.6199895,30.6199895
2013,Umzinyathi,DC24,unauthorised,0.0,KwaZulu-Natal,30.6199895,30.6199895
2013,Amajuba,DC25,fruitless,0.0,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,irregular,0.0,KwaZulu-Natal,30.0665236,30.0665236
2013,Amajuba,DC25,unauthorised,0.0,KwaZulu-Natal,30.0665236,30.0665236
2013,Zululand,DC26,fruitless,43000.0,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,irregular,1443000.0,KwaZulu-Natal,31.4456179,31.4456179
2013,Zululand,DC26,unauthorised,0.0,KwaZulu-Natal,31.4456179,31.4456179
2013,Umkhanyakude,DC27,fruitless,2048000.0,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,irregular,615387000.0,KwaZulu-Natal,32.5372741,32.5372741
2013,Umkhanyakude,DC27,unauthorised,18797000.0,KwaZulu-Natal,32.5372741,32.5372741
2013,Uthungulu,DC28,fruitless,0.0,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,irregular,0.0,KwaZulu-Natal,31.5370003,31.5370003
2013,Uthungulu,DC28,unauthorised,0.0,KwaZulu-Natal,31.5370003,31.5370003
2013,iLembe,DC29,fruitless,0.0,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,irregular,16331000.0,KwaZulu-Natal,31.1710389,31.1710389
2013,iLembe,DC29,unauthorised,0.0,KwaZulu-Natal,31.1710389,31.1710389
2013,Overberg,DC3,fruitless,0.0,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,irregular,2936000.0,Western Cape,19.7591675,19.7591675
2013,Overberg,DC3,unauthorised,140000.0,Western Cape,19.7591675,19.7591675
2013,Gert Sibande,DC30,fruitless,0.0,Mpumalanga,29.9740534,29.9740534
