,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Buffalo City,BUF,AUDA,Total Community Wealth / Equity,10809511000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Non-Current Liabilities,978533000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Current Liabilities,1261827000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Net Assets and Liabilities,13049871000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Non-Current Assets,10483393000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Current Assets,2566478000,Eastern Cape,27.6434844,27.6434844
2013,Buffalo City,BUF,AUDA,Total Assets,13049871000,Eastern Cape,27.6434844,27.6434844
2013,City of Cape Town,CPT,AUDA,Total Community Wealth / Equity,22457196152,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Non-Current Liabilities,11488749793,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Current Liabilities,7988696088,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Net Assets and Liabilities,41934642033,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Non-Current Assets,29033826744,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Current Assets,12900815289,Western Cape,18.4680927,18.4680927
2013,City of Cape Town,CPT,AUDA,Total Assets,41934642033,Western Cape,18.4680927,18.4680927
2013,West Coast,DC1,AUDA,Total Community Wealth / Equity,311995964,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Non-Current Liabilities,175412677,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Current Liabilities,42313476,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Net Assets and Liabilities,529722117,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Non-Current Assets,351132355,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Current Assets,178589762,Western Cape,18.6175626,18.6175626
2013,West Coast,DC1,AUDA,Total Assets,529722117,Western Cape,18.6175626,18.6175626
2013,Cacadu,DC10,AUDA,Total Community Wealth / Equity,248109406,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Non-Current Liabilities,60657250,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Current Liabilities,33328357,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Net Assets and Liabilities,342095013,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Non-Current Assets,85037165,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Current Assets,257057848,Eastern Cape,25.6223644,25.6223644
2013,Cacadu,DC10,AUDA,Total Assets,342095013,Eastern Cape,25.6223644,25.6223644
2013,Amathole,DC12,AUDA,Total Community Wealth / Equity,3719751069,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Non-Current Liabilities,151721009,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Current Liabilities,245670846,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Net Assets and Liabilities,4117142924,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Non-Current Assets,3330240652,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Current Assets,786902272,Eastern Cape,27.3616476,27.3616476
2013,Amathole,DC12,AUDA,Total Assets,4117142924,Eastern Cape,27.3616476,27.3616476
2013,Chris Hani,DC13,AUDA,Total Community Wealth / Equity,3147820261,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Non-Current Liabilities,34386598,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Current Liabilities,257165175,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Net Assets and Liabilities,3439372034,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Non-Current Assets,2861336920,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Current Assets,578035114,Eastern Cape,26.7967849,26.7967849
2013,Chris Hani,DC13,AUDA,Total Assets,3439372034,Eastern Cape,26.7967849,26.7967849
2013,Joe Gqabi,DC14,AUDA,Total Community Wealth / Equity,1218811290,Eastern Cape,26.9852422,26.9852422
