,Name,Code,Province,Latitude,Longitude
0,Buffalo City Metropolitan Municipality,BUF,Eastern Cape,-32.9344395,27.6434844
1,City of Cape Town Metropolitan Municipality,CPT,Western Cape,-34.0229198,18.4680927
2,City of Johannesburg Metropolitan Municipality,JHB,Gauteng,-26.1704415,27.9717606
3,City of Tshwane Metropolitan Municipality,TSH,Gauteng,-25.6051205,28.3929417
4,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.1777025,28.3461948
5,eThekwini Metropolitan Municipality,ETH,KwaZulu-Natal,-29.8120392,30.8039474
6,Mangaung Metropolitan Municipality,MAN,Free State,-29.1585683,26.3249438
7,Nelson Mandela Bay Metropolitan Municipality,NMA,Eastern Cape,-33.7452412,25.5681084
8,Alfred Nzo District Municipality,DC44,Eastern Cape,-30.5483279,28.8596804
9,Amajuba District Municipality,DC25,KwaZulu-Natal,-27.8035597,30.0665236
10,Amathole District Municipality,DC12,Eastern Cape,-32.5841968,27.3616476
11,Bojanala District Municipality,DC37,North West,-25.3823774,27.3616476
12,Cape Winelands District Municipality,DC2,Western Cape,-33.4220698,19.7591675
13,Capricorn District Municipality,DC35,Limpopo,-23.6123286,29.2320784
14,Central Karoo District Municipality,DC5,Western Cape,-32.81462,22.2384017
15,Chris Hani District Municipality,DC13,Eastern Cape,-31.8743439,26.7967849
16,Dr Kenneth Kaunda District Municipality,DC40,North West,-26.8617937,26.5137964
17,Dr Ruth Segomotsi Mompati District Municipality,DC39,North West,-26.6635113,24.3341432
18,Eden District Municipality,DC4,Western Cape,-33.704229,22.047637
19,Ehlanzeni District Municipality,DC32,Mpumalanga,-25.3945969,31.2626366
20,Fezile Dabi District Municipality,DC20,Free State,-27.3890364,27.7373373
21,Frances Baard District Municipality,DC9,Northern Cape,-28.425095,24.3341432
22,Gert Sibande District Municipality,DC30,Mpumalanga,-26.5470697,29.9740534
23,Harry Gwala District Municipality,DC43,KwaZulu-Natal,-30.030286,29.6035495
24,iLembe District Municipality,DC29,KwaZulu-Natal,-29.3830371,31.1710389
25,Joe Gqabi District Municipality,DC14,Eastern Cape,-30.9850196,26.9852422
26,John Taolo Gaetsewe District Municipality,DC45,Northern Cape,-27.2210388,23.1918021
27,King Cetshwayo District Municipality,DC28,KwaZulu-Natal,-28.6191756,31.5370003
28,Lejweleputswa District Municipality,DC18,Free State,-28.3991482,26.2304616
