geo_code,name,total,Formal,Formal-Female,Formal-Male,Informal in backyard,Informal in backyard-Female,Informal in backyard-Male,Informal not in backyard,Informal not in backyard-Female,Informal not in backyard-Male,Other,Other-Female,Other-Male,Traditional,Traditional-Female,Traditional-Male,province
ZA,South Africa,9628269,7531820,3805263,3726557,333130,166902,166228,632838,316239,316599,67811,33121,34690,1062670,536449,526221,South Africa
WC044,George,31801,27636,13987,13649,1758,950,808,1961,1019,942,266,121,145,180,91,89,Western Cape
WC047,Bitou,7455,5575,2829,2746,551,293,258,1038,527,511,214,104,110,77,32,45,Western Cape
WC048,Knysna,10287,7668,3913,3755,543,273,270,1865,1009,856,157,72,85,54,18,36,Western Cape
WC051,Laingsburg,1169,1131,563,568,6,4,2,4,4,0,8,6,2,20,6,14,Western Cape
WC052,Prince Albert,2220,2090,1022,1068,31,19,12,74,37,37,19,11,8,6,4,2,Western Cape
WC053,Beaufort West,8081,7919,3960,3959,55,27,28,32,12,20,38,19,19,37,26,11,Western Cape
MP303,Mkhondo,30165,18751,9508,9243,321,150,171,497,269,228,578,284,294,10018,5182,4836,Mpumalanga
MP311,Victor Khanye,13382,10921,5292,5629,510,220,290,1151,582,569,397,169,228,403,193,210,Mpumalanga
MP322,Mbombela,123253,117195,60320,56875,1750,904,846,2243,1155,1088,440,208,232,1625,797,828,North West
NW373,Rustenburg,89597,67056,32874,34182,9441,4399,5042,12036,5521,6515,593,288,305,471,236,235,North West
NW384,Ditsobotla,29255,21769,10881,10888,621,288,333,3832,1947,1885,274,131,143,2759,1386,1373,North West
NW396,Lekwa-Teemane,9513,7611,3760,3851,590,301,289,1238,582,656,46,17,29,28,10,18,Northern Cape
NC062,Nama Khoi,7416,7193,3534,3659,64,38,26,57,27,30,72,34,38,30,19,11,Northern Cape
NC071,Ubuntu,3037,2682,1302,1380,39,16,23,241,137,104,9,4,5,66,39,27,Northern Cape
NC077,Siyathemba,3454,3121,1564,1557,108,50,58,211,111,100,3,0,3,11,5,6,Northern Cape
NC085,Tsantsabane,6347,5011,2374,2637,181,77,104,1032,500,532,72,37,35,51,23,28,Northern Cape
NC094,Phokwane,11356,9862,4937,4925,186,100,86,1101,578,523,99,48,51,108,54,54,Western Cape
WC012,Cederberg,7933,7099,3505,3594,167,86,81,535,277,258,88,49,39,44,21,23,Western Cape
WC024,Stellenbosch,31320,25416,12599,12817,1200,657,543,4177,2170,2007,322,160,162,205,98,107,Western Cape
WC033,Cape Agulhas,5158,4402,2288,2114,76,48,28,588,264,324,55,29,26,37,21,16,Western Cape
WC045,Oudtshoorn,16196,14578,7277,7301,554,274,280,843,454,389,86,37,49,135,75,60,Eastern Cape
EC102,Blue Crane Route,5758,5587,2800,2787,47,31,16,64,28,36,25,15,10,35,26,9,Eastern Cape
EC103,Ikwezi,1639,1605,836,769,28,10,18,3,2,1,3,3,0,0,0,0,Eastern Cape
EC104,Makana,13607,11726,6005,5721,359,198,161,928,442,486,95,47,48,499,269,230,Eastern Cape
EC106,Sundays River Valley,9227,7986,3746,4240,303,139,164,483,239,244,52,19,33,403,184,219,Eastern Cape
EC107,Baviaans,2790,2688,1310,1378,15,11,4,9,6,3,29,9,20,49,22,27,Eastern Cape
EC108,Kouga,15324,12225,6065,6160,908,488,420,1835,962,873,208,107,101,148,78,70,Eastern Cape
EC109,Kou-Kamma,6623,6091,2965,3126,261,125,136,174,69,105,82,36,46,15,5,10,Eastern Cape
EC121,Mbhashe,51986,13843,6835,7008,326,170,156,486,296,190,207,98,109,37124,18391,18733,Eastern Cape
EC123,Great Kei,6074,3710,1676,2034,369,177,192,593,288,305,29,13,16,1373,661,712,Eastern Cape
EC124,Amahlathi,21946,12988,6170,6818,297,150,147,507,260,247,152,69,83,8002,3726,4276,Eastern Cape
EC126,Ngqushwa,11270,8272,3836,4436,231,111,120,282,151,131,37,12,25,2448,1181,1267,Eastern Cape
EC127,Nkonkobe,20763,14322,6832,7490,122,57,65,197,96,101,104,54,50,6018,2741,3277,Eastern Cape
EC131,Inxuba Yethemba,10862,10643,5320,5323,82,47,35,62,24,38,35,10,25,40,16,24,Eastern Cape
EC132,Tsolwana,6237,5399,2633,2766,45,23,22,12,7,5,10,5,5,771,398,373,Eastern Cape
EC133,Inkwanca,4057,3943,1952,1991,37,20,17,25,8,17,24,9,15,28,13,15,Eastern Cape
EC134,Lukanji,35518,31697,15819,15878,258,126,132,705,371,334,149,73,76,2709,1232,1477,Eastern Cape
EC136,Emalahleni,21981,12150,5647,6503,24,13,11,38,19,19,55,23,32,9714,4636,5078,Eastern Cape
EC137,Engcobo,29225,7608,3821,3787,102,62,40,179,91,88,290,155,135,21046,10392,10654,Eastern Cape
EC138,Sakhisizwe,12068,7362,3615,3747,208,107,101,313,141,172,100,40,60,4085,1842,2243,Eastern Cape
EC141,Elundini,27210,8471,4126,4345,68,30,38,144,67,77,91,39,52,18436,8651,9785,Eastern Cape
EC142,Senqu,27204,19424,9706,9718,531,264,267,804,378,426,189,93,96,6256,3064,3192,Eastern Cape
EC143,Maletswai,7743,6718,3422,3296,197,127,70,754,417,337,27,16,11,47,19,28,Eastern Cape
EC153,Ngquza Hill,56846,21338,10560,10778,184,94,90,105,50,55,213,95,118,35006,17547,17459,Eastern Cape
EC154,Port St Johns,32086,7469,3790,3679,103,38,65,77,38,39,71,37,34,24366,12317,12049,Eastern Cape
EC155,Nyandeni,63961,19504,9844,9660,134,82,52,94,45,49,558,288,270,43671,21634,22037,Eastern Cape
EC156,Mhlontlo,39141,12593,6131,6462,100,66,34,319,149,170,229,101,128,25900,12438,13462,Eastern Cape
EC441,Matatiele,37386,18240,9125,9115,253,125,128,130,58,72,2198,1048,1150,16565,7923,8642,Eastern Cape
EC442,Umzimvubu,37603,13563,6854,6709,152,85,67,297,152,145,538,266,272,23053,11342,11711,Eastern Cape
EC443,Mbizana,51633,20553,10483,10070,196,101,95,158,77,81,539,263,276,30187,15520,14667,Eastern Cape
EC444,Ntabankulu,24293,5301,2693,2608,50,26,24,24,14,10,140,73,67,18778,9515,9263,Free State
FS161,Letsemeng,6712,5796,2884,2912,312,142,170,562,297,265,26,11,15,16,9,7,Free State
FS162,Kopanong,8302,7708,3854,3854,208,110,98,329,188,141,34,15,19,23,13,10,Free State
FS163,Mohokare,6404,5507,2747,2760,521,287,234,308,160,148,17,9,8,51,31,20,Free State
FS181,Masilonyana,10663,8919,4550,4369,468,251,217,1180,640,540,64,39,25,32,9,23,Free State
FS182,Tokologo,4956,4185,2110,2075,360,189,171,358,193,165,34,13,21,19,10,9,Free State
FS183,Tswelopele,8582,6848,3445,3403,869,462,407,801,440,361,31,16,15,33,15,18,Free State
FS184,Matjhabeng,74351,59981,30445,29536,4197,2125,2072,9017,4573,4444,895,473,422,261,127,134,Free State
FS185,Nala,14817,11642,6000,5642,909,478,431,2157,1110,1047,52,21,31,57,24,33,Free State
FS192,Dihlabeng,22173,16731,8529,8202,2202,1201,1001,1699,884,815,78,36,42,1463,757,706,Free State
FS193,Nketoana,11343,8049,4051,3998,1686,851,835,1109,574,535,30,21,9,469,225,244,Free State
