geo_code,name,total,Electricity_for_everything,Electricity_for_everything_Female,Electricity_for_everything_Male,Electricity_for_some_things,Electricity_for_some_things_Female,Electricity_for_some_things_Male,No_electricity,No_electricity_Female,No_electricity_Male,province
ZA,South Africa,10140504,5339630,2699290,2640340,3352217,1677965,1674252,1448657,724660,723997,South Africa
WC044,George,33649,18297,9274,9023,12910,6516,6394,2442,1247,1195,Western Cape
WC047,Bitou,7848,3582,1755,1827,3870,2009,1861,396,185,211,Western Cape
WC048,Knysna,10872,6368,3294,3074,3572,1792,1780,932,473,459,Western Cape
WC051,Laingsburg,1237,842,443,399,240,108,132,155,67,88,Western Cape
WC052,Prince Albert,2246,1408,702,706,600,278,322,238,120,118,Western Cape
WC053,Beaufort West,8266,5643,2906,2737,2201,1051,1150,422,185,237,Western Cape
MP303,Mkhondo,30970,7812,3940,3872,12575,6421,6154,10583,5391,5192,Mpumalanga
MP311,Victor Khanye,13692,4746,2187,2559,7414,3657,3757,1532,743,789,Mpumalanga
MP322,Mbombela,127097,92200,47569,44631,28061,14107,13954,6836,3533,3303,North West
NW373,Rustenburg,97014,69723,34295,35428,13774,6535,7239,13517,5787,7730,North West
NW384,Ditsobotla,30116,15034,7640,7394,8107,4036,4071,6975,3468,3507,North West
NW396,Lekwa-Teemane,9818,5200,2601,2599,3685,1764,1921,933,424,509,Northern Cape
NC062,Nama Khoi,7989,6641,3279,3362,1187,595,592,161,55,106,Northern Cape
NC071,Ubuntu,3106,2011,1002,1009,767,381,386,328,154,174,Northern Cape
NC077,Siyathemba,3553,1930,974,956,1303,660,643,320,145,175,Northern Cape
NC085,Tsantsabane,6510,4800,2308,2492,1076,466,610,634,283,351,Northern Cape
NC094,Phokwane,11441,7542,3779,3763,2203,1084,1119,1696,885,811,Western Cape
WC012,Cederberg,8701,5837,2898,2939,2176,1035,1141,688,360,328,Western Cape
WC024,Stellenbosch,38264,27107,13941,13166,9562,4879,4683,1595,842,753,Western Cape
WC033,Cape Agulhas,5339,3296,1712,1584,1913,979,934,130,63,67,Western Cape
WC045,Oudtshoorn,17288,9614,4817,4797,5206,2470,2736,2468,1241,1227,Eastern Cape
EC102,Blue Crane Route,5947,3462,1776,1686,1848,913,935,637,309,328,Eastern Cape
EC103,Ikwezi,1667,917,479,438,594,303,291,156,79,77,Eastern Cape
EC104,Makana,17520,7883,4272,3611,8368,4233,4135,1269,633,636,Eastern Cape
