geo_code,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male,province
ZA,South Africa,9432800,7903787,3918261,3985526,1529013,840071,688942,South Africa
WC044,George,31075,25485,12853,12632,5590,2984,2606,Western Cape
WC047,Bitou,7323,6121,3024,3097,1202,690,512,Western Cape
WC048,Knysna,10101,8802,4465,4337,1299,734,565,Western Cape
WC051,Laingsburg,1122,849,421,428,273,136,137,Western Cape
WC052,Prince Albert,2177,1561,769,792,616,300,316,Western Cape
WC053,Beaufort West,7752,6656,3294,3362,1096,608,488,Western Cape
MP303,Mkhondo,30026,26026,13076,12950,4000,2262,1738,Mpumalanga
MP311,Victor Khanye,13198,11783,5588,6195,1415,779,636,Mpumalanga
MP322,Mbombela,121638,112438,57153,55285,9200,5411,3789,North West
NW373,Rustenburg,86620,74839,35236,39603,11781,6544,5237,North West
NW384,Ditsobotla,28997,23696,11651,12045,5301,2862,2439,North West
NW396,Lekwa-Teemane,9421,7524,3635,3889,1897,997,900,Northern Cape
NC062,Nama Khoi,7359,6547,3194,3353,812,422,390,Northern Cape
NC071,Ubuntu,2946,2366,1161,1205,580,306,274,Northern Cape
NC077,Siyathemba,3426,2600,1295,1305,826,420,406,Northern Cape
NC085,Tsantsabane,6262,5371,2491,2880,891,471,420,Northern Cape
NC094,Phokwane,11218,8921,4379,4542,2297,1268,1029,Western Cape
WC012,Cederberg,7772,6399,3164,3235,1373,701,672,Western Cape
WC024,Stellenbosch,28590,25015,12391,12624,3575,1929,1646,Western Cape
WC033,Cape Agulhas,5057,4531,2320,2211,526,292,234,Western Cape
WC045,Oudtshoorn,15986,12162,5949,6213,3824,2074,1750,Eastern Cape
EC102,Blue Crane Route,5709,4967,2467,2500,742,419,323,Eastern Cape
EC103,Ikwezi,1610,1441,748,693,169,82,87,Eastern Cape
EC104,Makana,13322,11251,5725,5526,2071,1083,988,Eastern Cape
EC106,Sundays River Valley,9143,7942,3689,4253,1201,599,602,Eastern Cape
EC107,Baviaans,2757,2276,1102,1174,481,237,244,Eastern Cape
EC108,Kouga,15186,13109,6508,6601,2077,1118,959,Eastern Cape
EC109,Kou-Kamma,6533,4946,2380,2566,1587,792,795,Eastern Cape
EC121,Mbhashe,51704,22207,10470,11737,29497,15162,14335,Eastern Cape
EC123,Great Kei,6039,2939,1282,1657,3100,1518,1582,Eastern Cape
EC124,Amahlathi,21834,14946,6842,8104,6888,3476,3412,Eastern Cape
EC126,Ngqushwa,11059,7682,3446,4236,3377,1738,1639,Eastern Cape
EC127,Nkonkobe,20587,16724,7612,9112,3863,2082,1781,Eastern Cape
EC131,Inxuba Yethemba,10739,9354,4613,4741,1385,752,633,Eastern Cape
EC132,Tsolwana,6155,4968,2372,2596,1187,650,537,Eastern Cape
EC133,Inkwanca,3994,3211,1533,1678,783,429,354,Eastern Cape
EC134,Lukanji,35292,29379,14358,15021,5913,3141,2772,Eastern Cape
EC136,Emalahleni,21656,15165,6828,8337,6491,3347,3144,Eastern Cape
EC137,Engcobo,28024,12781,6096,6685,15243,7828,7415,Eastern Cape
EC138,Sakhisizwe,11778,8213,3796,4417,3565,1805,1760,Eastern Cape
EC141,Elundini,26807,19108,8659,10449,7699,4035,3664,Eastern Cape
EC142,Senqu,26823,19246,9161,10085,7577,4139,3438,Eastern Cape
EC143,Maletswai,7640,6213,3122,3091,1427,818,609,Eastern Cape
EC153,Ngquza Hill,56457,43141,20833,22308,13316,7299,6017,Eastern Cape
EC154,Port St Johns,32090,24506,12073,12433,7584,4142,3442,Eastern Cape
EC155,Nyandeni,63438,37864,18160,19704,25574,13478,12096,Eastern Cape
EC156,Mhlontlo,38870,28774,13449,15325,10096,5315,4781,Eastern Cape
EC441,Matatiele,36505,25859,12147,13712,10646,5683,4963,Eastern Cape
EC442,Umzimvubu,36722,29930,14396,15534,6792,3839,2953,Eastern Cape
EC443,Mbizana,51518,31943,15874,16069,19575,10487,9088,Eastern Cape
EC444,Ntabankulu,24132,15998,7922,8076,8134,4327,3807,Free State
FS161,Letsemeng,6670,6035,3006,3029,635,312,323,Free State
FS162,Kopanong,8205,7237,3597,3640,968,542,426,Free State
FS163,Mohokare,6348,5256,2587,2669,1092,631,461,Free State
FS181,Masilonyana,10464,8817,4442,4375,1647,947,700,Free State
FS182,Tokologo,4882,4115,2058,2057,767,425,342,Free State
FS183,Tswelopele,8490,7166,3587,3579,1324,736,588,Free State
FS184,Matjhabeng,73518,65703,33015,32688,7815,4305,3510,Free State
FS185,Nala,14629,13509,6912,6597,1120,617,503,Free State
FS192,Dihlabeng,21943,18099,9139,8960,3844,2158,1686,Free State
FS193,Nketoana,11264,9320,4612,4708,1944,1079,865,Free State
FS194,Maluti a Phofung,72288,66971,33877,33094,5317,3042,2275,Free State
FS195,Phumelela,8776,7918,3959,3959,858,494,364,Free State
FS201,Moqhaka,26041,24136,12058,12078,1905,1068,837,Free State
FS203,Ngwathe,20832,19396,9777,9619,1436,795,641,Free State
FS204,Metsimaholo,25478,24075,11796,12279,1403,781,622,Free State
FS205,Mafube,10525,9674,4889,4785,851,486,365,Gauteng
GT421,Emfuleni,131722,117475,58558,58917,14247,7863,6384,Gauteng
GT423,Lesedi,16574,15457,7611,7846,1117,635,482,Gauteng
GT481,Mogale City,57255,48323,23384,24939,8932,4929,4003,Gauteng
GT482,Randfontein,23596,19881,9786,10095,3715,2013,1702,Gauteng
GT483,Westonaria,19145,13801,6452,7349,5344,2971,2373,KwaZulu-Natal
KZN211,Vulamehlo,15763,11540,5690,5850,4223,2282,1941,KwaZulu-Natal
KZN212,Umdoni,14402,11623,5745,5878,2779,1543,1236,KwaZulu-Natal
KZN213,Umzumbe,33195,23859,11553,12306,9336,4911,4425,KwaZulu-Natal
KZN214,UMuziwabantu,20193,16236,8082,8154,3957,2148,1809,KwaZulu-Natal
KZN215,Ezingoleni,10732,6898,3301,3597,3834,2048,1786,KwaZulu-Natal
KZN221,uMshwathi,21916,18151,9036,9115,3765,2059,1706,KwaZulu-Natal
KZN222,uMngeni,14803,12540,6197,6343,2263,1258,1005,KwaZulu-Natal
KZN223,Mpofana,7026,5769,2790,2979,1257,700,557,KwaZulu-Natal
KZN224,Impendle,6785,6369,3123,3246,416,241,175,KwaZulu-Natal
KZN225,The Msunduzi,120545,104981,52536,52445,15564,8816,6748,KwaZulu-Natal
KZN226,Mkhambathini,12010,9521,4629,4892,2489,1377,1112,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,45402,37615,19048,18567,7787,4373,3414,KwaZulu-Natal
KZN233,Indaka,21800,14249,7369,6880,7551,4194,3357,KwaZulu-Natal
KZN234,Umtshezi,15873,12041,6034,6007,3832,2099,1733,KwaZulu-Natal
KZN235,Okhahlamba,25783,19819,9945,9874,5964,3227,2737,KwaZulu-Natal
KZN236,Imbabazane,23737,19209,9568,9641,4528,2491,2037,KwaZulu-Natal
KZN242,Nqutu,34783,26637,13563,13074,8146,4458,3688,KwaZulu-Natal
KZN244,Msinga,35850,22569,12098,10471,13281,7332,5949,KwaZulu-Natal
KZN245,Umvoti,20636,16295,8571,7724,4341,2404,1937,KwaZulu-Natal
KZN252,Newcastle,73880,63563,31445,32118,10317,5770,4547,KwaZulu-Natal
KZN254,Dannhauser,21537,16464,7915,8549,5073,2773,2300,KwaZulu-Natal
KZN261,eDumbe,16848,13615,6796,6819,3233,1736,1497,KwaZulu-Natal
KZN262,UPhongolo,27541,21049,10445,10604,6492,3639,2853,KwaZulu-Natal
KZN263,Abaqulusi,40911,32826,16064,16762,8085,4447,3638,KwaZulu-Natal
KZN265,Nongoma,42162,28212,14331,13881,13950,7568,6382,KwaZulu-Natal
KZN266,Ulundi,38362,28815,14752,14063,9547,5213,4334,KwaZulu-Natal
KZN272,Jozini,41149,30308,15473,14835,10841,5922,4919,KwaZulu-Natal
KZN273,The Big 5 False Bay,6914,5096,2568,2528,1818,980,838,KwaZulu-Natal
