geo_code,name,total,At least one employed adult,No employed adult,province
ZA,South Africa,9770007,5647743,4122264,South Africa
WC044,George,32510,25891,6619,Western Cape
WC047,Bitou,7537,5809,1728,Western Cape
WC048,Knysna,10562,8313,2249,Western Cape
WC051,Laingsburg,1172,971,201,Western Cape
WC052,Prince Albert,2217,1554,663,Western Cape
WC053,Beaufort West,8047,4800,3247,Western Cape
MP303,Mkhondo,30097,15391,14706,Mpumalanga
MP311,Victor Khanye,13462,9512,3950,Mpumalanga
MP322,Mbombela,123455,82367,41088,North West
NW373,Rustenburg,94375,70373,24002,North West
NW384,Ditsobotla,29416,17463,11953,North West
NW396,Lekwa-Teemane,9474,5319,4155,Northern Cape
NC062,Nama Khoi,7445,5116,2329,Northern Cape
NC071,Ubuntu,3047,2125,922,Northern Cape
NC077,Siyathemba,3436,2394,1042,Northern Cape
NC085,Tsantsabane,6379,4666,1713,Northern Cape
NC094,Phokwane,11301,6280,5021,Western Cape
WC012,Cederberg,8012,6715,1297,Western Cape
WC024,Stellenbosch,32193,24189,8004,Western Cape
WC033,Cape Agulhas,5224,4680,544,Western Cape
WC045,Oudtshoorn,16275,11532,4743,Eastern Cape
EC102,Blue Crane Route,5784,2986,2798,Eastern Cape
EC103,Ikwezi,1632,1065,567,Eastern Cape
EC104,Makana,13655,8283,5372,Eastern Cape
EC106,Sundays River Valley,9296,6469,2827,Eastern Cape
EC107,Baviaans,2763,1677,1086,Eastern Cape
EC108,Kouga,15622,12008,3614,Eastern Cape
EC109,Kou-Kamma,6643,5657,986,Eastern Cape
EC121,Mbhashe,50724,10689,40035,Eastern Cape
EC123,Great Kei,6522,2930,3592,Eastern Cape
EC124,Amahlathi,21547,8578,12969,Eastern Cape
EC126,Ngqushwa,11553,3033,8520,Eastern Cape
EC127,Nkonkobe,20424,6720,13704,Eastern Cape
EC131,Inxuba Yethemba,10849,6991,3858,Eastern Cape
EC132,Tsolwana,6071,2025,4046,Eastern Cape
EC133,Inkwanca,4052,1825,2227,Eastern Cape
EC134,Lukanji,35728,16659,19069,Eastern Cape
EC136,Emalahleni,21380,5248,16132,Eastern Cape
EC137,Engcobo,28846,6464,22382,Eastern Cape
EC138,Sakhisizwe,12346,4816,7530,Eastern Cape
EC141,Elundini,27231,7828,19403,Eastern Cape
EC142,Senqu,26435,9463,16972,Eastern Cape
EC143,Maletswai,7987,4641,3346,Eastern Cape
EC153,Ngquza Hill,57680,12247,45433,Eastern Cape
EC154,Port St Johns,33236,5668,27568,Eastern Cape
EC155,Nyandeni,62991,15072,47919,Eastern Cape
EC156,Mhlontlo,39099,9490,29609,Eastern Cape
EC441,Matatiele,39384,13422,25962,Eastern Cape
EC442,Umzimvubu,38246,11018,27228,Eastern Cape
EC443,Mbizana,58424,14061,44363,Eastern Cape
EC444,Ntabankulu,25828,4878,20950,Free State
FS161,Letsemeng,6631,4144,2487,Free State
FS162,Kopanong,8256,4573,3683,Free State
FS163,Mohokare,6315,3182,3133,Free State
FS181,Masilonyana,10786,5297,5489,Free State
FS182,Tokologo,4900,2707,2193,Free State
FS183,Tswelopele,8772,4722,4050,Free State
FS184,Matjhabeng,75279,44881,30398,Free State
FS185,Nala,14780,7773,7007,Free State
FS192,Dihlabeng,22104,13967,8137,Free State
FS193,Nketoana,11182,6206,4976,Free State
FS194,Maluti a Phofung,71457,29760,41697,Free State
FS195,Phumelela,8734,5211,3523,Free State
FS201,Moqhaka,26166,15437,10729,Free State
FS203,Ngwathe,20849,11338,9511,Free State
FS204,Metsimaholo,26504,18138,8366,Free State
FS205,Mafube,10613,5594,5019,Gauteng
GT421,Emfuleni,137114,87450,49664,Gauteng
GT423,Lesedi,16848,12522,4326,Gauteng
GT481,Mogale City,60990,47261,13729,Gauteng
GT482,Randfontein,25323,19390,5933,Gauteng
GT483,Westonaria,19984,13629,6355,KwaZulu-Natal
KZN211,Vulamehlo,15653,4394,11259,KwaZulu-Natal
KZN212,Umdoni,14684,8161,6523,KwaZulu-Natal
KZN213,Umzumbe,32708,9484,23224,KwaZulu-Natal
KZN214,UMuziwabantu,20088,6982,13106,KwaZulu-Natal
KZN215,Ezingoleni,10613,3763,6850,KwaZulu-Natal
KZN221,uMshwathi,21810,10157,11653,KwaZulu-Natal
KZN222,uMngeni,15583,11115,4468,KwaZulu-Natal
KZN223,Mpofana,7203,4242,2961,KwaZulu-Natal
KZN224,Impendle,6650,1484,5166,KwaZulu-Natal
KZN225,The Msunduzi,123335,75648,47687,KwaZulu-Natal
KZN226,Mkhambathini,12483,6321,6162,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,45665,24843,20822,KwaZulu-Natal
KZN233,Indaka,21439,3879,17560,KwaZulu-Natal
KZN234,Umtshezi,15875,6937,8938,KwaZulu-Natal
KZN235,Okhahlamba,25924,8530,17394,KwaZulu-Natal
KZN236,Imbabazane,23579,8395,15184,KwaZulu-Natal
KZN242,Nqutu,34281,7274,27007,KwaZulu-Natal
KZN244,Msinga,35084,6159,28925,KwaZulu-Natal
KZN245,Umvoti,20339,8041,12298,KwaZulu-Natal
KZN252,Newcastle,74337,36040,38297,KwaZulu-Natal
KZN254,Dannhauser,21273,8364,12909,KwaZulu-Natal
KZN261,eDumbe,16734,6185,10549,KwaZulu-Natal
KZN262,UPhongolo,27649,10569,17080,KwaZulu-Natal
KZN263,Abaqulusi,41875,14993,26882,KwaZulu-Natal
KZN265,Nongoma,42529,10540,31989,KwaZulu-Natal
