municipality,province,Black,Coloured,Indian_Asian,White,Other
WC044,Western Cape,10757,18242,167,4120,365
WC047,Western Cape,3994,2700,48,678,428
WC048,Western Cape,4602,5059,48,1027,138
WC051,Western Cape,98,1064,0,62,13
WC052,Western Cape,57,2050,8,122,9
WC053,Western Cape,1488,6210,37,484,49
MP303,Mpumalanga,29637,192,225,842,73
MP311,Mpumalanga,11672,158,67,1755,41
MP322,North West,118146,1437,715,6611,188
NW373,North West,87367,888,716,7572,471
NW384,North West,27397,620,177,1844,76
NW396,Northern Cape,8332,771,46,628,41
NC062,Northern Cape,338,7215,42,335,60
NC071,Northern Cape,708,2265,11,95,27
NC077,Northern Cape,722,2623,22,167,18
NC085,Northern Cape,3431,2629,32,371,46
NC094,Western Cape,9585,1268,49,481,58
WC012,Western Cape,1598,6511,39,526,26
WC024,Western Cape,10824,16574,198,10395,273
WC033,Western Cape,775,3861,18,625,59
WC045,Eastern Cape,1863,14080,57,1165,123
EC102,Eastern Cape,3626,2022,18,223,57
EC103,Eastern Cape,649,921,3,81,14
EC104,Eastern Cape,12935,1898,218,2355,113
EC106,Eastern Cape,7046,2166,13,275,120
EC107,Eastern Cape,346,2435,8,64,21
EC108,Eastern Cape,6594,7608,37,1438,177
EC109,Eastern Cape,2259,3976,24,314,121
EC121,Eastern Cape,54529,150,84,111,97
EC123,Eastern Cape,6712,84,6,207,7
EC124,Eastern Cape,22213,305,21,200,49
EC126,Eastern Cape,11980,29,18,17,20
EC127,Eastern Cape,23518,1018,56,227,75
EC131,Eastern Cape,6569,3928,44,856,98
EC132,Eastern Cape,5869,334,13,72,12
EC133,Eastern Cape,3884,171,4,102,23
EC134,Eastern Cape,34924,1338,154,618,177
EC136,Eastern Cape,23166,132,41,61,75
EC137,Eastern Cape,30442,41,35,33,53
EC138,Eastern Cape,12678,89,22,64,29
EC141,Eastern Cape,28216,271,22,104,63
EC142,Eastern Cape,27226,322,60,112,53
EC143,Eastern Cape,7263,590,32,304,27
EC153,Eastern Cape,59308,386,94,58,79
EC154,Eastern Cape,34281,177,39,34,12
EC155,Eastern Cape,64573,261,96,45,53
EC156,Eastern Cape,40393,124,45,63,42
EC441,Eastern Cape,41632,364,104,177,42
EC442,Eastern Cape,40273,179,41,47,44
EC443,Eastern Cape,60240,155,61,38,29
EC444,Free State,26391,147,27,13,18
FS161,Free State,5065,1673,16,335,30
FS162,Free State,6624,1684,41,356,38
FS163,Free State,6108,151,17,195,9
FS181,Free State,10922,158,33,488,36
FS182,Free State,4831,236,29,240,21
FS183,Free State,8442,123,36,358,16
FS184,Free State,71240,1758,260,5015,144
FS185,Free State,14382,101,37,506,42
FS192,Free State,20998,401,92,1491,37
FS193,Free State,11028,45,32,483,23
FS194,Free State,73784,162,121,486,64
FS195,Free State,8559,38,31,354,35
FS201,Free State,26537,872,88,1788,91
FS203,Free State,19507,616,80,1248,65
FS204,Free State,23981,192,77,3274,83
FS205,Gauteng,10381,71,34,452,24
GT421,Gauteng,125015,1741,1080,11466,484
GT423,Gauteng,14743,241,184,2455,70
GT481,Gauteng,53466,514,1466,9346,227
GT482,Gauteng,18728,2682,101,4009,95
GT483,KwaZulu-Natal,18753,144,70,1161,84
KZN211,KwaZulu-Natal,15983,23,46,26,8
KZN212,KwaZulu-Natal,12878,150,1858,429,34
KZN213,KwaZulu-Natal,33625,45,36,38,31
KZN214,KwaZulu-Natal,20284,168,67,47,25
KZN215,KwaZulu-Natal,11007,29,24,38,8
KZN221,KwaZulu-Natal,21722,51,315,253,55
KZN222,KwaZulu-Natal,14282,323,656,2102,35
KZN223,KwaZulu-Natal,7061,56,123,274,26
KZN224,KwaZulu-Natal,6816,12,4,15,8
KZN225,KwaZulu-Natal,110950,3463,10494,4734,337
KZN226,KwaZulu-Natal,12520,45,175,189,25
KZN232,KwaZulu-Natal,43633,446,1684,695,70
KZN233,KwaZulu-Natal,21791,32,47,15,7
KZN234,KwaZulu-Natal,15093,202,832,175,40
KZN235,KwaZulu-Natal,26218,30,73,210,37
KZN236,KwaZulu-Natal,23881,18,26,20,12
KZN242,KwaZulu-Natal,35138,36,42,24,30
KZN244,KwaZulu-Natal,36330,23,49,46,22
KZN245,KwaZulu-Natal,20561,176,340,298,42
KZN252,KwaZulu-Natal,72226,553,1943,1634,130
KZN254,KwaZulu-Natal,21366,71,260,97,15
KZN261,KwaZulu-Natal,16818,14,38,137,32
KZN262,KwaZulu-Natal,27863,31,28,196,25
KZN263,KwaZulu-Natal,42593,192,154,890,62
KZN265,KwaZulu-Natal,43841,64,73,55,36
KZN266,KwaZulu-Natal,40567,61,48,54,49
KZN272,KwaZulu-Natal,41364,40,78,49,76
KZN273,KwaZulu-Natal,7396,11,16,79,4
KZN274,KwaZulu-Natal,16080,23,25,14,18
KZN275,KwaZulu-Natal,37093,133,110,214,38
KZN281,KwaZulu-Natal,26246,50,52,84,15
KZN283,KwaZulu-Natal,16559,37,25,11,9
KZN284,KwaZulu-Natal,44581,221,273,310,87
KZN285,KwaZulu-Natal,9629,24,22,31,12
KZN286,KwaZulu-Natal,24742,32,12,33,14
KZN291,KwaZulu-Natal,28575,129,436,166,37
KZN293,KwaZulu-Natal,29340,50,159,41,117
KZN294,KwaZulu-Natal,20730,24,21,19,14
KZN431,KwaZulu-Natal,20791,30,24,57,20
KZN432,KwaZulu-Natal,2207,11,4,64,3
KZN434,KwaZulu-Natal,20851,188,59,80,19
KZN435,Limpopo,39345,109,43,25,34
LIM331,Limpopo,57480,39,114,39,29
LIM332,Limpopo,49774,45,32,233,74
LIM333,Limpopo,81273,124,241,1190,110
LIM335,Limpopo,20416,49,49,334,24
LIM341,Limpopo,12516,30,54,357,42
LIM342,Limpopo,20505,28,14,67,29
LIM343,Limpopo,143701,101,422,88,130
LIM344,Limpopo,108541,193,260,1105,136
LIM351,Limpopo,36402,9,46,73,83
LIM353,Limpopo,23181,56,39,150,51
LIM354,Limpopo,130331,1275,752,4253,284
LIM355,Limpopo,47954,35,51,51,40
LIM361,Limpopo,11679,79,30,1593,47
LIM362,Limpopo,22649,192,65,1187,54
LIM365,Limpopo,11712,52,59,684,30
LIM366,Eastern Cape,10791,209,64,718,26
BUF,Eastern Cape,125313,8511,933,7055,573
EC101,Eastern Cape,2579,6118,57,499,42
EC105,Eastern Cape,8266,754,28,616,77
EC122,Eastern Cape,51613,130,72,102,50
EC128,Eastern Cape,3183,872,24,98,30
EC135,Eastern Cape,27106,99,45,38,62
EC144,Eastern Cape,4722,944,13,249,28
EC157,Eastern Cape,104254,768,310,280,165
NMA,Eastern Cape,136261,50240,2222,22961,2234
FS164,Free State,4571,75,23,106,14
FS191,Free State,20715,217,152,636,37
FS196,Free State,9011,361,55,325,42
MAN,Free State,130141,7653,683,13864,457
EKU,Gauteng,478034,16129,9898,61368,2629
GT422,Gauteng,10584,305,123,4807,62
GT484,Gauteng,30376,382,106,3091,77
JHB,Gauteng,654540,45820,29439,58282,4379
TSH,Gauteng,447047,11442,8297,81257,2771
ETH,KwaZulu-Natal,562900,16572,102150,26385,2715
KZN216,KwaZulu-Natal,45174,737,2224,2201,93
KZN227,KwaZulu-Natal,12484,128,130,134,23
KZN241,KwaZulu-Natal,11801,354,598,518,33
KZN253,KwaZulu-Natal,6397,77,8,165,7
KZN271,KwaZulu-Natal,33556,22,36,29,31
KZN282,KwaZulu-Natal,66903,652,2351,3266,149
KZN292,KwaZulu-Natal,38200,431,5662,1053,313
KZN433,KwaZulu-Natal,12396,1019,90,212,32
LIM334,KwaZulu-Natal,29337,79,51,994,20
LIM352,Limpopo,27950,27,27,30,66
LIM364,Limpopo,5718,27,18,333,39
LIM367,Limpopo,63128,89,307,1136,119
LIM471,Limpopo,25010,15,62,214,63
LIM472,Limpopo,52246,56,132,431,93
LIM473,Limpopo,56755,30,106,31,54
LIM474,Limpopo,19214,4,20,52,27
LIM475,Limpopo,71012,121,108,631,56
MP301,Limpopo,41102,122,179,339,84
MP302,Mpumalanga,26452,170,282,2165,95
MP304,Mpumalanga,15004,97,171,772,25
MP305,Mpumalanga,18492,647,216,2073,69
MP306,Mpumalanga,7416,39,48,461,12
MP307,Mpumalanga,47983,842,785,6898,229
MP312,Mpumalanga,64387,1274,609,9076,299
MP313,Mpumalanga,32384,1274,594,7341,175
MP314,Mpumalanga,7917,132,68,536,7
MP315,Mpumalanga,64101,144,281,48,157
MP316,Mpumalanga,51800,77,156,23,82
MP321,Mpumalanga,14814,517,103,1985,130
MP323,Mpumalanga,11685,267,119,899,19
MP324,Mpumalanga,91229,266,345,765,99
MP325,Mpumalanga,125399,157,152,141,70
NW371,Mpumalanga,35000,58,49,50,69
NW372,North West,79682,836,467,6108,383
NW374,North West,7724,203,84,1215,53
NW375,North West,42491,111,172,234,91
NW381,North West,19391,178,56,87,29
NW382,North West,21875,417,69,909,56
NW383,North West,57101,1287,447,497,95
NW385,North West,25755,257,175,719,97
NW392,North West,9061,1839,117,752,107
NW393,North West,10424,267,58,413,27
NW394,North West,33205,382,86,74,65
NW397,North West,18121,305,49,230,57
NW401,North West,9021,338,34,377,147
NW402,North West,21803,2199,394,9272,175
NW403,North West,60620,2550,629,7392,201
NW404,North West,13113,389,79,735,47
NC061,North West,210,1456,8,79,19
NC064,Northern Cape,105,1441,8,41,9
NC065,Northern Cape,144,3087,20,175,19
NC066,Northern Cape,141,1503,26,88,7
NC067,Northern Cape,589,1566,9,75,21
NC072,Northern Cape,3191,1493,20,120,44
NC073,Northern Cape,2412,4457,43,374,36
NC074,Northern Cape,103,1681,7,74,6
NC075,Northern Cape,604,1043,12,64,4
NC076,Northern Cape,441,2025,14,261,14
NC078,Northern Cape,2011,3894,44,301,96
NC081,Northern Cape,65,1124,11,17,6
NC082,Northern Cape,6108,7273,87,401,332
NC083,Northern Cape,4131,11632,104,1112,200
NC084,Northern Cape,180,2291,27,86,31
NC086,Northern Cape,1644,1436,20,193,26
NC091,Northern Cape,28164,12796,457,2312,1047
NC092,Northern Cape,4797,2535,49,190,648
NC093,Northern Cape,3555,660,29,136,6
NC451,Northern Cape,15700,290,56,140,33
NC452,Northern Cape,15952,1360,71,497,81
NC453,Northern Cape,4188,2330,42,807,150
CPT,Northern Cape,305971,288721,9253,70014,10671
WC011,Western Cape,1325,9496,74,1140,151
WC013,Western Cape,1788,7692,44,1038,71
WC014,Western Cape,5217,10337,156,1970,135
WC015,Western Cape,4903,13579,102,1744,153
WC022,Western Cape,6401,14549,68,1091,144
WC023,Western Cape,12343,30521,222,5144,407
WC025,Western Cape,8307,19758,175,2209,306
WC026,Western Cape,3067,12852,37,1077,158
WC031,Western Cape,5828,12187,59,939,199
WC032,Western Cape,5616,4370,41,1509,129
WC034,Western Cape,944,4579,18,499,69
WC041,Western Cape,242,3755,8,214,19
WC042,Western Cape,575,6108,45,907,27
WC043,Western Cape,5024,6820,83,1810,136
