geo_code,name,total,Chemical_toilet,Chemical_toilet_Female,Chemical_toilet_Male,Flush_toilet,Flush_toilet_Female,Flush_toilet_Male,No_toilet_facilities,No_toilet_facilities_Female,No_toilet_facilities_Male,Other,Other_Female,Other_Male,Pit_latrine_ventilated,Pit_latrine_ventilated_Female,Pit_latrine_ventilated_Male,Unventilated_pit_latrine_Bucket_toilet,Unventilated_pit_latrine_Bucket_toilet_Female,Unventilated_pit_latrine_Bucket_toilet_Male,province
ZA,South Africa,10102511,306921,154456,152465,5464425,2758253,2706172,562236,283085,279151,233238,116317,116921,1095638,550804,544834,2440053,1219608,1220445,South Africa
WC044,George,33544,209,101,108,29262,14837,14425,1569,817,752,345,173,172,772,377,395,1387,682,705,Western Cape
WC047,Bitou,7837,22,14,8,6678,3357,3321,191,78,113,56,26,30,224,119,105,666,350,316,Western Cape
WC048,Knysna,10848,47,29,18,8114,4109,4005,522,257,265,851,470,381,143,73,70,1171,610,561,Western Cape
WC051,Laingsburg,1234,20,10,10,1031,526,505,65,26,39,5,2,3,48,22,26,65,29,36,Western Cape
WC052,Prince Albert,2248,0,0,0,1882,922,960,104,65,39,23,14,9,99,42,57,140,58,82,Western Cape
WC053,Beaufort West,8241,12,4,8,7713,3929,3784,196,90,106,47,19,28,180,57,123,93,28,65,Western Cape
MP303,Mkhondo,30833,751,400,351,11708,5970,5738,4107,2140,1967,1780,932,848,1978,1008,970,10509,5239,5270,Mpumalanga
MP311,Victor Khanye,13608,320,171,149,11121,5364,5757,189,77,112,345,176,169,169,72,97,1464,694,770,Mpumalanga
MP322,Mbombela,126781,1983,1059,924,33347,17285,16062,7549,3902,3647,1598,828,770,19003,9703,9300,63301,32255,31046,North West
NW373,Rustenburg,96542,1192,550,642,56590,27603,28987,3002,1289,1713,833,376,457,8341,4035,4306,26584,12546,14038,North West
NW384,Ditsobotla,30018,176,94,82,13170,6668,6502,2399,1166,1233,705,377,328,3060,1533,1527,10508,5255,5253,North West
NW396,Lekwa-Teemane,9792,3,0,3,9016,4442,4574,352,156,196,75,30,45,109,41,68,237,112,125,Northern Cape
NC062,Nama Khoi,7977,125,65,60,6083,3008,3075,225,93,132,51,22,29,852,424,428,641,312,329,Northern Cape
NC071,Ubuntu,3101,15,8,7,2403,1175,1228,226,112,114,42,26,16,86,42,44,329,170,159,Northern Cape
NC077,Siyathemba,3547,3,1,2,2638,1328,1310,201,84,117,16,10,6,392,198,194,297,153,144,Northern Cape
NC085,Tsantsabane,6493,43,19,24,5140,2400,2740,712,325,387,58,31,27,139,68,71,401,206,195,Northern Cape
NC094,Phokwane,11417,19,7,12,8489,4219,4270,864,448,416,233,116,117,454,230,224,1358,713,645,Western Cape
WC012,Cederberg,8678,17,6,11,7405,3638,3767,487,259,228,538,275,263,107,46,61,124,57,67,Western Cape
WC024,Stellenbosch,38112,224,117,107,35572,18312,17260,593,283,310,600,291,309,203,114,89,920,468,452,Western Cape
WC033,Cape Agulhas,5328,16,4,12,4790,2474,2316,301,138,163,94,55,39,15,9,6,112,67,45,Western Cape
WC045,Oudtshoorn,17210,218,108,110,13455,6702,6753,841,318,523,278,143,135,852,441,411,1566,782,784,Eastern Cape
EC102,Blue Crane Route,5931,23,11,12,4857,2443,2414,466,219,247,129,67,62,66,34,32,390,218,172,Eastern Cape
EC103,Ikwezi,1662,1,1,0,1397,722,675,136,69,67,6,6,0,8,2,6,114,59,55,Eastern Cape
EC104,Makana,17468,20,9,11,13989,7354,6635,529,291,238,229,107,122,839,419,420,1862,936,926,Eastern Cape
EC106,Sundays River Valley,9605,72,36,36,5530,2573,2957,587,243,344,555,249,306,414,190,224,2447,1110,1337,Eastern Cape
EC107,Baviaans,2870,6,6,0,2199,1058,1141,194,97,97,87,51,36,145,74,71,239,112,127,Eastern Cape
EC108,Kouga,15795,206,112,94,11762,5855,5907,680,343,337,330,163,167,280,145,135,2537,1275,1262,Eastern Cape
EC109,Kou-Kamma,6680,61,24,37,4924,2422,2502,387,199,188,338,161,177,289,123,166,681,298,383,Eastern Cape
EC121,Mbhashe,54886,1619,818,801,4024,2221,1803,24264,12123,12141,6706,3276,3430,7901,3901,4000,10372,5029,5343,Eastern Cape
EC123,Great Kei,7001,145,65,80,1985,997,988,1728,834,894,186,67,119,754,373,381,2203,965,1238,Eastern Cape
EC124,Amahlathi,22760,292,141,151,5063,2539,2524,1654,799,855,681,318,363,4342,1956,2386,10728,5074,5654,Eastern Cape
EC126,Ngqushwa,12039,369,163,206,622,327,295,496,236,260,243,141,102,3962,1811,2151,6347,2970,3377,Eastern Cape
EC127,Nkonkobe,24839,466,216,250,10319,5326,4993,1013,406,607,785,395,390,3176,1466,1710,9080,4109,4971,Eastern Cape
EC131,Inxuba Yethemba,11468,9,2,7,10069,4895,5174,645,309,336,267,119,148,69,35,34,409,181,228,Eastern Cape
EC132,Tsolwana,6293,120,56,64,1094,578,516,619,282,337,112,44,68,3321,1621,1700,1027,520,507,Eastern Cape
EC133,Inkwanca,4138,26,7,19,3669,1843,1826,293,128,165,95,37,58,31,12,19,24,14,10,Eastern Cape
EC134,Lukanji,37150,1007,477,530,25407,12874,12533,2246,1038,1208,1008,468,540,3322,1584,1738,4160,1901,2259,Eastern Cape
EC136,Emalahleni,23429,1954,912,1042,3636,1943,1693,6837,3182,3655,699,318,381,4402,2040,2362,5901,2721,3180,Eastern Cape
EC137,Engcobo,30425,973,463,510,1476,838,638,13466,6850,6616,2007,1001,1006,5974,2897,3077,6529,3150,3379,Eastern Cape
EC138,Sakhisizwe,12841,539,275,264,2681,1326,1355,2056,932,1124,1005,474,531,2596,1185,1411,3964,1890,2074,Eastern Cape
EC141,Elundini,28541,847,381,466,2656,1329,1327,6022,2804,3218,1429,687,742,7850,3709,4141,9737,4602,5135,Eastern Cape
EC142,Senqu,27696,1476,739,737,3455,1756,1699,3917,1964,1953,756,390,366,8377,4054,4323,9715,4790,4925,Eastern Cape
EC143,Maletswai,8198,163,71,92,6408,3283,3125,844,444,400,273,150,123,296,142,154,214,121,93,Eastern Cape
EC153,Ngquza Hill,59754,5666,2856,2810,1187,614,573,7921,4042,3879,2876,1379,1497,15035,7462,7573,27069,13482,13587,Eastern Cape
EC154,Port St Johns,34427,3469,1717,1752,652,341,311,8529,4359,4170,2184,1110,1074,8878,4463,4415,10715,5419,5296,Eastern Cape
EC155,Nyandeni,64882,2796,1423,1373,1160,598,562,17953,9136,8817,4160,1990,2170,22397,11126,11271,16416,8090,8326,Eastern Cape
EC156,Mhlontlo,40531,2181,1056,1125,1328,730,598,8667,4338,4329,1522,715,807,11131,5342,5789,15702,7462,8240,Eastern Cape
EC441,Matatiele,42166,2044,955,1089,4085,2177,1908,5704,3174,2530,2433,1181,1252,10205,4954,5251,17695,8628,9067,Eastern Cape
EC442,Umzimvubu,40443,3623,1815,1808,2149,1136,1013,3939,1958,1981,1624,797,827,11390,5614,5776,17718,8823,8895,Eastern Cape
EC443,Mbizana,60282,2194,1163,1031,1079,573,506,9368,4934,4434,3203,1640,1563,20277,10345,9932,24161,12252,11909,Eastern Cape
EC444,Ntabankulu,26528,1142,545,597,569,313,256,7076,3560,3516,1860,946,914,7918,4001,3917,7963,4034,3929,Free State
FS161,Letsemeng,7112,33,15,18,5384,2601,2783,403,165,238,60,23,37,706,364,342,526,266,260,Free State
FS162,Kopanong,8736,34,16,18,7477,3751,3726,554,272,282,165,70,95,159,68,91,347,178,169,Free State
FS163,Mohokare,6474,2,1,1,4705,2353,2352,396,190,206,65,26,39,219,109,110,1087,575,512,Free State
FS181,Masilonyana,11616,21,12,9,8842,4455,4387,320,153,167,67,38,29,85,45,40,2281,1158,1123,Free State
FS182,Tokologo,5357,40,23,17,1281,672,609,497,231,266,68,37,31,2315,1194,1121,1156,602,554,Free State
FS183,Tswelopele,8957,88,40,48,7552,3849,3703,433,223,210,115,62,53,140,72,68,629,303,326,Free State
FS184,Matjhabeng,78249,52,24,28,64870,32523,32347,1925,902,1023,1520,793,727,372,184,188,9510,4748,4762,Free State
FS185,Nala,15031,23,12,11,10761,5524,5237,288,150,138,249,145,104,132,62,70,3578,1837,1741,Free State
FS192,Dihlabeng,22992,84,35,49,16581,8515,8066,607,306,301,215,107,108,1954,1011,943,3551,1784,1767,Free State
FS193,Nketoana,11594,24,14,10,7208,3595,3613,288,153,135,183,93,90,610,325,285,3281,1656,1625,Free State
FS194,Maluti a Phofung,74521,2149,1124,1025,23193,11958,11235,1539,723,816,1365,692,673,11942,5996,5946,34333,17472,16861,Free State
FS195,Phumelela,9010,32,11,21,5518,2804,2714,467,216,251,379,203,176,236,117,119,2378,1208,1170,Free State
FS201,Moqhaka,29331,59,32,27,25353,12264,13089,470,228,242,396,188,208,1266,614,652,1787,882,905,Free State
