geo_code,name,total,less_1km,less_1km_Female,less_1km_Male,more_1km,more_1km_Female,more_1km_Male,No_piped_water,No_piped_water_Female,No_piped_water_Male,On_site,On_site_Female,On_site_Male,province
ZA,South Africa,10102512,1781894,890187,891707,104102,52985,51117,1133335,570698,562637,7083181,3568653,3514528,South Africa
WC044,George,33541,1887,985,902,24,16,8,914,477,437,30716,15507,15209,Western Cape
WC047,Bitou,7835,989,483,506,45,21,24,64,33,31,6737,3407,3330,Western Cape
WC048,Knysna,10848,1920,1042,878,9,5,4,167,78,89,8752,4423,4329,Western Cape
WC051,Laingsburg,1235,22,6,16,0,0,0,13,3,10,1200,606,594,Western Cape
WC052,Prince Albert,2247,87,51,36,1,1,0,10,5,5,2149,1043,1106,Western Cape
WC053,Beaufort West,8241,146,70,76,47,26,21,38,8,30,8010,4023,3987,Western Cape
MP303,Mkhondo,30833,5845,2988,2857,463,249,214,7424,3737,3687,17101,8716,8385,Mpumalanga
MP311,Victor Khanye,13606,1323,636,687,44,24,20,486,224,262,11753,5669,6084,Mpumalanga
MP322,Mbombela,126782,14647,7431,7216,1527,807,720,28109,14401,13708,82499,42394,40105,North West
NW373,Rustenburg,96543,6988,3108,3880,865,334,531,5417,2362,3055,83273,40595,42678,North West
NW384,Ditsobotla,30019,6782,3445,3337,147,71,76,3425,1712,1713,19665,9865,9800,North West
NW396,Lekwa-Teemane,9793,155,85,70,0,0,0,99,42,57,9539,4655,4884,Northern Cape
NC062,Nama Khoi,7978,33,16,17,2,0,2,77,27,50,7866,3881,3985,Northern Cape
NC071,Ubuntu,3100,165,89,76,1,1,0,19,9,10,2915,1434,1481,Northern Cape
NC077,Siyathemba,3546,142,62,80,2,0,2,28,8,20,3374,1704,1670,Northern Cape
NC085,Tsantsabane,6491,790,359,431,57,28,29,144,48,96,5500,2613,2887,Northern Cape
NC094,Phokwane,11417,1759,915,844,36,19,17,303,160,143,9319,4639,4680,Western Cape
WC012,Cederberg,8678,384,206,178,91,50,41,67,27,40,8136,3999,4137,Western Cape
WC024,Stellenbosch,38113,4720,2451,2269,21,11,10,410,275,135,32962,16848,16114,Western Cape
WC033,Cape Agulhas,5327,462,212,250,8,0,8,25,9,16,4832,2525,2307,Western Cape
WC045,Oudtshoorn,17210,1439,765,674,88,54,34,599,294,305,15084,7381,7703,Eastern Cape
EC102,Blue Crane Route,5933,365,198,167,15,5,10,209,115,94,5344,2676,2668,Eastern Cape
EC103,Ikwezi,1660,38,14,24,2,2,0,46,23,23,1574,819,755,Eastern Cape
EC104,Makana,17468,1393,676,717,49,21,28,589,300,289,15437,8119,7318,Eastern Cape
EC106,Sundays River Valley,9604,1299,645,654,69,35,34,1151,512,639,7085,3208,3877,Eastern Cape
EC107,Baviaans,2870,89,44,45,2,2,0,62,26,36,2717,1326,1391,Eastern Cape
EC108,Kouga,15796,2351,1145,1206,44,20,24,219,128,91,13182,6601,6581,Eastern Cape
EC109,Kou-Kamma,6681,356,162,194,20,8,12,241,112,129,6064,2945,3119,Eastern Cape
EC121,Mbhashe,54886,15045,7355,7690,1064,515,549,33436,16561,16875,5341,2937,2404,Eastern Cape
EC123,Great Kei,7000,3764,1723,2041,88,48,40,776,360,416,2372,1169,1203,Eastern Cape
EC124,Amahlathi,22761,10352,4875,5477,286,141,145,3002,1377,1625,9121,4434,4687,Eastern Cape
EC126,Ngqushwa,12037,8614,3998,4616,244,117,127,305,146,159,2874,1386,1488,Eastern Cape
EC127,Nkonkobe,24838,10858,4960,5898,162,67,95,1321,622,699,12497,6268,6229,Eastern Cape
EC131,Inxuba Yethemba,11470,460,227,233,0,0,0,98,47,51,10912,5268,5644,Eastern Cape
EC132,Tsolwana,6293,2515,1225,1290,8,5,3,297,148,149,3473,1723,1750,Eastern Cape
EC133,Inkwanca,4137,117,57,60,0,0,0,58,21,37,3962,1963,1999,Eastern Cape
EC134,Lukanji,37152,8424,3973,4451,270,122,148,958,432,526,27500,13816,13684,Eastern Cape
EC136,Emalahleni,23430,13489,6219,7270,451,196,255,2257,1110,1147,7233,3591,3642,Eastern Cape
EC137,Engcobo,30424,17693,8807,8886,832,450,382,10193,5023,5170,1706,919,787,Eastern Cape
EC138,Sakhisizwe,12841,5658,2593,3065,336,156,180,1293,573,720,5554,2759,2795,Eastern Cape
EC141,Elundini,28542,9883,4737,5146,603,309,294,13564,6251,7313,4492,2216,2276,Eastern Cape
EC142,Senqu,27696,10500,5089,5411,598,289,309,5432,2671,2761,11166,5643,5523,Eastern Cape
EC143,Maletswai,8197,1391,751,640,35,12,23,117,61,56,6654,3386,3268,Eastern Cape
EC153,Ngquza Hill,59755,12151,6019,6132,1226,574,652,43670,21789,21881,2708,1454,1254,Eastern Cape
EC154,Port St Johns,34425,8398,4276,4122,1033,500,533,23128,11656,11472,1866,976,890,Eastern Cape
EC155,Nyandeni,64884,22469,11289,11180,1850,930,920,37318,18460,18858,3247,1684,1563,Eastern Cape
EC156,Mhlontlo,40531,19036,9036,10000,681,322,359,16585,8101,8484,4229,2184,2045,Eastern Cape
EC441,Matatiele,42167,18686,9157,9529,1053,545,508,10411,5053,5358,12017,6315,5702,Eastern Cape
EC442,Umzimvubu,40442,17493,8578,8915,1015,570,445,15106,7499,7607,6828,3495,3333,Eastern Cape
EC443,Mbizana,60282,3504,1758,1746,826,448,378,52828,27051,25777,3124,1650,1474,Eastern Cape
EC444,Ntabankulu,26527,11195,5568,5627,600,311,289,13415,6839,6576,1317,680,637,Free State
FS161,Letsemeng,7113,427,190,237,178,28,150,165,78,87,6343,3139,3204,Free State
FS162,Kopanong,8739,227,118,109,13,9,4,99,56,43,8400,4173,4227,Free State
FS163,Mohokare,6475,137,70,67,4,1,3,72,44,28,6262,3139,3123,Free State
FS181,Masilonyana,11616,499,253,246,11,5,6,217,122,95,10889,5480,5409,Free State
FS182,Tokologo,5355,448,208,240,20,8,12,78,34,44,4809,2507,2302,Free State
FS183,Tswelopele,8958,516,254,262,8,7,1,171,91,80,8263,4196,4067,Free State
FS184,Matjhabeng,78249,4446,2257,2189,380,204,176,1310,709,601,72113,36005,36108,Free State
FS185,Nala,15032,818,428,390,34,14,20,130,66,64,14050,7222,6828,Free State
FS192,Dihlabeng,22992,2535,1307,1228,55,27,28,638,308,330,19764,10116,9648,Free State
FS193,Nketoana,11594,1029,520,509,16,10,6,549,289,260,10000,5017,4983,Free State
FS194,Maluti a Phofung,74521,6934,3549,3385,352,176,176,2473,1212,1261,64762,33027,31735,Free State
FS195,Phumelela,9012,907,471,436,35,15,20,317,145,172,7753,3929,3824,Free State
FS201,Moqhaka,29331,1526,735,791,16,7,9,263,142,121,27526,13324,14202,Free State
FS203,Ngwathe,21476,2433,1289,1144,37,23,14,212,104,108,18794,9450,9344,Free State
FS204,Metsimaholo,27487,1476,694,782,330,7,323,251,129,122,25430,12368,13062,Free State
FS205,Mafube,10922,1168,633,535,10,4,6,212,115,97,9532,4813,4719,Gauteng
GT421,Emfuleni,139354,5493,2687,2806,243,135,108,687,368,319,132931,67040,65891,Gauteng
GT423,Lesedi,17637,1007,504,503,69,33,36,195,85,110,16366,7895,8471,Gauteng
GT481,Mogale City,64746,4688,2226,2462,289,126,163,1658,836,822,58111,27333,30778,Gauteng
GT482,Randfontein,25496,2374,1175,1199,30,12,18,563,271,292,22529,11173,11356,Gauteng
GT483,Westonaria,20146,6105,2901,3204,59,33,26,133,51,82,13849,6793,7056,KwaZulu-Natal
KZN211,Vulamehlo,16019,6938,3460,3478,1062,563,499,5505,2845,2660,2514,1232,1282,KwaZulu-Natal
KZN212,Umdoni,15290,7439,3761,3678,293,137,156,439,236,203,7119,3524,3595,KwaZulu-Natal
KZN213,Umzumbe,33663,12510,6211,6299,1399,690,709,14880,7381,7499,4874,2438,2436,KwaZulu-Natal
KZN214,UMuziwabantu,20524,14158,7210,6948,461,233,228,3327,1690,1637,2578,1264,1314,KwaZulu-Natal
KZN215,Ezingoleni,11084,7446,3716,3730,670,350,320,1651,824,827,1317,647,670,KwaZulu-Natal
KZN221,uMshwathi,22263,3714,1938,1776,51,36,15,5161,2627,2534,13337,6635,6702,KwaZulu-Natal
KZN222,uMngeni,17260,2023,814,1209,82,43,39,916,446,470,14239,7081,7158,KwaZulu-Natal
KZN223,Mpofana,7493,720,387,333,30,13,17,1794,914,880,4949,2343,2606,KwaZulu-Natal
KZN224,Impendle,6835,2226,1136,1090,50,24,26,883,461,422,3676,1771,1905,KwaZulu-Natal
KZN225,The Msunduzi,129442,9843,5133,4710,504,248,256,4788,2462,2326,114307,57821,56486,KwaZulu-Natal
KZN226,Mkhambathini,12899,1914,935,979,301,143,158,4661,2430,2231,6023,2848,3175,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,46331,13147,6747,6400,596,318,278,4993,2538,2455,27595,14231,13364,KwaZulu-Natal
KZN233,Indaka,21833,2377,1305,1072,291,156,135,7466,4111,3355,11699,6004,5695,KwaZulu-Natal
KZN234,Umtshezi,16279,2979,1580,1399,159,85,74,4322,2268,2054,8819,4394,4425,KwaZulu-Natal
KZN235,Okhahlamba,26455,9955,5121,4834,527,273,254,9894,5083,4811,6079,2996,3083,KwaZulu-Natal
KZN236,Imbabazane,23881,13407,6797,6610,1255,646,609,5993,3081,2912,3226,1606,1620,KwaZulu-Natal
KZN242,Nqutu,35171,15721,8246,7475,690,378,312,8064,4150,3914,10696,5497,5199,KwaZulu-Natal
KZN244,Msinga,36312,12088,6553,5535,671,373,298,19797,10754,9043,3756,2019,1737,KwaZulu-Natal
KZN245,Umvoti,21345,5796,3049,2747,380,195,185,9387,5019,4368,5782,3062,2720,KwaZulu-Natal
KZN252,Newcastle,76118,7406,3782,3624,245,112,133,2917,1433,1484,65550,32642,32908,KwaZulu-Natal
KZN254,Dannhauser,21729,7664,3769,3895,58,25,33,2902,1386,1516,11105,5575,5530,KwaZulu-Natal
KZN261,eDumbe,16976,2220,1145,1075,173,72,101,4568,2262,2306,10015,5087,4928,KwaZulu-Natal
KZN262,UPhongolo,28040,6136,3159,2977,412,234,178,8361,4360,4001,13131,6575,6556,KwaZulu-Natal
KZN263,Abaqulusi,43667,5650,2764,2886,452,236,216,8703,4379,4324,28862,14523,14339,KwaZulu-Natal
KZN265,Nongoma,43905,7401,3837,3564,1139,615,524,24179,12460,11719,11186,5898,5288,KwaZulu-Natal
KZN266,Ulundi,40632,5834,2968,2866,378,190,188,15037,8043,6994,19383,9992,9391,KwaZulu-Natal
KZN272,Jozini,41508,10964,5687,5277,1751,884,867,19343,9980,9363,9450,4990,4460,KwaZulu-Natal
KZN273,The Big 5 False Bay,7428,5168,2615,2553,121,55,66,268,138,130,1871,993,878,KwaZulu-Natal
KZN274,Hlabisa,16046,1462,775,687,150,64,86,9504,4847,4657,4930,2598,2332,KwaZulu-Natal
KZN275,Mtubatuba,37330,6275,3181,3094,923,452,471,13313,6903,6410,16819,8757,8062,KwaZulu-Natal
KZN281,Mfolozi,26156,7567,3811,3756,607,280,327,4895,2458,2437,13087,6668,6419,KwaZulu-Natal
KZN283,Ntambanana,16572,7275,3718,3557,421,218,203,5263,2728,2535,3613,1760,1853,KwaZulu-Natal
