geo_code,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male,province
ZA,South Africa,1939081,1356417,737726,618691,582664,232797,349867,South Africa
WC044,George,6417,4681,2499,2182,1736,791,945,Western Cape
WC047,Bitou,1376,999,544,455,377,136,241,Western Cape
WC048,Knysna,2050,1489,812,677,561,232,329,Western Cape
WC051,Laingsburg,257,166,84,82,91,42,49,Western Cape
WC052,Prince Albert,462,276,141,135,186,68,118,Western Cape
WC053,Beaufort West,1760,1257,673,584,503,234,269,Western Cape
MP303,Mkhondo,6811,4504,2485,2019,2307,932,1375,Mpumalanga
MP311,Victor Khanye,2522,1655,872,783,867,362,505,Mpumalanga
MP322,Mbombela,24253,16885,9393,7492,7368,3050,4318,North West
NW373,Rustenburg,15240,11518,6093,5425,3722,1416,2306,North West
NW384,Ditsobotla,5841,3336,1821,1515,2505,1145,1360,North West
NW396,Lekwa-Teemane,2011,1049,574,475,962,423,539,Northern Cape
NC062,Nama Khoi,1638,1185,656,529,453,140,313,Northern Cape
NC071,Ubuntu,598,352,176,176,246,125,121,Northern Cape
NC077,Siyathemba,740,390,214,176,350,161,189,Northern Cape
NC085,Tsantsabane,1184,719,360,359,465,205,260,Northern Cape
NC094,Phokwane,2466,1675,886,789,791,345,446,Western Cape
WC012,Cederberg,1497,928,486,442,569,222,347,Western Cape
WC024,Stellenbosch,4766,3428,1821,1607,1338,561,777,Western Cape
WC033,Cape Agulhas,1061,638,373,265,423,198,225,Western Cape
WC045,Oudtshoorn,3579,2477,1315,1162,1102,460,642,Eastern Cape
EC102,Blue Crane Route,1298,771,430,341,527,238,289,Eastern Cape
EC103,Ikwezi,368,222,122,100,146,57,89,Eastern Cape
EC104,Makana,2581,1744,952,792,837,363,474,Eastern Cape
EC106,Sundays River Valley,1758,926,508,418,832,343,489,Eastern Cape
EC107,Baviaans,599,374,192,182,225,98,127,Eastern Cape
EC108,Kouga,2967,1761,978,783,1206,493,713,Eastern Cape
EC109,Kou-Kamma,1166,634,347,287,532,246,286,Eastern Cape
EC121,Mbhashe,14157,6318,3687,2631,7839,3104,4735,Eastern Cape
EC123,Great Kei,1398,837,431,406,561,205,356,Eastern Cape
EC124,Amahlathi,5030,2850,1592,1258,2180,828,1352,Eastern Cape
EC126,Ngqushwa,2909,1903,1059,844,1006,348,658,Eastern Cape
EC127,Nkonkobe,4663,2868,1518,1350,1795,655,1140,Eastern Cape
EC131,Inxuba Yethemba,2313,1360,758,602,953,421,532,Eastern Cape
