geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
ZA,South Africa,50929991,14827005,10140505,8778426,6352271,4819355,3169599,2842830,South Africa
WC044,George,192398,50362,33649,31272,27867,22214,14517,12517,Western Cape
WC047,Bitou,48713,12261,7847,9355,7725,5228,3162,3135,Western Cape
WC048,Knysna,67992,16885,10873,11946,10019,7176,5359,5734,Western Cape
WC051,Laingsburg,8234,2140,1238,1231,1256,1022,740,607,Western Cape
WC052,Prince Albert,13012,3843,2247,1859,1727,1547,939,850,Western Cape
WC053,Beaufort West,48923,15322,8267,6841,6507,5476,3653,2857,Western Cape
MP303,Mkhondo,142548,51264,30970,21217,15198,11026,6934,5939,Mpumalanga
MP311,Victor Khanye,71487,20510,13692,12882,9301,7242,4567,3293,Mpumalanga
MP322,Mbombela,590441,179990,127096,105758,73698,49511,29332,25056,North West
NW373,Rustenburg,543955,131191,97014,120159,85302,62633,28955,18701,North West
NW384,Ditsobotla,163984,51082,30116,25691,20090,16484,11059,9462,North West
NW396,Lekwa-Teemane,52630,16345,9819,8182,6274,5070,3669,3271,Northern Cape
NC062,Nama Khoi,47555,11577,7989,6650,6571,5757,4316,4695,Northern Cape
NC071,Ubuntu,18272,5936,3105,2471,2327,1842,1286,1305,Northern Cape
NC077,Siyathemba,21480,6355,3553,3043,2697,2424,1687,1721,Northern Cape
NC085,Tsantsabane,35041,9365,6510,6475,4688,3397,2154,2452,Northern Cape
NC094,Phokwane,62926,19584,11440,9160,7409,6111,4264,4958,Western Cape
WC012,Cederberg,50093,12728,8701,8380,7345,6109,3575,3255,Western Cape
WC024,Stellenbosch,155330,35241,38264,27230,20582,16185,10024,7804,Western Cape
WC033,Cape Agulhas,32821,7665,5338,4906,4715,4263,2945,2989,Western Cape
WC045,Oudtshoorn,94956,26806,17288,12989,12800,10729,7384,6960,Eastern Cape
EC102,Blue Crane Route,35736,10379,5947,4937,4630,4263,2999,2581,Eastern Cape
EC103,Ikwezi,10400,3213,1668,1390,1283,1316,791,739,Eastern Cape
EC104,Makana,80109,19517,17519,12638,10474,9084,5708,5169,Eastern Cape
EC106,Sundays River Valley,53807,14377,9619,9534,7924,5862,3578,2913,Eastern Cape
EC107,Baviaans,17618,5413,2873,2460,2253,2038,1401,1180,Eastern Cape
EC108,Kouga,97474,26044,15855,16511,13415,10274,7401,7974,Eastern Cape
EC109,Kou-Kamma,40205,11906,6694,6701,5773,4465,2766,1900,Eastern Cape
EC121,Mbhashe,248983,95493,54970,23834,18313,19150,16258,20965,Eastern Cape
EC123,Great Kei,38402,11109,7016,4998,4442,4214,2912,3711,Eastern Cape
EC124,Amahlathi,121361,38315,22788,13677,12381,13288,10046,10866,Eastern Cape
EC126,Ngqushwa,71217,21678,12064,7339,6990,7723,6655,8768,Eastern Cape
EC127,Nkonkobe,125684,36388,24895,15019,13501,13645,10287,11949,Eastern Cape
EC131,Inxuba Yethemba,65212,18896,11493,9567,8421,7328,5299,4208,Eastern Cape
EC132,Tsolwana,32960,11011,6301,3879,3259,3051,2646,2813,Eastern Cape
EC133,Inkwanca,21933,6776,4184,3122,2426,2232,1726,1467,Eastern Cape
EC134,Lukanji,189002,58002,37211,25897,20961,19641,13796,13494,Eastern Cape
EC136,Emalahleni,117871,41725,23475,10953,9410,10732,9494,12082,Eastern Cape
EC137,Engcobo,152249,60858,30605,14475,12298,12078,9896,12039,Eastern Cape
EC138,Sakhisizwe,62837,22088,12881,7086,5578,5730,4594,4880,Eastern Cape
EC141,Elundini,136450,48900,28676,14552,11405,11290,9981,11646,Eastern Cape
EC142,Senqu,131538,45348,27773,16002,11822,10721,9350,10522,Eastern Cape
EC143,Maletswai,43434,14102,8217,6903,5139,3869,2725,2479,Eastern Cape
EC153,Ngquza Hill,267972,113917,59925,29987,20016,17027,11900,15200,Eastern Cape
EC154,Port St Johns,150582,64321,34542,15020,10579,9768,7443,8909,Eastern Cape
EC155,Nyandeni,280981,115119,65028,30714,21531,18980,13711,15898,Eastern Cape
EC156,Mhlontlo,183175,70834,40667,18143,14040,14105,11638,13748,Eastern Cape
EC441,Matatiele,199962,77899,42319,21461,15926,15026,12927,14404,Eastern Cape
EC442,Umzimvubu,187582,72831,40585,20821,15084,13657,11509,13095,Eastern Cape
EC443,Mbizana,271224,120617,60523,27407,19251,16904,11762,14760,Eastern Cape
EC444,Ntabankulu,119749,50047,26595,12401,8386,8008,6375,7937,Free State
FS161,Letsemeng,38199,11403,7118,6099,4900,3960,2593,2126,Free State
FS162,Kopanong,48383,14404,8742,7372,5953,4828,3728,3356,Free State
FS163,Mohokare,33743,10876,6481,5083,3803,2992,2283,2225,Free State
FS181,Masilonyana,62668,18795,11638,9543,7971,6801,4208,3712,Free State
FS182,Tokologo,28768,8983,5357,4323,3615,2790,1982,1718,Free State
FS183,Tswelopele,46914,15756,8976,7124,5128,4256,3054,2620,Free State
FS184,Matjhabeng,402071,110519,78418,66533,50751,49414,27201,19235,Free State
FS185,Nala,80434,26320,15068,12117,8807,7503,5855,4764,Free State
FS192,Dihlabeng,127617,37804,23018,21799,16373,12805,8706,7112,Free State
FS193,Nketoana,59943,19400,11612,9099,6411,5632,4216,3573,Free State
FS194,Maluti a Phofung,343813,113033,74616,48983,36772,30566,21232,18611,Free State
FS195,Phumelela,46971,14834,9015,6985,5314,4599,3312,2912,Free State
FS201,Moqhaka,159078,43135,29377,24969,20260,18167,12563,10607,Free State
FS203,Ngwathe,119374,36083,21516,18015,13773,11608,9265,9114,Free State
FS204,Metsimaholo,147126,39119,27607,28680,20633,15040,9430,6617,Free State
FS205,Mafube,57097,18105,10960,8725,6328,5424,3855,3700,Gauteng
GT421,Emfuleni,715503,184550,139787,129593,98772,76267,50475,36059,Gauteng
GT423,Lesedi,98666,25735,17693,18659,13964,10164,6855,5596,Gauteng
GT481,Mogale City,357916,85185,65019,73840,54440,39002,23729,16701,Gauteng
GT482,Randfontein,147743,36847,25614,27462,21873,17821,10622,7504,Gauteng
GT483,Westonaria,111058,27488,20213,24804,17414,13432,5081,2626,KwaZulu-Natal
KZN211,Vulamehlo,75018,27313,16087,8733,6612,6442,4785,5046,KwaZulu-Natal
KZN212,Umdoni,77499,20589,15348,12901,9272,7580,5571,6238,KwaZulu-Natal
KZN213,Umzumbe,156738,57418,33776,17980,13335,12769,10274,11186,KwaZulu-Natal
KZN214,UMuziwabantu,94545,38194,20591,11072,8095,6765,4729,5099,KwaZulu-Natal
KZN215,Ezingoleni,51352,19164,11107,6421,4495,4011,3029,3125,KwaZulu-Natal
KZN221,uMshwathi,103239,33646,22396,15224,10720,8874,6648,5731,KwaZulu-Natal
