mun_code,mun_name,province,Adult_emp,overcrowding,empSector,difficulty,typeDwelling,circumstance_measure
ZA,South Africa,Western Cape,0.578069494,0.837904652,0.746735437,0.906912045,0.782261069,0.770376539
WC044,George,Western Cape,0.796401107,0.820112631,0.790451853,0.925613189,0.869029276,0.840321611
WC047,Bitou,Western Cape,0.77073106,0.83585962,0.742531233,0.923881464,0.747820255,0.804164727
WC048,Knysna,Western Cape,0.787066843,0.871398871,0.73460961,0.939147446,0.745406824,0.815525919
WC051,Laingsburg,Western Cape,0.828498294,0.756684492,0.897025172,0.947513812,0.967493584,0.879443071
WC052,Prince Albert,Western Cape,0.700947226,0.717041801,0.745551601,0.930597771,0.941441441,0.807115968
WC053,Beaufort West,Mpumalanga,0.596495588,0.858617131,0.763447829,0.920531598,0.979952976,0.823809024
MP303,Mkhondo,Mpumalanga,0.511379872,0.866782122,0.653614458,0.892767991,0.621614454,0.709231779
MP311,Victor Khanye,North West,0.706581489,0.892786786,0.691166989,0.885585216,0.816096249,0.798443346
MP322,Mbombela,North West,0.667182374,0.924365741,0.696856214,0.920267739,0.950849067,0.831904227
NW373,Rustenburg,North West,0.745674172,0.86399215,0.734671801,0.909220947,0.748417916,0.800395397
NW384,Ditsobotla,Northern Cape,0.593656513,0.817187985,0.62951235,0.890251357,0.744112118,0.734944065
NW396,Lekwa-Teemane,Northern Cape,0.561431286,0.798641333,0.576249189,0.904709018,0.800063072,0.728218779
NC062,Nama Khoi,Northern Cape,0.687172599,0.889658921,0.679815911,0.896380412,0.969929881,0.824591545
NC071,Ubuntu,Northern Cape,0.697407286,0.803122878,0.671676301,0.913653914,0.883108331,0.793793742
NC077,Siyathemba,Northern Cape,0.696740396,0.75890251,0.771156138,0.923647604,0.903590041,0.810807338
NC085,Tsantsabane,Western Cape,0.731462612,0.857713191,0.628571429,0.907890338,0.789506854,0.783028884
NC094,Phokwane,Western Cape,0.555703035,0.795239793,0.672847682,0.842545109,0.868439591,0.746955042
WC012,Cederberg,Western Cape,0.838117823,0.823340196,0.857274969,0.939164023,0.894869532,0.870553309
WC024,Stellenbosch,Western Cape,0.751374522,0.874956278,0.760498335,0.923529213,0.811494253,0.82437052
WC033,Cape Agulhas,Eastern Cape,0.895865237,0.895985762,0.803860198,0.93345849,0.853431563,0.87652025
WC045,Oudtshoorn,Eastern Cape,0.708571429,0.760790692,0.803262956,0.940390815,0.90009879,0.822622936
EC102,Blue Crane Route,Eastern Cape,0.516251729,0.870029778,0.561366062,0.911753372,0.970302188,0.765940626
EC103,Ikwezi,Eastern Cape,0.652573529,0.895031056,0.569739953,0.924252492,0.979255644,0.804170535
EC104,Makana,Eastern Cape,0.606590992,0.844542861,0.65745614,0.897050684,0.861762328,0.773480601
EC106,Sundays River Valley,Eastern Cape,0.695890706,0.868642677,0.740740741,0.912100723,0.865503414,0.816575652
EC107,Baviaans,Eastern Cape,0.606948969,0.825535002,0.56292517,0.897928437,0.96344086,0.771355688
EC108,Kouga,Eastern Cape,0.768659583,0.86322929,0.649728556,0.924175668,0.797768207,0.800712261
EC109,Kou-Kamma,Eastern Cape,0.851573084,0.757079443,0.682086957,0.92874573,0.919673864,0.827831815
EC121,Mbhashe,Eastern Cape,0.210728649,0.429502553,0.662291593,0.910276647,0.26628323,0.495816534
