geo_code,name,total,Employed,Employed-Female,Employed-Male,NEET,NEET-Female,NEET-Male,School/post-school,School/post-school-employment education training,School/post-school-Female,School/post-school-Male,province
ZA,South Africa,9629298,1625101,689851,935250,3098390,1727914,1370476,4905807,2429240,0,2476567,South Africa
WC044,George,31532,8567,3873,4694,11097,6150,4947,11868,0,6041,5827,Western Cape
WC047,Bitou,7399,1826,754,1072,3044,1690,1354,2529,0,1297,1232,Western Cape
WC048,Knysna,10280,2648,1141,1507,3745,2123,1622,3887,0,1982,1905,Western Cape
WC051,Laingsburg,1158,441,171,270,385,244,141,332,0,158,174,Western Cape
WC052,Prince Albert,2197,553,169,384,1001,597,404,643,0,313,330,Western Cape
WC053,Beaufort West,7655,1540,633,907,2943,1624,1319,3172,0,1557,1615,Western Cape
MP303,Mkhondo,29477,3883,1550,2333,9927,5832,4095,15667,0,7615,8052,Mpumalanga
MP311,Victor Khanye,13185,2894,955,1939,4701,2716,1985,5590,0,2668,2922,Mpumalanga
MP322,Mbombela,122131,19780,8489,11291,39049,22748,16301,63302,0,31503,31799,North West
NW373,Rustenburg,91871,22558,7444,15114,35270,20003,15267,34043,0,16630,17413,North West
NW384,Ditsobotla,29284,4748,1320,3428,11454,6832,4622,13082,0,6452,6630,North West
NW396,Lekwa-Teemane,9424,1539,498,1041,3882,2158,1724,4003,0,1964,2039,Northern Cape
NC062,Nama Khoi,7375,1492,663,829,2989,1512,1477,2894,0,1456,1438,Northern Cape
NC071,Ubuntu,3010,805,301,504,1195,680,515,1010,0,498,512,Northern Cape
NC077,Siyathemba,3455,795,250,545,1482,899,583,1178,0,578,600,Northern Cape
NC085,Tsantsabane,6249,1692,562,1130,2192,1283,909,2365,0,1110,1255,Northern Cape
NC094,Phokwane,11189,1451,536,915,4367,2501,1866,5371,0,2575,2796,Western Cape
WC012,Cederberg,7875,3293,1570,1723,2272,1191,1081,2310,0,1143,1167,Western Cape
WC024,Stellenbosch,30775,9292,4387,4905,7443,3923,3520,14040,0,7067,6973,Western Cape
WC033,Cape Agulhas,5132,1914,819,1095,1639,975,664,1579,0,829,750,Western Cape
WC045,Oudtshoorn,15649,3120,1233,1887,6390,3509,2881,6139,0,3087,3052,Eastern Cape
EC102,Blue Crane Route,5742,932,310,622,2609,1505,1104,2201,0,1075,1126,Eastern Cape
EC103,Ikwezi,1632,421,184,237,597,340,257,614,0,320,294,Eastern Cape
EC104,Makana,13414,2239,981,1258,4524,2418,2106,6651,0,3444,3207,Eastern Cape
EC106,Sundays River Valley,9187,2644,870,1774,3648,2091,1557,2895,0,1343,1552,Eastern Cape
EC107,Baviaans,2735,589,192,397,1287,726,561,859,0,409,450,Eastern Cape
EC108,Kouga,15426,4543,1852,2691,5914,3436,2478,4969,0,2471,2498,Eastern Cape
EC109,Kou-Kamma,6521,2809,1043,1766,2164,1308,856,1548,0,795,753,Eastern Cape
EC121,Mbhashe,52020,2713,1283,1430,16046,8242,7804,33261,0,16285,16976,Eastern Cape
EC123,Great Kei,6536,787,267,520,2380,1169,1211,3369,0,1569,1800,Eastern Cape
EC124,Amahlathi,21799,1836,650,1186,7864,4006,3858,12099,0,5642,6457,Eastern Cape
EC126,Ngqushwa,11740,569,239,330,4178,2052,2126,6993,0,3196,3797,Eastern Cape
EC127,Nkonkobe,20491,1386,608,778,7691,3868,3823,11414,0,5172,6242,Eastern Cape
EC131,Inxuba Yethemba,10797,2322,821,1501,3961,2267,1694,4514,0,2293,2221,Eastern Cape
EC132,Tsolwana,6132,577,194,383,2065,1109,956,3490,0,1711,1779,Eastern Cape
EC133,Inkwanca,4003,602,185,417,1354,770,584,2047,0,1005,1042,Eastern Cape
EC134,Lukanji,35818,3498,1534,1964,11693,6107,5586,20627,0,10143,10484,Eastern Cape
EC136,Emalahleni,21984,1254,504,750,6969,3430,3539,13761,0,6405,7356,Eastern Cape
EC137,Engcobo,28874,1788,869,919,9464,4991,4473,17622,0,8475,9147,Eastern Cape
EC138,Sakhisizwe,12253,1189,466,723,3804,1947,1857,7260,0,3369,3891,Eastern Cape
EC141,Elundini,27799,2043,765,1278,8327,4237,4090,17429,0,8181,9248,Eastern Cape
EC142,Senqu,27018,2563,1064,1499,7904,4541,3363,16551,0,7769,8782,Eastern Cape
EC143,Maletswai,7933,1214,457,757,2547,1494,1053,4172,0,2146,2026,Eastern Cape
EC153,Ngquza Hill,57754,2686,1267,1419,19332,10203,9129,35736,0,17334,18402,Eastern Cape
EC154,Port St Johns,33641,1217,595,622,9952,5391,4561,22472,0,11020,11452,Eastern Cape
EC155,Nyandeni,63512,3268,1513,1755,18492,9619,8873,41752,0,20541,21211,Eastern Cape
EC156,Mhlontlo,39265,2181,1016,1165,12398,6346,6052,24686,0,11584,13102,Eastern Cape
EC441,Matatiele,40076,3752,1692,2060,12446,6843,5603,23878,0,11032,12846,Eastern Cape
EC442,Umzimvubu,38499,2884,1390,1494,12482,6685,5797,23133,0,11114,12019,Eastern Cape
EC443,Mbizana,58910,3057,1501,1556,17856,10059,7797,37997,0,18592,19405,Eastern Cape
EC444,Ntabankulu,25996,1102,540,562,9005,4680,4325,15889,0,7933,7956,Free State
FS161,Letsemeng,6666,1432,453,979,2722,1636,1086,2512,0,1225,1287,Free State
FS162,Kopanong,8280,1602,513,1089,2919,1827,1092,3759,0,1830,1929,Free State
FS163,Mohokare,6379,1048,327,721,2266,1389,877,3065,0,1507,1558,Free State
FS181,Masilonyana,10738,1377,432,945,4483,2609,1874,4878,0,2481,2397,Free State
FS182,Tokologo,4918,988,271,717,2055,1310,745,1875,0,910,965,Free State
FS183,Tswelopele,8599,1326,379,947,3499,2035,1464,3774,0,1968,1806,Free State
FS184,Matjhabeng,74515,10072,4039,6033,27425,15216,12209,37018,0,18513,18505,Free State
FS185,Nala,14679,1877,626,1251,6380,3728,2652,6422,0,3177,3245,Free State
FS192,Dihlabeng,22223,3631,1381,2250,7656,4629,3027,10936,0,5411,5525,Free State
FS193,Nketoana,11292,1626,506,1120,4197,2606,1591,5469,0,2573,2896,Free State
FS194,Maluti a Phofung,71999,5993,2597,3396,24624,13860,10764,41382,0,20249,21133,Free State
FS195,Phumelela,8828,1481,380,1101,3426,2145,1281,3921,0,1937,1984,Free State
FS201,Moqhaka,26074,3827,1297,2530,9927,5779,4148,12320,0,6059,6261,Free State
FS203,Ngwathe,20823,3068,1179,1889,7488,4386,3102,10267,0,4953,5314,Free State
FS204,Metsimaholo,26114,4907,1729,3178,8410,4859,3551,12797,0,6241,6556,Free State
FS205,Mafube,10645,1350,378,972,3842,2271,1571,5453,0,2774,2679,Gauteng
GT421,Emfuleni,135281,22053,9148,12905,43911,23955,19956,69317,0,35143,34174,Gauteng
GT423,Lesedi,16706,3889,1383,2506,5796,3424,2372,7021,0,3462,3559,Gauteng
GT481,Mogale City,59884,15404,6285,9119,19156,10687,8469,25324,0,12664,12660,Gauteng
GT482,Randfontein,25086,5839,2332,3507,8717,4865,3852,10530,0,5213,5317,Gauteng
GT483,Westonaria,19626,4491,1376,3115,8203,4610,3593,6932,0,3502,3430,KwaZulu-Natal
KZN211,Vulamehlo,15381,836,375,461,5362,2985,2377,9183,0,4439,4744,KwaZulu-Natal
KZN212,Umdoni,14523,2220,982,1238,5279,2893,2386,7024,0,3495,3529,KwaZulu-Natal
KZN213,Umzumbe,32744,1586,762,824,10804,5900,4904,20354,0,9533,10821,KwaZulu-Natal
KZN214,UMuziwabantu,19995,1676,710,966,6234,3526,2708,12085,0,5875,6210,KwaZulu-Natal
KZN215,Ezingoleni,10780,754,346,408,3297,1910,1387,6729,0,3126,3603,KwaZulu-Natal
KZN221,uMshwathi,21620,3646,1716,1930,6552,3778,2774,11422,0,5428,5994,KwaZulu-Natal
KZN222,uMngeni,15289,3994,1779,2215,4990,2747,2243,6305,0,3157,3148,KwaZulu-Natal
KZN223,Mpofana,7098,1589,670,919,2472,1403,1069,3037,0,1417,1620,KwaZulu-Natal
KZN224,Impendle,6553,330,142,188,2383,1271,1112,3840,0,1834,2006,KwaZulu-Natal
KZN225,The Msunduzi,120440,18132,8578,9554,39345,21342,18003,62963,0,31223,31740,KwaZulu-Natal
KZN226,Mkhambathini,12378,2092,900,1192,4334,2463,1871,5952,0,2778,3174,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,44745,5670,2593,3077,15305,8688,6617,23770,0,11746,12024,KwaZulu-Natal
KZN233,Indaka,21482,662,355,307,7521,4570,2951,13299,0,6457,6842,KwaZulu-Natal
KZN234,Umtshezi,15641,1545,686,859,5424,3039,2385,8672,0,4265,4407,KwaZulu-Natal
KZN235,Okhahlamba,25710,1799,730,1069,8060,4840,3220,15851,0,7484,8367,KwaZulu-Natal
KZN236,Imbabazane,23112,1534,687,847,8087,4485,3602,13491,0,6525,6966,KwaZulu-Natal
KZN242,Nqutu,34492,1708,877,831,11499,6950,4549,21285,0,10034,11251,KwaZulu-Natal
KZN244,Msinga,34919,1332,745,587,10606,6734,3872,22981,0,11429,11552,KwaZulu-Natal
KZN245,Umvoti,20293,2661,1377,1284,6380,3815,2565,11252,0,5573,5679,KwaZulu-Natal
KZN252,Newcastle,73726,7140,3199,3941,22987,12682,10305,43599,0,21210,22389,KwaZulu-Natal
KZN254,Dannhauser,21308,1441,592,849,7200,3978,3222,12667,0,5997,6670,KwaZulu-Natal
KZN261,eDumbe,16650,1581,594,987,5515,3244,2271,9554,0,4556,4998,KwaZulu-Natal
KZN262,UPhongolo,27304,2954,1297,1657,9129,5378,3751,15221,0,7218,8003,KwaZulu-Natal
KZN263,Abaqulusi,40688,3623,1617,2006,12691,7165,5526,24374,0,11536,12838,KwaZulu-Natal
KZN265,Nongoma,42013,2096,1151,945,12804,7767,5037,27113,0,12810,14303,KwaZulu-Natal
KZN266,Ulundi,38560,1920,1007,913,12770,7334,5436,23870,0,11653,12217,KwaZulu-Natal
KZN272,Jozini,40005,2534,1320,1214,10890,6410,4480,26581,0,13016,13565,KwaZulu-Natal
KZN273,The Big 5 False Bay,6832,852,428,424,1888,1130,758,4092,0,1907,2185,KwaZulu-Natal
KZN274,Hlabisa,15533,842,435,407,4315,2581,1734,10376,0,4923,5453,KwaZulu-Natal
KZN275,Mtubatuba,35772,3341,1678,1663,10505,6040,4465,21926,0,10707,11219,KwaZulu-Natal
KZN281,Mfolozi,24880,2198,906,1292,8102,4614,3488,14580,0,7038,7542,KwaZulu-Natal
KZN283,Ntambanana,16037,999,486,513,5216,2969,2247,9822,0,4667,5155,KwaZulu-Natal
KZN284,uMlalazi,43754,3645,1711,1934,12380,7083,5297,27729,0,13571,14158,KwaZulu-Natal
KZN285,Mthonjaneni,9512,1265,637,628,2939,1662,1277,5308,0,2611,2697,KwaZulu-Natal
KZN286,Nkandla,23066,1025,548,477,7133,4071,3062,14908,0,7386,7522,KwaZulu-Natal
KZN291,Mandeni,28258,4618,2147,2471,9166,5185,3981,14474,0,6862,7612,KwaZulu-Natal
KZN293,Ndwedwe,28369,1711,743,968,9085,5155,3930,17573,0,8382,9191,KwaZulu-Natal
KZN294,Maphumulo,19864,1061,548,513,5592,3323,2269,13211,0,6565,6646,KwaZulu-Natal
KZN431,Ingwe,20257,1493,595,898,6705,3909,2796,12059,0,5659,6400,KwaZulu-Natal
KZN432,Kwa Sani,2227,866,312,554,793,469,324,568,0,231,337,KwaZulu-Natal
