geo_code,name,total,Discouraged work-seeker,Discouraged work-seeker-Female,Discouraged work-seeker-Male,Employed,Employed-Female,Employed-Male,Other not economically active,Other not economically active-Female,Other not economically active-Male,Unemployed,Unemployed-Female,Unemployed-Male,province
ZA,South Africa,9886917,567086,312511,254575,1625101,689851,935250,5905223,3037516,2867707,1789507,946361,843146,South Africa
WC044,George,32617,1806,1003,803,8567,3873,4694,16542,8726,7816,5702,3020,2682,Western Cape
WC047,Bitou,7572,486,237,249,1826,754,1072,3054,1600,1454,2206,1244,962,Western Cape
WC048,Knysna,10614,486,290,196,2648,1141,1507,5183,2765,2418,2297,1240,1057,Western Cape
WC051,Laingsburg,1178,76,54,22,441,171,270,497,265,232,164,97,67,Western Cape
WC052,Prince Albert,2226,183,114,69,553,169,384,1202,661,541,288,151,137,Western Cape
WC053,Beaufort West,8127,923,510,413,1540,633,907,4364,2238,2126,1300,689,611,Western Cape
MP303,Mkhondo,30526,1831,1106,725,3883,1550,2333,19477,9933,9544,5335,2990,2345,Mpumalanga
MP311,Victor Khanye,13535,770,444,326,2894,955,1939,7195,3749,3446,2676,1372,1304,Mpumalanga
MP322,Mbombela,124575,7203,4231,2972,19780,8489,11291,74621,38625,35996,22971,12748,10223,North West
NW373,Rustenburg,94936,3748,2158,1590,22558,7444,15114,45467,24260,21207,23163,11929,11234,North West
NW384,Ditsobotla,29718,2171,1277,894,4748,1320,3428,18459,9932,8527,4340,2326,2014,North West
NW396,Lekwa-Teemane,9568,999,542,457,1539,498,1041,5404,2829,2575,1626,827,799,Northern Cape
NC062,Nama Khoi,7482,642,322,320,1492,663,829,4194,2149,2045,1154,550,604,Northern Cape
NC071,Ubuntu,3080,178,99,79,805,301,504,1394,733,661,703,389,314,Northern Cape
NC077,Siyathemba,3468,249,152,97,795,250,545,1927,1060,867,497,275,222,Northern Cape
NC085,Tsantsabane,6424,134,81,53,1692,562,1130,3338,1695,1643,1260,703,557,Northern Cape
NC094,Phokwane,11413,796,437,359,1451,536,915,6850,3541,3309,2316,1227,1089,Western Cape
WC012,Cederberg,8037,209,129,80,3293,1570,1723,3776,1931,1845,759,364,395,Western Cape
WC024,Stellenbosch,32264,1120,588,532,9292,4387,4905,17659,9047,8612,4193,2132,2061,Western Cape
WC033,Cape Agulhas,5242,411,246,165,1914,819,1095,2189,1246,943,728,389,339,Western Cape
WC045,Oudtshoorn,16354,1181,677,504,3120,1233,1887,9205,4818,4387,2848,1469,1379,Eastern Cape
EC102,Blue Crane Route,5856,384,224,160,932,310,622,3527,1877,1650,1013,549,464,Eastern Cape
EC103,Ikwezi,1661,139,88,51,421,184,237,925,498,427,176,88,88,Eastern Cape
