geo_code,name,total,Do not know,Do not know-15,Do not know-16,Do not know-17,Do not know-18,Do not know-19,Do not know-20,Do not know-21,Do not know-22,Do not know-23,Do not know-24,Given birth,Given birth-15,Given birth-16,Given birth-17,Given birth-18,Given birth-19,Given birth-20,Given birth-21,Given birth-22,Given birth-23,Given birth-24,Never given birth,Never given birth-15,Never given birth-16,Never given birth-17,Never given birth-18,Never given birth-19,Never given birth-20,Never given birth-21,Never given birth-22,Never given birth-23,Never given birth-24,Unspecified,Unspecified-15,Unspecified-16,Unspecified-17,Unspecified-18,Unspecified-19,Unspecified-20,Unspecified-21,Unspecified-22,Unspecified-23,Unspecified-24,province
ZA,South Africa,5100725,7670,885,919,863,832,815,733,770,697,636,520,1585260,14054,30080,58106,95738,140624,182560,225836,253318,284117,300827,2519482,324968,320671,314667,292957,274548,246932,226113,195220,172478,150928,988313,148601,136877,126066,111465,104072,94073,85144,70290,59958,51767,South Africa
WC044,George,17023,14,3,1,3,1,0,1,1,4,0,0,5229,46,104,178,334,467,572,731,826,956,1015,7828,976,961,972,964,851,753,712,611,546,482,3952,624,597,557,455,367,387,309,232,262,162,Western Cape
WC047,Bitou,3947,3,0,1,0,1,1,0,0,0,0,0,1270,10,18,31,74,90,133,202,179,250,283,1827,206,204,188,181,188,216,192,171,141,140,847,136,187,121,87,80,45,49,44,55,43,Western Cape
WC048,Knysna,5558,5,0,0,1,1,0,0,0,2,0,1,1780,8,30,61,106,152,179,258,294,306,386,2384,281,291,292,275,249,236,217,174,202,167,1389,244,196,177,145,123,105,107,75,96,121,Western Cape
WC051,Laingsburg,617,0,0,0,0,0,0,0,0,0,0,0,211,6,1,13,12,27,22,38,28,34,30,280,34,46,44,40,27,21,19,12,22,15,126,45,16,13,7,11,6,7,7,7,7,Western Cape
WC052,Prince Albert,1097,1,0,1,0,0,0,0,0,0,0,0,395,5,6,12,29,28,46,55,75,57,82,581,93,84,75,61,58,55,55,40,33,27,120,32,20,13,17,11,11,8,2,2,4,Western Cape
WC053,Beaufort West,4143,1,0,0,0,0,0,0,0,1,0,0,1364,15,21,52,82,136,144,213,192,246,263,1595,211,238,242,163,163,147,120,107,106,98,1183,197,184,185,141,97,83,101,59,71,65,Western Cape
MP303,Mkhondo,15748,61,5,9,13,7,7,9,3,5,3,0,5951,58,139,287,401,595,762,884,862,994,969,6235,991,941,952,752,646,504,490,365,325,269,3501,650,583,570,376,296,254,236,209,172,155,Mpumalanga
MP311,Victor Khanye,6583,11,0,1,0,4,0,2,2,0,2,0,2415,24,58,85,156,261,284,346,353,412,436,2943,380,399,367,355,320,283,251,233,182,173,1214,218,171,180,117,126,101,85,80,71,65,Mpumalanga
MP322,Mbombela,65196,100,22,9,7,7,6,6,9,12,13,9,23037,234,492,985,1570,2164,2634,3204,3535,3933,4286,31695,4223,4132,4076,3772,3408,2897,2818,2414,2157,1798,10364,1740,1609,1436,1229,1028,902,744,639,525,512,North West
NW373,Rustenburg,46602,57,7,4,10,7,7,4,3,9,2,4,15488,91,178,351,695,1211,1612,2233,2642,3114,3361,20791,2071,2215,2232,2263,2248,2160,2169,1973,1827,1633,10266,1417,1391,1275,1192,1042,990,867,730,690,672,North West
NW384,Ditsobotla,15140,9,1,0,3,3,1,0,0,1,0,0,5720,44,94,198,340,465,661,904,1006,1045,963,7452,1138,1098,1046,880,832,714,580,499,377,288,1959,407,366,290,225,197,123,120,92,90,49,North West
NW396,Lekwa-Teemane,4790,1,1,0,0,0,0,0,0,0,0,0,1742,18,37,81,107,159,185,280,261,296,318,2328,351,345,345,302,232,208,188,122,131,104,719,112,127,104,72,80,66,41,58,37,22,Northern Cape
NC062,Nama Khoi,3927,1,0,0,0,0,0,0,0,0,0,1,1185,13,28,36,72,133,143,166,169,231,194,2062,303,317,288,263,197,147,157,142,119,129,679,123,116,106,113,42,58,46,25,35,15,Northern Cape
NC071,Ubuntu,1535,3,0,0,0,1,0,0,1,0,1,0,619,8,15,30,35,65,73,71,105,100,117,687,114,105,92,104,71,56,57,28,32,28,226,40,35,28,22,27,26,7,15,12,14,Northern Cape
NC077,Siyathemba,1780,1,0,0,1,0,0,0,0,0,0,0,700,2,17,23,43,76,86,111,96,106,140,892,152,164,127,100,93,68,64,52,42,30,187,40,28,19,24,23,10,6,12,19,6,Northern Cape
NC085,Tsantsabane,3052,3,1,0,0,0,0,1,0,0,1,0,1257,7,16,62,80,111,121,162,241,202,255,1383,205,196,192,173,117,127,117,121,76,59,409,58,50,49,62,58,33,44,16,13,26,Northern Cape
NC094,Phokwane,5746,11,6,0,2,1,0,1,0,1,0,0,2276,18,59,106,168,218,290,330,345,362,380,2498,389,396,367,331,245,230,183,133,130,94,961,208,168,135,112,88,64,56,50,44,36,Western Cape
WC012,Cederberg,4290,7,0,0,0,2,3,0,0,2,0,0,1519,18,20,41,95,140,187,211,265,247,295,1589,233,198,178,166,176,142,132,158,112,94,1175,181,154,152,136,109,94,96,111,73,69,Western Cape
WC024,Stellenbosch,19639,28,3,3,3,0,0,6,2,4,4,3,4146,45,61,150,243,366,467,552,663,750,849,7705,518,524,528,707,849,1051,1150,942,808,628,7760,629,622,606,812,1390,1332,1090,676,351,252,Western Cape
WC033,Cape Agulhas,2754,1,1,0,0,0,0,0,0,0,0,0,901,11,17,41,69,81,95,117,93,192,185,1197,143,142,171,142,116,113,113,92,92,73,655,116,125,90,64,75,58,33,36,27,31,Western Cape
WC045,Oudtshoorn,8524,10,4,2,2,1,0,0,1,0,0,0,2743,28,52,104,174,274,326,379,450,491,465,3641,530,498,517,442,369,350,299,234,219,183,2130,399,388,302,223,198,153,138,126,133,70,Eastern Cape
EC102,Blue Crane Route,2998,2,1,0,1,0,0,0,0,0,0,0,932,9,21,47,53,96,100,137,133,165,171,1548,221,220,222,213,149,117,123,96,97,90,516,76,87,79,71,46,40,31,39,31,16,Eastern Cape
EC103,Ikwezi,858,0,0,0,0,0,0,0,0,0,0,0,303,2,8,14,21,17,41,35,46,68,51,370,66,48,45,62,28,27,32,28,13,21,185,40,34,28,19,18,12,10,6,8,10,Eastern Cape
EC104,Makana,9115,12,3,1,0,1,1,2,2,1,1,0,1677,17,40,54,96,114,182,220,284,325,345,4239,415,449,439,431,432,446,517,457,380,273,3187,216,198,216,345,542,621,424,301,207,117,Eastern Cape
EC106,Sundays River Valley,4404,6,0,1,1,2,0,0,2,0,0,0,1499,17,46,61,99,125,150,219,261,275,246,2169,257,269,267,243,217,231,195,164,171,155,730,118,124,83,92,79,62,52,42,39,39,Eastern Cape
