geo_code,name,total,Do not know,Given birth,Never given birth,Unspecified,province
ZA,South Africa,5100726,7668,1585260,2519482,988316,South Africa
WC044,George,17027,15,5231,7829,3952,Western Cape
WC047,Bitou,3948,4,1269,1827,848,Western Cape
WC048,Knysna,5560,6,1781,2385,1388,Western Cape
WC051,Laingsburg,617,0,213,280,124,Western Cape
WC052,Prince Albert,1100,1,395,582,122,Western Cape
WC053,Beaufort West,4142,1,1363,1594,1184,Western Cape
MP303,Mkhondo,15749,62,5951,6235,3501,Mpumalanga
MP311,Victor Khanye,6587,12,2417,2944,1214,Mpumalanga
MP322,Mbombela,65196,100,23038,31695,10363,North West
NW373,Rustenburg,46605,58,15490,20791,10266,North West
NW384,Ditsobotla,15139,10,5719,7452,1958,North West
NW396,Lekwa-Teemane,4789,1,1742,2328,718,Northern Cape
NC062,Nama Khoi,3928,1,1185,2063,679,Northern Cape
NC071,Ubuntu,1535,3,620,686,226,Northern Cape
NC077,Siyathemba,1778,1,701,891,185,Northern Cape
NC085,Tsantsabane,3055,3,1258,1385,409,Northern Cape
NC094,Phokwane,5747,11,2275,2499,962,Western Cape
WC012,Cederberg,4289,7,1519,1589,1174,Western Cape
WC024,Stellenbosch,19642,30,4147,7705,7760,Western Cape
WC033,Cape Agulhas,2752,1,900,1197,654,Western Cape
WC045,Oudtshoorn,8525,11,2743,3641,2130,Eastern Cape
EC102,Blue Crane Route,2998,2,931,1548,517,Eastern Cape
EC103,Ikwezi,858,0,303,371,184,Eastern Cape
EC104,Makana,9114,13,1677,4238,3186,Eastern Cape
EC106,Sundays River Valley,4402,6,1498,2169,729,Eastern Cape
EC107,Baviaans,1398,2,554,649,193,Eastern Cape
EC108,Kouga,7922,13,2956,3616,1337,Eastern Cape
EC109,Kou-Kamma,3233,2,1378,1301,552,Eastern Cape
EC121,Mbhashe,27408,16,7876,15134,4382,Eastern Cape
EC123,Great Kei,3306,0,839,1781,686,Eastern Cape
EC124,Amahlathi,10839,5,2989,6286,1559,Eastern Cape
EC126,Ngqushwa,5656,6,1433,3423,794,Eastern Cape
EC127,Nkonkobe,11930,10,2945,5486,3489,Eastern Cape
EC131,Inxuba Yethemba,5549,12,1710,2684,1143,Eastern Cape
EC132,Tsolwana,3106,6,917,1599,584,Eastern Cape
EC133,Inkwanca,2062,0,780,779,503,Eastern Cape
EC134,Lukanji,18373,19,5299,10296,2759,Eastern Cape
EC136,Emalahleni,11132,12,3412,5770,1938,Eastern Cape
EC137,Engcobo,15293,24,4986,6469,3814,Eastern Cape
EC138,Sakhisizwe,6093,10,1757,2760,1566,Eastern Cape
EC141,Elundini,13578,16,4225,6773,2564,Eastern Cape
