geo_code,name,total,Income-poor,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+,province
ZA,South Africa,43880663,24672954,9314612,5267335,3405601,2387598,1822945,1258786,1216077,19207709,4149281,3206896,3931847,2973211,2200119,1441449,1304906,South Africa
WC044,George,166413,76168,26410,14855,11439,10242,7216,3706,2300,90245,19239,13840,15344,13922,11512,8322,8066,Western Cape
WC047,Bitou,39665,18870,6312,3477,3390,2814,1736,730,411,20795,4269,2901,4193,3409,2364,1692,1967,Western Cape
WC048,Knysna,57091,25818,8684,4975,4280,3494,2352,1199,834,31273,6312,4123,5624,4865,3598,3139,3612,Western Cape
WC051,Laingsburg,7350,3488,1245,567,492,490,348,194,152,3862,700,509,621,642,570,457,363,Western Cape
WC052,Prince Albert,12197,7793,2864,1445,1116,952,779,381,256,4404,848,648,595,649,657,481,526,Western Cape
WC053,Beaufort West,42788,25796,9872,4612,3421,3144,2341,1426,980,16992,3778,2598,2496,2485,2317,1781,1537,Western Cape
MP303,Mkhondo,126594,92634,38739,20925,11556,7935,6057,3899,3523,33960,8598,5892,6724,5094,3426,2198,2028,Mpumalanga
MP311,Victor Khanye,62312,33090,12145,6975,4959,3402,2692,1714,1203,29222,6521,4869,6013,4547,3361,2221,1690,Mpumalanga
MP322,Mbombela,526185,296994,111058,69550,45254,29300,18908,11839,11085,229191,56208,41158,47673,35410,23627,13499,11616,North West
NW373,Rustenburg,437616,153400,53497,31329,25140,17425,12625,7223,6161,284216,58079,45760,70713,50421,34631,14852,9760,North West
NW384,Ditsobotla,150594,103416,39079,20022,14552,10788,8564,5627,4784,47178,9753,7181,8569,7140,6018,4344,4173,North West
NW396,Lekwa-Teemane,47980,32104,12497,6434,4466,3186,2352,1690,1479,15876,3169,2267,2845,2408,1953,1667,1567,Northern Cape
NC062,Nama Khoi,43070,19471,6012,3555,2535,2495,2002,1388,1484,23599,4837,3340,3550,3355,3046,2587,2884,Northern Cape
NC071,Ubuntu,16344,10594,4211,1859,1307,1246,876,557,538,5750,1270,878,888,798,702,569,645,Northern Cape
NC077,Siyathemba,20112,12516,4536,2174,1602,1413,1224,777,790,7596,1563,1108,1231,1105,950,803,836,Northern Cape
NC085,Tsantsabane,31142,13344,4613,2552,1909,1467,1096,733,974,17798,3972,3143,3662,2574,1851,1220,1376,Northern Cape
