geo_code,name,total,Income-poor,Income-poor-Female,Income-poor-Female-Black African,Income-poor-Female-Coloured,Income-poor-Female-Indian or Asian,Income-poor-Female-Other,Income-poor-Female-White,Income-poor-Male,Income-poor-Male-Black African,Income-poor-Male-Coloured,Income-poor-Male-Indian or Asian,Income-poor-Male-Other,Income-poor-Male-White,Non-poor,Non-poor-Female,Non-poor-Female-Black African,Non-poor-Female-Coloured,Non-poor-Female-Indian or Asian,Non-poor-Female-Other,Non-poor-Female-White,Non-poor-Male,Non-poor-Male-Black African,Non-poor-Male-Coloured,Non-poor-Male-Indian or Asian,Non-poor-Male-Other,Non-poor-Male-White,province
ZA,South Africa,8474230,5267334,2769778,2562638,175944,15824,4620,10752,2497556,2300006,163188,16990,6550,10822,3206896,1564599,1089915,199731,70206,7714,197033,1642297,1151520,201247,75612,14879,199039,South Africa
WC044,George,28695,14857,7933,3000,4779,29,20,105,6924,2474,4337,21,34,58,13838,6876,1490,3836,36,59,1455,6962,1538,3829,37,136,1422,Western Cape
WC047,Bitou,6379,3478,1870,1088,686,12,74,10,1608,865,613,7,99,24,2901,1388,546,515,8,84,235,1513,662,514,5,111,221,Western Cape
WC048,Knysna,9096,4975,2655,1306,1305,14,11,19,2320,1070,1186,12,12,40,4121,2052,643,1003,6,23,377,2069,628,1027,6,63,345,Western Cape
WC051,Laingsburg,1076,567,305,14,286,0,2,3,262,19,239,0,1,3,509,231,10,203,0,4,14,278,29,226,0,2,21,Western Cape
WC052,Prince Albert,2092,1445,758,16,735,1,0,6,687,12,665,4,0,6,647,267,7,227,0,1,32,380,19,305,2,8,46,Western Cape
WC053,Beaufort West,7211,4612,2416,434,1957,7,7,11,2196,324,1835,9,5,23,2599,1256,190,900,6,1,159,1343,209,941,5,12,176,Western Cape
MP303,Mkhondo,26818,20925,11058,10950,53,24,5,26,9867,9775,35,30,6,21,5893,2868,2491,40,65,7,265,3025,2572,25,85,32,311,Mpumalanga
MP311,Victor Khanye,11843,6974,3630,3510,43,4,2,71,3344,3229,25,7,16,67,4869,2182,1556,37,18,6,565,2687,1938,37,20,10,682,Mpumalanga
MP322,Mbombela,110709,69550,37137,36746,251,13,19,108,32413,32057,194,64,27,71,41159,20703,17642,374,243,29,2415,20456,17457,327,246,52,2374,North West
NW373,Rustenburg,77090,31329,16534,16267,86,42,32,107,14795,14503,97,38,46,111,45761,20998,17955,213,202,73,2555,24763,21373,250,282,167,2691,North West
NW384,Ditsobotla,27201,20020,10631,10375,200,8,4,44,9389,9141,163,10,14,61,7181,3176,2359,97,29,10,681,4005,3077,92,86,37,713,North West
NW396,Lekwa-Teemane,8700,6434,3342,3057,245,0,5,35,3092,2795,238,4,3,52,2266,1044,697,100,6,6,235,1222,874,122,21,20,185,Northern Cape
NC062,Nama Khoi,6894,3555,1803,21,1772,3,6,1,1752,41,1693,8,6,4,3339,1611,48,1443,15,7,98,1728,76,1489,6,31,126,Northern Cape
NC071,Ubuntu,2737,1859,986,214,764,3,2,3,873,177,685,6,0,5,878,384,96,249,1,5,33,494,133,310,0,13,38,Northern Cape
NC077,Siyathemba,3280,2173,1169,238,927,2,1,1,1004,179,815,7,0,3,1107,494,85,333,2,2,72,613,125,396,8,14,70,Northern Cape
NC085,Tsantsabane,5695,2552,1305,713,576,1,3,12,1247,606,624,6,8,3,3143,1409,701,576,1,5,126,1734,921,606,18,22,167,Northern Cape
NC094,Phokwane,10241,7559,4005,3574,404,6,7,14,3554,3180,340,8,13,13,2682,1252,847,220,1,7,177,1430,990,214,24,21,181,Western Cape
WC012,Cederberg,7382,3344,1771,193,1569,1,0,8,1573,161,1379,4,8,21,4038,1897,237,1459,6,2,193,2141,307,1620,10,10,194,Western Cape
WC024,Stellenbosch,22905,8990,4765,1984,2622,11,8,140,4225,1610,2436,21,40,118,13915,6829,1428,3931,23,26,1421,7086,1573,4035,19,74,1385,Western Cape
WC033,Cape Agulhas,4765,2062,1130,152,967,1,3,7,932,111,796,2,5,18,2703,1347,164,931,3,13,236,1356,196,876,5,23,256,Western Cape
WC045,Oudtshoorn,15143,9986,5108,397,4672,9,5,25,4878,383,4433,15,11,36,5157,2515,259,1867,6,27,356,2642,230,1951,12,47,402,Eastern Cape
EC102,Blue Crane Route,5313,3758,1982,1281,678,3,13,7,1776,1159,599,3,8,7,1555,740,382,275,0,4,79,815,403,302,6,19,85,Eastern Cape
EC103,Ikwezi,1494,1121,620,234,382,0,0,4,501,222,268,3,3,5,373,154,58,65,0,0,31,219,79,106,0,10,24,Eastern Cape
EC104,Makana,11895,7284,3832,3332,443,8,6,43,3452,2997,403,6,13,33,4611,2276,1470,404,10,14,378,2335,1558,351,18,40,368,Eastern Cape
EC106,Sundays River Valley,8561,5781,2942,2209,713,3,9,8,2839,2122,681,5,26,5,2780,1098,755,229,1,13,100,1682,1162,345,3,55,117,Eastern Cape
EC107,Baviaans,2656,1986,1012,106,897,1,3,5,974,94,868,0,8,4,670,287,36,232,3,0,16,383,41,311,1,9,21,Eastern Cape
EC108,Kouga,13834,8266,4342,1965,2308,13,6,50,3924,1668,2169,3,35,49,5568,2619,876,1211,9,15,508,2949,1094,1245,7,76,527,Eastern Cape
EC109,Kou-Kamma,6257,3673,1931,582,1329,5,5,10,1742,533,1175,7,13,14,2584,1117,358,595,2,19,143,1467,575,711,5,65,111,Eastern Cape
EC121,Mbhashe,47232,41899,21200,21168,13,11,5,3,20699,20637,6,19,27,10,5333,2581,2564,5,6,4,2,2752,2710,4,8,26,4,Eastern Cape
EC123,Great Kei,5951,4942,2403,2384,16,1,0,2,2539,2511,22,0,0,6,1009,408,310,14,1,3,80,601,501,10,1,1,88,Eastern Cape
EC124,Amahlathi,20207,16943,8304,8196,86,7,4,11,8639,8536,77,5,11,10,3264,1482,1385,45,1,0,51,1782,1621,57,3,24,77,Eastern Cape
EC126,Ngqushwa,10656,9081,4408,4391,7,7,1,2,4673,4658,5,3,5,2,1575,716,713,1,0,0,2,859,843,0,5,8,3,Eastern Cape
EC127,Nkonkobe,18366,14909,7350,7038,302,5,4,1,7559,7268,264,9,12,6,3457,1609,1441,109,7,12,40,1848,1655,108,6,28,51,Eastern Cape
EC131,Inxuba Yethemba,9995,6506,3437,2179,1211,3,22,22,3069,1910,1108,5,22,24,3489,1635,685,597,9,10,334,1854,853,663,14,33,291,Eastern Cape
EC132,Tsolwana,5556,4574,2373,2231,134,1,1,6,2201,2074,110,4,3,10,982,416,371,25,1,0,19,566,499,36,6,8,17,Eastern Cape
EC133,Inkwanca,3688,2927,1534,1463,62,1,1,7,1393,1329,52,0,5,7,761,312,254,11,2,3,42,449,380,26,1,9,33,Eastern Cape
EC134,Lukanji,32355,22898,11457,11131,297,7,13,9,11441,11082,299,15,33,12,9457,4784,4205,291,47,22,219,4673,4013,309,51,63,237,Eastern Cape
EC136,Emalahleni,20012,17640,8613,8572,34,3,3,1,9027,8960,39,7,14,7,2372,1023,989,10,1,5,18,1349,1278,12,23,26,10,Eastern Cape
EC137,Engcobo,25470,22432,11389,11365,8,6,5,5,11043,11007,14,8,7,7,3038,1480,1473,1,1,3,2,1558,1530,0,8,19,1,Eastern Cape
EC138,Sakhisizwe,11153,9311,4570,4533,31,2,1,3,4741,4711,18,0,9,3,1842,850,815,11,2,1,21,992,938,14,12,11,17,Eastern Cape
EC141,Elundini,24271,20728,10161,10085,67,0,6,3,10567,10472,68,8,10,9,3543,1654,1568,45,0,5,36,1889,1760,46,11,30,42,Eastern Cape
EC142,Senqu,23981,20128,10476,10363,91,7,14,1,9652,9533,95,6,11,7,3853,1761,1667,50,6,5,33,2092,1977,47,22,13,33,Eastern Cape
EC143,Maletswai,7275,4958,2666,2495,162,0,3,6,2292,2121,152,5,6,8,2317,1129,901,116,6,3,103,1188,938,101,10,13,126,Eastern Cape
EC153,Ngquza Hill,51806,45890,23567,23420,103,24,5,15,22323,22145,110,33,27,8,5916,2904,2853,41,4,5,1,3012,2928,47,8,23,6,Eastern Cape
EC154,Port St Johns,30084,27474,14237,14155,65,11,1,5,13237,13160,53,12,3,9,2610,1314,1295,11,2,1,5,1296,1258,23,6,4,5,Eastern Cape
EC155,Nyandeni,56897,50277,25614,25462,79,37,19,17,24663,24540,74,32,8,9,6620,3186,3149,31,2,4,0,3434,3379,33,11,8,3,Eastern Cape
EC156,Mhlontlo,35896,31533,15790,15729,28,11,6,16,15743,15684,29,15,3,12,4363,2033,1993,12,9,0,19,2330,2277,18,6,21,8,Eastern Cape
EC441,Matatiele,34330,28899,14662,14573,55,13,6,15,14237,14143,70,13,5,6,5431,2556,2402,85,11,1,57,2875,2701,81,38,8,47,Eastern Cape
EC442,Umzimvubu,33984,28902,14869,14798,56,8,1,6,14033,13944,59,5,18,7,5082,2479,2462,8,7,1,1,2603,2572,8,7,15,1,Eastern Cape
EC443,Mbizana,52758,46349,24317,24255,38,12,5,7,22032,21951,51,17,5,8,6409,3178,3143,25,2,1,7,3231,3188,22,9,10,2,Eastern Cape
EC444,Ntabankulu,23592,21533,11295,11231,58,2,1,3,10238,10170,44,10,8,6,2059,986,971,14,0,0,1,1073,1043,19,6,4,1,Free State
FS161,Letsemeng,6255,4264,2257,1695,550,3,3,6,2007,1494,488,7,8,10,1991,900,547,249,0,0,104,1091,700,262,3,9,117,Free State
FS162,Kopanong,7579,5360,2891,2220,628,7,1,35,2469,1887,551,5,3,23,2219,991,690,171,2,9,119,1228,872,201,15,23,117,Free State
FS163,Mohokare,5806,4548,2442,2381,57,0,0,4,2106,2054,36,0,4,12,1258,558,487,10,2,0,59,700,575,24,11,2,88,Free State
FS181,Masilonyana,9495,7133,3822,3763,32,1,1,25,3311,3233,41,10,3,24,2362,1165,999,9,1,6,150,1197,1025,14,12,10,136,Free State
FS182,Tokologo,4517,3409,1909,1819,72,0,4,14,1500,1424,63,3,0,10,1108,419,319,21,1,3,75,689,533,36,14,11,95,Free State
FS183,Tswelopele,8117,6495,3492,3436,41,4,0,11,3003,2935,44,7,0,17,1622,705,572,10,0,1,122,917,749,13,20,7,128,Free State
FS184,Matjhabeng,64403,39896,21157,20580,384,16,12,165,18739,18151,389,29,24,146,24507,12123,9847,344,37,19,1876,12384,9993,361,104,48,1878,Free State
FS185,Nala,13379,10634,5748,5692,36,1,7,12,4886,4846,28,2,2,8,2745,1234,1082,11,4,1,136,1511,1286,10,21,20,174,Free State
FS192,Dihlabeng,21089,14024,7433,7306,83,10,1,33,6591,6484,61,3,8,35,7065,3516,2749,88,26,8,645,3549,2844,107,38,17,543,Free State
FS193,Nketoana,10756,8529,4448,4417,7,3,4,17,4081,4045,8,2,7,19,2227,1044,842,2,6,2,192,1183,958,11,14,8,192,Free State
FS194,Maluti a Phofung,65415,52105,27512,27421,45,8,11,27,24593,24530,25,8,9,21,13310,6631,6443,8,21,10,149,6679,6399,27,47,16,190,Free State
FS195,Phumelela,8172,6365,3390,3352,8,0,1,29,2975,2931,11,3,13,17,1807,790,649,8,1,4,128,1017,857,4,25,14,117,Free State
FS201,Moqhaka,24580,16765,8818,8592,159,3,10,54,7947,7712,158,8,15,54,7815,3719,2956,158,14,9,582,4096,3221,190,23,40,622,Free State
FS203,Ngwathe,18724,14004,7534,7294,182,6,2,50,6470,6227,165,7,7,64,4720,2181,1613,99,10,3,456,2539,1945,98,44,39,413,Free State
FS204,Metsimaholo,22884,12501,6491,6381,25,6,3,76,6010,5905,14,2,15,74,10383,4931,3689,40,21,9,1172,5452,4193,48,39,28,1144,Free State
FS205,Mafube,9646,7423,4022,3977,26,4,0,15,3401,3349,18,11,4,19,2223,989,826,8,2,6,147,1234,1028,9,16,11,170,Gauteng
GT421,Emfuleni,114341,60326,31723,31043,283,50,27,320,28603,27900,258,55,66,324,54015,26703,21585,438,344,71,4265,27312,21898,377,483,179,4375,Gauteng
GT423,Lesedi,14856,7972,4240,4137,29,8,4,62,3732,3628,25,8,6,65,6884,3255,2289,46,52,7,861,3629,2539,52,76,26,936,Gauteng
GT481,Mogale City,51094,22414,11821,11471,75,55,22,198,10593,10265,37,43,36,212,28680,13878,10033,122,425,25,3273,14802,10689,141,449,72,3451,Gauteng
GT482,Randfontein,22247,9744,5176,4461,592,6,11,106,4568,3854,563,8,19,124,12503,6002,3758,692,24,20,1508,6501,4225,661,40,18,1557,Gauteng
GT483,Westonaria,16076,8056,4286,4220,23,7,11,25,3770,3711,18,7,10,24,8020,3655,3169,37,8,4,437,4365,3804,32,33,23,473,KwaZulu-Natal
KZN211,Vulamehlo,14299,12642,6576,6557,6,10,1,2,6066,6052,3,8,1,2,1657,769,754,1,11,0,3,888,880,1,7,0,0,KwaZulu-Natal
KZN212,Umdoni,12627,8124,4290,4001,21,247,7,14,3834,3538,21,264,3,8,4503,2175,1416,34,568,8,149,2328,1506,35,601,12,174,KwaZulu-Natal
KZN213,Umzumbe,29932,25736,13110,13078,7,13,6,6,12626,12587,8,9,13,9,4196,2009,1990,7,5,2,5,2187,2171,7,3,3,3,KwaZulu-Natal
KZN214,UMuziwabantu,18353,15637,8137,8095,30,9,1,2,7500,7450,18,21,7,4,2716,1296,1229,39,12,3,13,1420,1328,53,15,10,14,KwaZulu-Natal
KZN215,Ezingoleni,10054,8717,4473,4470,1,1,1,0,4244,4235,2,2,1,4,1337,628,612,2,6,0,8,709,684,4,8,0,13,KwaZulu-Natal
KZN221,uMshwathi,20452,15582,8175,8119,8,34,8,6,7407,7348,8,29,11,11,4870,2282,2102,11,75,9,85,2588,2345,12,112,18,101,KwaZulu-Natal
KZN222,uMngeni,13509,7504,3952,3854,45,36,4,13,3552,3443,38,50,4,17,6005,2884,2136,70,195,4,479,3121,2390,75,222,12,422,KwaZulu-Natal
KZN223,Mpofana,6512,4534,2355,2331,7,10,1,6,2179,2153,10,12,2,2,1978,892,802,7,31,7,45,1086,984,13,30,6,53,KwaZulu-Natal
KZN224,Impendle,5869,4893,2522,2512,1,1,4,4,2371,2359,9,1,0,2,976,456,454,0,1,0,1,520,513,1,1,2,3,KwaZulu-Natal
KZN225,The Msunduzi,107345,61926,32407,30975,400,915,35,82,29519,28047,361,967,45,99,45419,22688,16260,1055,3730,71,1572,22731,16235,1096,3726,105,1569,KwaZulu-Natal
KZN226,Mkhambathini,11575,8788,4594,4582,3,2,1,6,4194,4176,5,2,3,8,2787,1245,1138,3,39,1,64,1542,1402,5,48,8,79,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,41390,29719,15865,15583,83,157,14,28,13854,13563,73,167,24,27,11671,5891,4989,127,484,8,283,5780,4836,104,588,9,243,KwaZulu-Natal
KZN233,Indaka,20098,18331,9963,9932,14,13,1,3,8368,8333,6,21,1,7,1767,897,895,0,0,2,0,870,854,5,6,1,4,KwaZulu-Natal
KZN234,Umtshezi,14565,10917,5876,5749,43,74,8,2,5041,4938,33,62,6,2,3648,1732,1311,48,300,5,68,1916,1453,54,329,7,73,KwaZulu-Natal
KZN235,Okhahlamba,23365,20394,10710,10683,5,10,6,6,9684,9650,8,9,13,4,2971,1427,1348,3,15,2,59,1544,1456,3,25,5,55,KwaZulu-Natal
KZN236,Imbabazane,21348,18402,9673,9654,7,6,3,3,8729,8710,7,9,3,0,2946,1365,1355,1,3,0,6,1581,1573,1,3,3,1,KwaZulu-Natal
KZN242,Nqutu,32582,29365,15514,15476,14,12,0,12,13851,13819,12,13,4,3,3217,1640,1628,0,5,7,0,1577,1563,2,3,8,1,KwaZulu-Natal
KZN244,Msinga,32954,29950,16444,16412,7,14,3,8,13506,13477,7,13,5,4,3004,1579,1557,1,9,1,11,1425,1407,0,7,6,5,KwaZulu-Natal
KZN245,Umvoti,18921,15010,8116,8016,52,31,1,16,6894,6802,26,37,9,20,3911,1990,1783,22,92,5,88,1921,1679,29,128,21,64,KwaZulu-Natal
KZN252,Newcastle,64981,46625,24454,24195,92,113,12,42,22171,21855,88,169,15,44,18356,8883,7488,128,658,26,583,9473,7974,141,719,50,589,KwaZulu-Natal
KZN254,Dannhauser,19658,16811,8638,8578,14,34,4,8,8173,8110,19,34,2,8,2847,1340,1243,5,60,1,31,1507,1363,5,98,6,35,KwaZulu-Natal
KZN261,eDumbe,15725,13784,7160,7133,2,12,5,8,6624,6594,4,12,12,2,1941,891,824,5,1,3,58,1050,986,0,6,3,55,KwaZulu-Natal
KZN262,UPhongolo,24937,20819,11054,11026,3,6,8,11,9765,9743,6,6,4,6,4118,1930,1874,1,2,2,51,2188,2116,2,7,2,61,KwaZulu-Natal
KZN263,Abaqulusi,37996,30566,15811,15745,30,14,6,16,14755,14675,24,17,7,32,7430,3534,3125,41,44,7,317,3896,3471,44,47,23,311,KwaZulu-Natal
KZN265,Nongoma,39609,34836,18361,18301,17,21,12,10,16475,16421,16,17,9,12,4773,2357,2341,4,9,1,2,2416,2398,1,12,3,2,KwaZulu-Natal
KZN266,Ulundi,35819,29791,15671,15624,12,14,13,8,14120,14074,7,22,11,6,6028,3137,3111,7,2,6,11,2891,2867,6,5,7,6,KwaZulu-Natal
KZN272,Jozini,36692,31870,16786,16731,12,14,23,6,15084,15030,13,18,15,8,4822,2463,2429,4,10,7,13,2359,2313,4,17,14,11,KwaZulu-Natal
KZN273,The Big 5 False Bay,6609,5620,2930,2916,5,7,0,2,2690,2682,1,3,2,2,989,508,492,1,1,0,14,481,459,3,4,1,14,KwaZulu-Natal
KZN274,Hlabisa,14559,12632,6628,6605,7,7,7,2,6004,5984,3,12,4,1,1927,977,968,5,1,2,1,950,940,3,5,2,0,KwaZulu-Natal
KZN275,Mtubatuba,33086,26940,14116,14052,28,27,4,5,12824,12761,22,20,11,10,6146,3139,3064,17,12,8,38,3007,2921,20,23,9,34,KwaZulu-Natal
KZN281,Mfolozi,23849,19225,9992,9952,16,19,2,3,9233,9196,16,13,4,4,4624,2219,2177,6,8,2,26,2405,2359,8,8,3,27,KwaZulu-Natal
KZN283,Ntambanana,15190,13342,6876,6856,7,8,3,2,6466,6443,9,8,2,4,1848,893,881,9,1,1,1,955,942,6,3,2,2,KwaZulu-Natal
KZN284,uMlalazi,40126,32988,17249,17146,34,49,9,11,15739,15636,50,35,10,8,7138,3532,3248,53,93,10,128,3606,3370,50,63,26,97,KwaZulu-Natal
KZN285,Mthonjaneni,8808,6982,3728,3714,6,6,0,2,3254,3241,7,3,2,1,1826,899,879,6,2,0,12,927,894,5,7,9,12,KwaZulu-Natal
KZN286,Nkandla,22217,19599,10440,10419,2,2,7,10,9159,9145,8,2,3,1,2618,1300,1291,2,2,0,5,1318,1313,1,1,0,3,KwaZulu-Natal
