geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
ZA,South Africa,3414608,1625101,271951,119623,152328,1353150,570228,782922,1789507,515508,266779,248729,1273999,679582,594417,South Africa
WC044,George,14269,8567,1691,742,949,6876,3131,3745,5702,2175,1111,1064,3527,1909,1618,Western Cape
WC047,Bitou,4034,1827,269,124,145,1558,630,928,2207,743,399,344,1464,845,619,Western Cape
WC048,Knysna,4946,2649,456,187,269,2193,955,1238,2297,803,457,346,1494,783,711,Western Cape
WC051,Laingsburg,605,441,109,41,68,332,130,202,164,77,50,27,87,47,40,Western Cape
WC052,Prince Albert,841,552,123,27,96,429,141,288,289,111,51,60,178,100,78,Western Cape
WC053,Beaufort West,2838,1538,360,153,207,1178,479,699,1300,485,249,236,815,440,375,Western Cape
MP303,Mkhondo,9217,3882,685,292,393,3197,1257,1940,5335,1685,932,753,3650,2058,1592,Mpumalanga
MP311,Victor Khanye,5570,2894,411,156,255,2483,799,1684,2676,821,410,411,1855,962,893,Mpumalanga
MP322,Mbombela,42750,19780,3036,1345,1691,16744,7144,9600,22970,6046,3315,2731,16924,9433,7491,North West
NW373,Rustenburg,45721,22558,3206,1199,2007,19352,6245,13107,23163,6306,3117,3189,16857,8812,8045,North West
NW384,Ditsobotla,9088,4749,756,213,543,3993,1108,2885,4339,1211,612,599,3128,1713,1415,North West
NW396,Lekwa-Teemane,3165,1539,278,97,181,1261,401,860,1626,428,213,215,1198,614,584,Northern Cape
NC062,Nama Khoi,2646,1492,254,87,167,1238,576,662,1154,394,180,214,760,370,390,Northern Cape
NC071,Ubuntu,1506,805,188,67,121,617,234,383,701,298,167,131,403,221,182,Northern Cape
NC077,Siyathemba,1292,795,170,37,133,625,213,412,497,130,66,64,367,209,158,Northern Cape
NC085,Tsantsabane,2950,1690,232,74,158,1458,487,971,1260,385,219,166,875,484,391,Northern Cape
NC094,Phokwane,3766,1450,251,102,149,1199,434,765,2316,645,343,302,1671,884,787,Western Cape
WC012,Cederberg,4051,3293,845,392,453,2448,1178,1270,758,297,140,157,461,223,238,Western Cape
WC024,Stellenbosch,13485,9292,1745,754,991,7547,3633,3914,4193,1502,715,787,2691,1417,1274,Western Cape
WC033,Cape Agulhas,2643,1914,399,173,226,1515,646,869,729,290,171,119,439,218,221,Western Cape
WC045,Oudtshoorn,5970,3122,741,290,451,2381,944,1437,2848,1003,507,496,1845,962,883,Eastern Cape
