geo_code,name,total,Both parents,Both parents-Female,Both parents-Male,Father only,Father only-Female,Father only-Male,Mother only,Mother only-Female,Mother only-Male,Neither parent,Neither parent-Female,Neither parent-Male,province
ZA,South Africa,4879670,1106126,547764,558362,202135,91097,111038,1651053,840721,810332,1920356,967148,953208,South Africa
WC044,George,16332,5777,2857,2920,865,399,466,5179,2621,2558,4511,2416,2095,Western Cape
WC047,Bitou,3444,1076,524,552,182,71,111,1216,620,596,970,506,464,Western Cape
WC048,Knysna,5103,1582,818,764,239,94,145,1744,879,865,1538,829,709,Western Cape
WC051,Laingsburg,615,182,102,80,16,9,7,188,95,93,229,106,123,Western Cape
WC052,Prince Albert,1139,412,195,217,51,19,32,333,161,172,343,170,173,Western Cape
WC053,Beaufort West,4293,1197,560,637,174,81,93,1203,600,603,1719,860,859,Western Cape
MP303,Mkhondo,16230,2560,1303,1257,585,249,336,5440,2815,2625,7645,3778,3867,Mpumalanga
MP311,Victor Khanye,6457,1769,843,926,352,147,205,2129,1083,1046,2207,1114,1093,Mpumalanga
MP322,Mbombela,61425,14168,7057,7111,2974,1389,1585,21350,11134,10216,22933,11880,11053,North West
NW373,Rustenburg,39410,10631,5262,5369,2064,828,1236,11754,5916,5838,14961,7548,7413,North West
NW384,Ditsobotla,14704,4039,2037,2002,516,233,283,4189,2132,2057,5960,2979,2981,North West
NW396,Lekwa-Teemane,4818,977,472,505,153,66,87,1407,732,675,2281,1140,1141,Northern Cape
NC062,Nama Khoi,4018,1307,603,704,141,70,71,1510,770,740,1060,515,545,Northern Cape
NC071,Ubuntu,1572,320,143,177,66,29,37,442,238,204,744,370,374,Northern Cape
NC077,Siyathemba,1841,450,219,231,68,32,36,532,263,269,791,393,398,Northern Cape
NC085,Tsantsabane,2943,814,397,417,123,53,70,847,403,444,1159,577,582,Northern Cape
NC094,Phokwane,6083,1303,637,666,194,77,117,1921,975,946,2665,1323,1342,Western Cape
WC012,Cederberg,3836,1472,680,792,169,87,82,1102,548,554,1093,578,515,Western Cape
WC024,Stellenbosch,13332,4569,2255,2314,569,279,290,3991,1986,2005,4203,2138,2065,Western Cape
WC033,Cape Agulhas,2583,1009,494,515,122,59,63,736,402,334,716,416,300,Western Cape
WC045,Oudtshoorn,8801,3278,1538,1740,289,138,151,2941,1482,1459,2293,1154,1139,Eastern Cape
EC102,Blue Crane Route,3104,733,369,364,110,49,61,743,398,345,1518,768,750,Eastern Cape
EC103,Ikwezi,865,197,102,95,20,10,10,246,132,114,402,207,195,Eastern Cape
EC104,Makana,6417,1457,715,742,315,136,179,2178,1123,1055,2467,1260,1207,Eastern Cape
EC106,Sundays River Valley,4380,1239,599,640,218,109,109,1238,588,650,1685,800,885,Eastern Cape
EC107,Baviaans,1457,371,158,213,65,35,30,454,219,235,567,280,287,Eastern Cape
EC108,Kouga,7418,2553,1188,1365,380,174,206,2147,1099,1048,2338,1256,1082,Eastern Cape
EC109,Kou-Kamma,3030,894,446,448,145,60,85,874,444,430,1117,554,563,Eastern Cape
EC121,Mbhashe,33434,5135,2419,2716,1229,521,708,11213,5537,5676,15857,7684,8173,Eastern Cape
EC123,Great Kei,3519,627,301,326,162,61,101,1089,545,544,1641,725,916,Eastern Cape
EC124,Amahlathi,12677,2264,1110,1154,506,233,273,3769,1855,1914,6138,2846,3292,Eastern Cape
EC126,Ngqushwa,7019,1038,507,531,316,139,177,2112,994,1118,3553,1634,1919,Eastern Cape
EC127,Nkonkobe,11605,1766,832,934,489,196,293,3526,1723,1803,5824,2623,3201,Eastern Cape
EC131,Inxuba Yethemba,5666,1340,647,693,191,106,85,1601,839,762,2534,1273,1261,Eastern Cape
EC132,Tsolwana,3514,432,223,209,94,36,58,976,510,466,2012,943,1069,Eastern Cape
EC133,Inkwanca,2083,335,170,165,98,43,55,647,331,316,1003,484,519,Eastern Cape
EC134,Lukanji,19441,3614,1756,1858,668,305,363,5916,2978,2938,9243,4555,4688,Eastern Cape
EC136,Emalahleni,13556,1961,928,1033,471,204,267,4154,2000,2154,6970,3165,3805,Eastern Cape
EC137,Engcobo,19035,2417,1127,1290,793,330,463,5869,2808,3061,9956,4728,5228,Eastern Cape
EC138,Sakhisizwe,7485,954,472,482,264,100,164,2309,1136,1173,3958,1825,2133,Eastern Cape
EC141,Elundini,16967,2293,1087,1206,627,265,362,5025,2488,2537,9022,4213,4809,Eastern Cape
EC142,Senqu,15636,1789,860,929,573,247,326,4590,2273,2317,8684,4167,4517,Eastern Cape
EC143,Maletswai,4126,754,400,354,149,65,84,1251,653,598,1972,989,983,Eastern Cape
EC153,Ngquza Hill,37122,4359,2159,2200,1224,548,676,12303,6127,6176,19236,9562,9674,Eastern Cape
EC154,Port St Johns,21950,2375,1174,1201,703,327,376,7698,3833,3865,11174,5559,5615,Eastern Cape
EC155,Nyandeni,39784,5549,2669,2880,1343,625,718,14207,6951,7256,18685,9386,9299,Eastern Cape
EC156,Mhlontlo,24562,3307,1544,1763,788,353,435,8021,3872,4149,12446,5957,6489,Eastern Cape
EC441,Matatiele,24568,2781,1303,1478,854,361,493,7173,3497,3676,13760,6588,7172,Eastern Cape
EC442,Umzimvubu,23926,2810,1311,1499,724,313,411,7464,3726,3738,12928,6355,6573,Eastern Cape
EC443,Mbizana,38043,4446,2096,2350,1314,619,695,13106,6567,6539,19177,9754,9423,Eastern Cape
EC444,Ntabankulu,16203,2067,995,1072,482,214,268,5492,2774,2718,8162,4192,3970,Free State
FS161,Letsemeng,3500,918,443,475,141,56,85,910,470,440,1531,776,755,Free State
FS162,Kopanong,4314,864,441,423,135,58,77,1070,533,537,2245,1118,1127,Free State
FS163,Mohokare,3226,533,269,264,147,61,86,938,477,461,1608,823,785,Free State
FS181,Masilonyana,5670,1136,586,550,237,121,116,1681,872,809,2616,1342,1274,Free State
FS182,Tokologo,2474,633,316,317,90,38,52,599,316,283,1152,593,559,Free State
FS183,Tswelopele,4364,957,500,457,138,62,76,1187,594,593,2082,1089,993,Free State
FS184,Matjhabeng,36782,9235,4561,4674,1785,826,959,11587,6010,5577,14175,7193,6982,Free State
FS185,Nala,7545,1774,864,910,363,170,193,2249,1192,1057,3159,1583,1576,Free State
FS192,Dihlabeng,11203,2967,1483,1484,448,199,249,3585,1796,1789,4203,2211,1992,Free State
FS193,Nketoana,5843,1281,645,636,226,100,126,1724,866,858,2612,1282,1330,Free State
FS194,Maluti a Phofung,39436,6777,3311,3466,1308,582,726,13543,6840,6703,17808,8819,8989,Free State
FS195,Phumelela,4533,1052,524,528,210,93,117,1185,627,558,2086,1031,1055,Free State
FS201,Moqhaka,13381,3180,1571,1609,566,259,307,4268,2184,2084,5367,2724,2643,Free State
FS203,Ngwathe,10664,2388,1193,1195,418,192,226,3460,1755,1705,4398,2216,2182,Free State
FS204,Metsimaholo,12360,3731,1804,1927,667,289,378,3856,1945,1911,4106,2063,2043,Free State
FS205,Mafube,5611,1330,693,637,214,84,130,1576,832,744,2491,1295,1196,Gauteng
GT421,Emfuleni,62510,17818,8870,8948,3068,1359,1709,19759,10229,9530,21865,11424,10441,Gauteng
GT423,Lesedi,8056,2477,1208,1269,431,191,240,2524,1293,1231,2624,1328,1296,Gauteng
GT481,Mogale City,26312,8240,4107,4133,1373,653,720,8627,4455,4172,8072,4120,3952,Gauteng
GT482,Randfontein,11357,3627,1794,1833,566,258,308,3850,1944,1906,3314,1707,1607,Gauteng
GT483,Westonaria,8258,1697,852,845,443,175,268,2733,1421,1312,3385,1732,1653,KwaZulu-Natal
KZN211,Vulamehlo,9237,1509,741,768,393,182,211,3367,1742,1625,3968,1953,2015,KwaZulu-Natal
KZN212,Umdoni,7418,1722,879,843,295,134,161,2548,1317,1231,2853,1414,1439,KwaZulu-Natal
KZN213,Umzumbe,19712,3164,1516,1648,726,329,397,6776,3404,3372,9046,4421,4625,KwaZulu-Natal
KZN214,UMuziwabantu,12464,1872,883,989,404,164,240,4488,2209,2279,5700,2936,2764,KwaZulu-Natal
KZN215,Ezingoleni,6526,1068,495,573,231,98,133,2505,1255,1250,2722,1343,1379,KwaZulu-Natal
KZN221,uMshwathi,12122,1582,742,840,396,159,237,3994,2072,1922,6150,3112,3038,KwaZulu-Natal
KZN222,uMngeni,7463,1433,734,699,314,134,180,2658,1371,1287,3058,1570,1488,KwaZulu-Natal
KZN223,Mpofana,3518,615,318,297,141,61,80,1249,578,671,1513,766,747,KwaZulu-Natal
KZN224,Impendle,4013,304,147,157,145,83,62,1130,580,550,2434,1161,1273,KwaZulu-Natal
KZN225,The Msunduzi,60738,12801,6364,6437,2638,1183,1455,20172,10300,9872,25127,12876,12251,KwaZulu-Natal
KZN226,Mkhambathini,6482,1237,600,637,259,120,139,2303,1172,1131,2683,1308,1375,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,24651,3990,1990,2000,1001,455,546,8808,4559,4249,10852,5420,5432,KwaZulu-Natal
KZN233,Indaka,13432,1753,885,868,354,145,209,5036,2533,2503,6289,3222,3067,KwaZulu-Natal
KZN234,Umtshezi,8681,1872,938,934,300,149,151,3224,1684,1540,3285,1663,1622,KwaZulu-Natal
KZN235,Okhahlamba,15630,2146,1035,1111,447,205,242,5538,2748,2790,7499,3665,3834,KwaZulu-Natal
KZN236,Imbabazane,13670,2290,1183,1107,480,211,269,4613,2378,2235,6287,3088,3199,KwaZulu-Natal
KZN242,Nqutu,21217,2843,1422,1421,703,312,391,7600,3776,3824,10071,4924,5147,KwaZulu-Natal
KZN244,Msinga,23217,2995,1512,1483,666,297,369,9795,4958,4837,9761,5072,4689,KwaZulu-Natal
KZN245,Umvoti,11954,1643,819,824,461,222,239,4424,2275,2149,5426,2800,2626,KwaZulu-Natal
KZN252,Newcastle,39864,6622,3245,3377,1631,758,873,13718,6965,6753,17893,8927,8966,KwaZulu-Natal
KZN254,Dannhauser,12482,1763,874,889,415,183,232,4109,2120,1989,6195,2928,3267,KwaZulu-Natal
KZN261,eDumbe,9633,1225,571,654,351,165,186,3247,1665,1582,4810,2295,2515,KwaZulu-Natal
KZN262,UPhongolo,15608,1835,918,917,499,226,273,5243,2711,2532,8031,3916,4115,KwaZulu-Natal
KZN263,Abaqulusi,24044,2992,1466,1526,795,343,452,7824,3902,3922,12433,6055,6378,KwaZulu-Natal
KZN265,Nongoma,25641,3202,1580,1622,870,391,479,8749,4384,4365,12820,6239,6581,KwaZulu-Natal
KZN266,Ulundi,23059,3106,1536,1570,904,452,452,8113,4069,4044,10936,5439,5497,KwaZulu-Natal
KZN272,Jozini,24079,3502,1675,1827,1011,474,537,8783,4432,4351,10783,5502,5281,KwaZulu-Natal
KZN273,The Big 5 False Bay,4213,436,193,243,140,46,94,1426,701,725,2211,1110,1101,KwaZulu-Natal
KZN274,Hlabisa,9495,1125,540,585,329,144,185,3394,1695,1699,4647,2247,2400,KwaZulu-Natal
KZN275,Mtubatuba,21034,2666,1303,1363,753,345,408,7394,3708,3686,10221,5208,5013,KwaZulu-Natal
KZN281,Mfolozi,14056,2289,1135,1154,693,292,401,4709,2359,2350,6365,3141,3224,KwaZulu-Natal
KZN283,Ntambanana,9684,1313,596,717,349,152,197,3567,1754,1813,4455,2229,2226,KwaZulu-Natal
KZN284,uMlalazi,26022,3043,1521,1522,930,454,476,9074,4609,4465,12975,6361,6614,KwaZulu-Natal
KZN285,Mthonjaneni,5390,584,280,304,205,89,116,1910,980,930,2691,1334,1357,KwaZulu-Natal
KZN286,Nkandla,14972,1692,847,845,467,196,271,5264,2686,2578,7549,3793,3756,KwaZulu-Natal
KZN291,Mandeni,15078,2489,1256,1233,718,323,395,5121,2595,2526,6750,3338,3412,KwaZulu-Natal
KZN293,Ndwedwe,17340,2549,1290,1259,748,358,390,5896,2972,2924,8147,3976,4171,KwaZulu-Natal
KZN294,Maphumulo,12945,1450,700,750,444,186,258,4592,2307,2285,6459,3321,3138,KwaZulu-Natal
KZN431,Ingwe,12221,1657,812,845,335,155,180,4386,2117,2269,5843,2887,2956,KwaZulu-Natal
KZN432,Kwa Sani,964,103,51,52,19,6,13,318,156,162,524,233,291,KwaZulu-Natal
KZN434,Ubuhlebezwe,12209,1650,765,885,355,160,195,4505,2292,2213,5699,2817,2882,KwaZulu-Natal
KZN435,Umzimkhulu,23989,2747,1304,1443,692,298,394,8269,4099,4170,12281,6380,5901,Limpopo
LIM331,Greater Giyani,32498,6207,2938,3269,874,389,485,12851,6278,6573,12566,6461,6105,Limpopo
LIM332,Greater Letaba,28322,4263,2116,2147,710,310,400,11104,5538,5566,12245,5859,6386,Limpopo
LIM333,Greater Tzaneen,43232,9166,4513,4653,1267,597,670,16554,8425,8129,16245,8048,8197,Limpopo
LIM335,Maruleng,11343,2106,1055,1051,315,143,172,4828,2423,2405,4094,1981,2113,Limpopo
LIM341,Musina,5017,855,458,397,147,69,78,1549,801,748,2466,1275,1191,Limpopo
LIM342,Mutale,12042,2511,1193,1318,424,176,248,4771,2321,2450,4336,2229,2107,Limpopo
LIM343,Thulamela,79699,17224,8304,8920,2530,1121,1409,31680,15670,16010,28265,14342,13923,Limpopo
LIM344,Makhado,62025,12731,6290,6441,2050,863,1187,23570,11873,11697,23674,11260,12414,Limpopo
LIM351,Blouberg,21723,3041,1482,1559,518,233,285,8176,4129,4047,9988,4936,5052,Limpopo
LIM353,Molemole,12876,2056,1020,1036,353,163,190,4729,2364,2365,5738,2658,3080,Limpopo
LIM354,Polokwane,63594,15166,7586,7580,2039,1002,1037,22545,11539,11006,23844,11968,11876,Limpopo
LIM355,Lepele-Nkumpi,27746,5099,2485,2614,747,366,381,10836,5350,5486,11064,5366,5698,Limpopo
