geo_code,name,total,Multidimensionally poor,Multidimensionally poor-Female,Multidimensionally poor-Female-Black African,Multidimensionally poor-Female-Coloured,Multidimensionally poor-Female-Indian or Asian,Multidimensionally poor-Female-Other,Multidimensionally poor-Female-White,Multidimensionally poor-Male,Multidimensionally poor-Male-Black African,Multidimensionally poor-Male-Coloured,Multidimensionally poor-Male-Indian or Asian,Multidimensionally poor-Male-Other,Multidimensionally poor-Male-White,Non-poor,Non-poor-Female,Non-poor-Female-Black African,Non-poor-Female-Coloured,Non-poor-Female-Indian or Asian,Non-poor-Female-Other,Non-poor-Female-White,Non-poor-Male,Non-poor-Male-Black African,Non-poor-Male-Coloured,Non-poor-Male-Indian or Asian,Non-poor-Male-Other,Non-poor-Male-White,province
ZA,South Africa,9383721,3109052,1548686,1437665,84366,8882,4080,13693,1560366,1440925,91178,9863,6080,12320,6274669,3185107,2556810,319158,84455,9744,214940,3089562,2460099,302619,90432,17485,218927,South Africa
WC044,George,30902,7626,3912,1609,2173,10,25,95,3714,1395,2204,9,36,70,23276,11847,3381,6716,61,65,1624,11429,3265,6331,58,154,1621,Western Cape
WC047,Bitou,7313,2178,1080,624,407,4,34,11,1098,586,434,1,62,15,5135,2628,1291,922,19,146,250,2507,1209,856,13,174,255,Western Cape
WC048,Knysna,10055,2873,1511,808,652,6,15,30,1362,672,650,5,16,19,7182,3665,1401,1806,14,21,423,3517,1323,1708,17,58,411,Western Cape
WC051,Laingsburg,1120,284,146,7,134,0,1,4,138,10,121,0,0,7,836,409,18,370,0,6,15,427,38,365,0,4,20,Western Cape
WC052,Prince Albert,2168,792,421,7,407,1,0,6,371,9,357,2,0,3,1376,644,18,591,0,1,34,732,21,643,5,8,55,Western Cape
WC053,Beaufort West,7713,2047,1011,176,828,1,1,5,1036,159,846,6,13,12,5666,2871,494,2185,13,8,171,2795,467,2106,12,14,196,Western Cape
MP303,Mkhondo,29872,13551,7042,6975,26,14,4,23,6509,6434,17,18,12,28,16321,8221,7800,63,77,5,276,8100,7605,51,95,27,322,Mpumalanga
MP311,Victor Khanye,13101,4059,2031,1884,32,5,4,106,2028,1905,14,13,5,91,9042,4296,3633,48,18,3,594,4746,3905,53,20,25,743,Mpumalanga
MP322,Mbombela,121222,30326,15118,14825,111,27,18,137,15208,15002,78,36,17,75,90896,47225,43830,558,239,39,2559,43671,40326,478,288,71,2508,North West
NW373,Rustenburg,86047,23854,11725,11287,59,42,50,287,12129,11758,65,46,69,191,62193,29793,26503,285,232,73,2700,32400,28620,318,315,166,2981,North West
NW384,Ditsobotla,28880,13285,6739,6551,102,7,4,75,6546,6360,108,15,14,49,15595,7715,6759,212,36,10,698,7880,6797,168,80,40,795,North West
NW396,Lekwa-Teemane,9387,3674,1832,1634,150,1,5,42,1842,1663,145,1,2,31,5713,2788,2319,202,5,6,256,2925,2394,240,25,22,244,Northern Cape
NC062,Nama Khoi,7333,1885,837,13,811,2,5,6,1048,25,998,3,9,13,5448,2770,63,2573,16,7,111,2678,101,2401,12,35,129,Northern Cape
NC071,Ubuntu,2937,988,525,93,424,2,1,5,463,102,357,1,2,1,1949,938,240,658,2,6,32,1011,231,723,4,10,43,Northern Cape
NC077,Siyathemba,3418,1219,631,93,534,2,1,1,588,103,475,6,0,4,2199,1079,238,764,1,2,74,1120,221,801,8,14,76,Northern Cape
NC085,Tsantsabane,6238,1934,958,540,406,1,1,10,976,574,378,5,6,13,4304,1993,1005,840,1,7,140,2311,1157,931,21,28,174,Northern Cape
NC094,Phokwane,11183,4026,2077,1813,238,3,9,14,1949,1743,181,3,8,14,7157,3551,2941,415,3,3,189,3606,2944,412,24,26,200,Western Cape
WC012,Cederberg,7745,1803,862,217,629,5,0,11,941,221,709,1,2,8,5942,2990,294,2486,4,2,204,2952,298,2393,14,19,228,Western Cape
WC024,Stellenbosch,28372,5745,2824,1563,1100,4,6,151,2921,1562,1184,2,22,151,22627,11392,2869,6106,31,48,2338,11235,2624,5990,44,124,2453,Western Cape
WC033,Cape Agulhas,5028,1250,657,157,469,2,12,17,593,160,403,0,16,14,3778,1942,178,1506,7,10,241,1836,189,1340,8,13,286,Western Cape
WC045,Oudtshoorn,15876,4948,2420,189,2204,4,7,16,2528,195,2291,14,8,20,10928,5560,515,4581,12,29,423,5368,489,4328,18,49,484,Eastern Cape
EC102,Blue Crane Route,5700,2135,1101,741,347,0,10,3,1034,669,341,5,10,9,3565,1780,1029,647,5,8,91,1785,1045,625,4,21,90,Eastern Cape
EC103,Ikwezi,1603,512,263,88,175,0,0,0,249,91,152,0,5,1,1091,566,219,311,0,0,36,525,232,251,2,9,31,Eastern Cape
EC104,Makana,13244,4027,1990,1743,215,3,5,24,2037,1763,228,5,6,35,9217,4784,3551,667,21,19,526,4433,3277,562,24,61,509,Eastern Cape
EC106,Sundays River Valley,9122,3862,1856,1423,420,2,4,7,2006,1519,450,3,24,10,5260,2427,1729,565,2,22,109,2833,2021,630,5,59,118,Eastern Cape
EC107,Baviaans,2750,1111,560,60,498,1,0,1,551,51,498,1,1,0,1639,778,87,664,3,3,21,861,91,725,0,15,30,Eastern Cape
EC108,Kouga,15106,4946,2589,1243,1287,10,11,38,2357,1167,1125,2,29,34,10160,4998,1882,2487,15,12,602,5162,1913,2512,9,102,626,Eastern Cape
EC109,Kou-Kamma,6512,2069,1053,373,664,2,3,11,1016,405,588,3,11,9,4443,2111,605,1330,5,21,150,2332,770,1352,12,73,125,Eastern Cape
EC121,Mbhashe,51608,36171,17520,17485,15,12,6,2,18651,18576,14,19,31,11,15437,8052,8023,13,8,5,3,7385,7331,4,13,33,4,Eastern Cape
EC123,Great Kei,6021,2922,1308,1289,13,1,0,5,1614,1588,19,0,0,7,3099,1485,1380,20,2,3,80,1614,1502,21,3,1,87,Eastern Cape
EC124,Amahlathi,21800,11205,4991,4932,44,9,3,3,6214,6136,54,2,14,8,10595,5309,5149,89,0,1,70,5286,5076,90,5,26,89,Eastern Cape
EC126,Ngqushwa,11026,5084,2296,2291,3,1,0,1,2788,2766,7,1,11,3,5942,2875,2857,7,5,1,5,3067,3047,3,7,5,5,Eastern Cape
EC127,Nkonkobe,20527,9417,4273,4025,238,3,5,2,5144,4869,246,10,14,5,11110,5389,5112,218,8,9,42,5721,5424,198,9,29,61,Eastern Cape
EC131,Inxuba Yethemba,10703,3637,1823,1162,631,4,6,20,1814,1181,590,7,20,16,7066,3527,1882,1236,15,24,370,3539,1900,1258,12,37,332,Eastern Cape
EC132,Tsolwana,6137,2889,1376,1272,100,0,1,3,1513,1404,100,2,4,3,3248,1634,1540,67,2,0,25,1614,1513,60,8,8,25,Eastern Cape
EC133,Inkwanca,3945,1642,787,746,34,2,3,2,855,798,51,0,4,2,2303,1153,1060,43,1,1,48,1150,1064,36,1,10,39,Eastern Cape
EC134,Lukanji,35204,11946,5532,5380,116,9,15,12,6414,6176,181,10,28,19,23258,11916,11147,484,45,26,214,11342,10529,451,51,75,236,Eastern Cape
EC136,Emalahleni,21599,11891,5311,5279,21,1,8,2,6580,6514,28,8,24,6,9708,4834,4782,26,3,5,18,4874,4776,31,24,26,17,Eastern Cape
EC137,Engcobo,27838,20214,9838,9816,6,5,5,6,10376,10341,4,3,20,8,7624,3982,3971,4,1,4,2,3642,3594,10,16,16,6,Eastern Cape
EC138,Sakhisizwe,11733,5867,2596,2567,25,0,0,4,3271,3238,21,1,10,1,5866,2990,2939,19,6,1,25,2876,2823,13,11,10,19,Eastern Cape
EC141,Elundini,26661,17803,8167,8096,59,0,6,6,9636,9523,72,9,23,9,8858,4454,4343,70,0,4,37,4404,4279,54,9,20,42,Eastern Cape
EC142,Senqu,26743,13401,6543,6473,49,5,14,2,6858,6764,70,9,13,2,13342,6713,6566,97,10,7,33,6629,6459,87,28,14,41,Eastern Cape
EC143,Maletswai,7616,2773,1439,1329,103,0,1,6,1334,1221,97,3,3,10,4843,2486,2167,196,5,4,114,2357,2026,172,10,17,132,Eastern Cape
EC153,Ngquza Hill,56272,38369,18736,18630,67,17,11,11,19633,19483,78,35,28,9,17903,9285,9166,97,11,5,6,8618,8464,108,14,27,5,Eastern Cape
EC154,Port St Johns,31965,22030,10815,10771,31,8,3,2,11215,11146,45,11,6,7,9935,5339,5280,47,3,1,8,4596,4546,35,6,1,8,Eastern Cape
EC155,Nyandeni,63280,40384,19469,19367,58,24,9,11,20915,20799,60,28,20,8,22896,12075,11979,58,17,14,7,10821,10737,58,15,5,6,Eastern Cape
EC156,Mhlontlo,38723,23925,11189,11133,34,10,6,6,12736,12684,29,10,4,9,14798,7487,7426,19,12,1,29,7311,7234,27,11,24,15,Eastern Cape
EC441,Matatiele,36343,23538,11154,11084,42,10,4,14,12384,12318,34,16,6,10,12805,6583,6400,99,18,6,60,6222,6002,127,34,13,46,Eastern Cape
EC442,Umzimvubu,36555,24334,11776,11724,38,8,4,2,12558,12474,52,3,20,9,12221,6369,6330,29,7,0,3,5852,5813,22,6,11,0,Eastern Cape
EC443,Mbizana,51264,34566,17435,17376,31,16,6,6,17131,17068,34,18,5,6,16698,8796,8750,30,5,3,8,7902,7844,28,13,12,5,Eastern Cape
EC444,Ntabankulu,24057,19594,9786,9753,26,3,1,3,9808,9762,20,12,9,5,4463,2426,2381,44,0,0,1,2037,1980,43,8,3,3,Free State
FS161,Letsemeng,6661,2420,1304,978,311,1,1,13,1116,818,286,1,4,7,4241,2011,1391,513,2,2,103,2230,1566,510,10,19,125,Free State
FS162,Kopanong,8195,2797,1462,1085,355,2,2,18,1335,1015,302,4,2,12,5398,2674,2045,468,8,7,146,2724,2062,493,14,20,135,Free State
FS163,Mohokare,6337,2678,1388,1345,37,0,0,6,1290,1262,23,0,1,4,3659,1824,1731,35,1,0,57,1835,1669,48,11,6,101,Free State
FS181,Masilonyana,10431,3747,1970,1924,21,1,2,22,1777,1734,18,2,3,20,6684,3402,3201,26,1,4,170,3282,3051,45,18,14,154,Free State
FS182,Tokologo,4877,2230,1179,1111,54,1,6,7,1051,968,65,1,2,15,2647,1303,1150,52,1,2,98,1344,1171,52,15,8,98,Free State
FS183,Tswelopele,8463,3233,1710,1683,17,3,0,7,1523,1490,18,3,1,11,5230,2605,2435,35,1,0,134,2625,2411,42,24,5,143,Free State
FS184,Matjhabeng,73271,21536,11095,10686,164,11,7,227,10441,10019,215,18,23,166,51735,26097,23443,635,47,26,1946,25638,22837,591,134,67,2009,Free State
FS185,Nala,14591,5583,2942,2903,14,2,7,16,2641,2608,12,2,7,12,9008,4572,4394,34,4,2,138,4436,4186,29,22,22,177,Free State
FS192,Dihlabeng,21903,7367,3885,3822,29,5,1,28,3482,3412,41,3,5,21,14536,7392,6579,148,26,8,631,7144,6405,135,34,19,551,Free State
FS193,Nketoana,11238,4361,2236,2206,2,6,2,20,2125,2105,5,1,4,10,6877,3439,3234,9,4,4,188,3438,3192,17,14,9,206,Free State
FS194,Maluti a Phofung,72131,22866,11474,11425,16,6,7,20,11392,11344,17,5,9,17,49265,25361,25105,45,32,14,165,23904,23582,43,59,18,202,Free State
FS195,Phumelela,8770,3537,1847,1812,6,0,1,28,1690,1668,6,1,3,12,5233,2603,2453,10,1,6,133,2630,2438,10,29,24,129,Free State
FS201,Moqhaka,25980,7390,3884,3771,56,2,6,49,3506,3355,77,3,12,59,18590,9214,8290,280,19,13,612,9376,8339,297,31,40,669,Free State
FS203,Ngwathe,20774,6695,3434,3286,80,7,3,58,3261,3130,68,12,8,43,14079,7112,6375,215,11,4,507,6967,6200,211,37,40,479,Free State
FS204,Metsimaholo,25332,6743,3490,3338,16,1,2,133,3253,3140,20,2,12,79,18589,9021,7681,56,23,11,1250,9568,8182,51,42,38,1255,Free State
FS205,Mafube,10473,3450,1781,1736,15,3,1,26,1669,1634,8,0,3,24,7023,3566,3396,15,3,4,148,3457,3241,13,18,11,174,Gauteng
GT421,Emfuleni,131020,26670,13327,12658,161,43,26,439,13343,12717,147,44,49,386,104350,52735,47095,648,384,76,4532,51615,45597,599,507,207,4705,Gauteng
GT423,Lesedi,16502,4222,2187,2047,25,5,5,105,2035,1914,17,10,7,87,12280,6032,4946,52,63,4,967,6248,5004,73,92,28,1051,Gauteng
GT481,Mogale City,56923,13147,6563,6156,53,66,22,266,6584,6175,37,47,48,277,43776,21600,17445,163,441,35,3516,22176,17740,151,479,75,3731,Gauteng
GT482,Randfontein,23431,5447,2777,2283,257,5,16,216,2670,2221,292,7,13,137,17984,8951,6290,1068,22,18,1553,9033,6270,997,46,20,1700,Gauteng
GT483,Westonaria,19054,7628,3880,3777,8,3,20,72,3748,3629,19,6,38,56,11426,5502,5014,54,14,3,417,5924,5334,47,33,17,493,KwaZulu-Natal
KZN211,Vulamehlo,15690,10491,5404,5390,2,8,1,3,5087,5073,3,5,3,3,5199,2534,2511,5,15,0,3,2665,2645,4,15,0,1,KwaZulu-Natal
KZN212,Umdoni,14331,5424,2730,2593,14,101,3,19,2694,2552,18,102,2,20,8907,4520,3523,51,772,11,163,4387,3338,47,810,13,179,KwaZulu-Natal
KZN213,Umzumbe,33074,20008,9888,9849,10,12,11,6,10120,10086,8,12,10,4,13066,6526,6505,6,8,1,6,6540,6514,9,3,8,6,KwaZulu-Natal
