geo_code,name,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,Northern Cape,North West,Outside South Africa,Unspecified,Western Cape,province
ZA,South Africa,9878844,1560882,544923,1399992,2091094,1340637,802180,223361,608425,384807,140165,782378,South Africa
WC044,George,32609,5389,393,1183,236,135,194,319,116,481,512,23651,Western Cape
WC047,Bitou,7553,2510,78,297,97,36,45,62,22,205,60,4141,Western Cape
WC048,Knysna,10603,2240,84,365,95,34,41,60,20,396,102,7166,Western Cape
WC051,Laingsburg,1177,12,7,6,9,4,5,40,4,11,33,1046,Western Cape
WC052,Prince Albert,2227,60,5,24,1,6,11,18,3,13,22,2064,Western Cape
WC053,Beaufort West,8126,295,32,74,39,11,28,229,8,50,117,7243,Western Cape
MP303,Mkhondo,30506,200,53,497,1768,135,26564,105,104,491,547,42,Mpumalanga
MP311,Victor Khanye,13527,373,206,1418,341,414,9579,153,152,610,209,72,Mpumalanga
MP322,Mbombela,124454,1254,406,2865,1799,1554,108314,685,472,5002,1724,379,North West
NW373,Rustenburg,94706,7753,2183,4772,1291,2747,1754,1308,63060,8270,1204,364,North West
NW384,Ditsobotla,29710,79,210,611,155,97,119,140,27512,489,262,36,North West
NW396,Lekwa-Teemane,9565,29,1338,388,64,35,33,321,7120,109,81,47,Northern Cape
NC062,Nama Khoi,7483,91,23,32,33,4,17,6615,16,90,93,469,Northern Cape
NC071,Ubuntu,3080,124,24,30,39,16,16,2564,4,43,10,210,Northern Cape
NC077,Siyathemba,3468,61,41,109,20,5,12,3034,30,46,15,95,Northern Cape
NC085,Tsantsabane,6419,117,130,138,56,51,20,5447,245,87,46,82,Northern Cape
NC094,Phokwane,11407,90,220,305,58,25,41,8638,1708,133,127,62,Western Cape
WC012,Cederberg,8035,494,56,72,11,13,12,181,29,258,114,6795,Western Cape
WC024,Stellenbosch,32242,5442,395,1743,548,141,233,424,115,1109,516,21576,Western Cape
WC033,Cape Agulhas,5238,394,33,91,32,21,12,32,18,154,86,4365,Western Cape
WC045,Oudtshoorn,16351,270,73,145,33,18,54,72,31,94,147,15414,Eastern Cape
EC102,Blue Crane Route,5855,5482,17,59,13,7,9,33,7,43,84,101,Eastern Cape
EC103,Ikwezi,1662,1552,4,11,1,0,8,7,0,23,8,48,Eastern Cape
EC104,Makana,13741,12095,43,405,268,32,52,45,25,388,159,229,Eastern Cape
EC106,Sundays River Valley,9362,8620,57,51,38,17,23,25,9,346,77,99,Eastern Cape
EC107,Baviaans,2792,2236,4,19,1,2,1,16,0,16,30,467,Eastern Cape
EC108,Kouga,15700,13908,183,408,128,46,63,104,42,294,185,339,Eastern Cape
EC109,Kou-Kamma,6664,5846,70,66,18,16,27,27,21,189,72,312,Eastern Cape
EC121,Mbhashe,52643,49971,60,613,70,41,113,121,57,187,614,796,Eastern Cape
EC123,Great Kei,6658,6335,8,63,9,3,7,18,2,13,170,30,Eastern Cape
EC124,Amahlathi,22057,20714,44,330,43,19,42,66,22,98,146,533,Eastern Cape
EC126,Ngqushwa,11949,11384,23,120,23,12,44,35,5,49,129,125,Eastern Cape
EC127,Nkonkobe,20917,19401,37,267,62,18,51,79,11,202,277,512,Eastern Cape
EC131,Inxuba Yethemba,10963,10059,84,175,30,15,37,99,27,90,91,256,Eastern Cape
EC132,Tsolwana,6260,5733,29,154,9,10,10,10,3,74,94,134,Eastern Cape
EC133,Inkwanca,4119,3794,34,103,7,3,15,9,11,33,36,74,Eastern Cape
EC134,Lukanji,36380,32744,131,998,127,46,121,173,51,556,314,1119,Eastern Cape
EC136,Emalahleni,22254,19962,83,795,36,22,32,41,18,206,169,890,Eastern Cape
EC137,Engcobo,29888,27803,61,484,32,19,56,76,20,144,608,585,Eastern Cape
EC138,Sakhisizwe,12642,11534,56,223,24,15,29,46,19,116,239,341,Eastern Cape
EC141,Elundini,28401,26495,57,398,169,28,61,51,22,330,339,451,Eastern Cape
EC142,Senqu,27343,24394,234,720,38,32,79,73,34,1155,266,318,Eastern Cape
EC143,Maletswai,8095,7257,232,212,23,10,13,42,17,112,66,111,Eastern Cape
EC153,Ngquza Hill,59421,56909,52,332,512,45,92,110,27,172,985,185,Eastern Cape
EC154,Port St Johns,34389,33352,19,140,120,15,50,59,17,23,476,118,Eastern Cape
EC155,Nyandeni,64647,62789,38,268,142,48,89,117,34,140,725,257,Eastern Cape
EC156,Mhlontlo,40276,38477,24,244,90,28,88,79,27,115,826,278,Eastern Cape
EC441,Matatiele,40972,35969,112,913,1365,44,81,132,37,986,1007,326,Eastern Cape
EC442,Umzimvubu,39660,36935,51,617,403,43,82,99,32,155,937,306,Eastern Cape
EC443,Mbizana,60201,56770,69,346,1165,58,134,146,29,94,1184,206,Eastern Cape
EC444,Ntabankulu,26569,25554,27,187,123,16,59,60,9,45,408,81,Free State
