geo_code,name,total,Other,Rest of Africa,SADC,South Africa,Unspecified,province
ZA,South Africa,9738677,23177,29035,296391,9353871,36203,South Africa
WC044,George,32098,91,139,162,31617,89,Western Cape
WC047,Bitou,7493,21,29,138,7288,17,Western Cape
WC048,Knysna,10501,46,67,239,10105,44,Western Cape
WC051,Laingsburg,1143,6,1,3,1133,0,Western Cape
WC052,Prince Albert,2205,1,6,6,2192,0,Western Cape
WC053,Beaufort West,8010,6,17,23,7960,4,Western Cape
MP303,Mkhondo,29959,35,45,360,29468,51,Mpumalanga
MP311,Victor Khanye,13318,22,31,484,12709,72,Mpumalanga
MP322,Mbombela,122730,229,157,4012,117728,604,North West
NW373,Rustenburg,93502,264,364,6718,85232,924,North West
NW384,Ditsobotla,29446,86,44,297,28958,61,North West
NW396,Lekwa-Teemane,9484,51,24,29,9376,4,Northern Cape
NC062,Nama Khoi,7391,9,10,47,7300,25,Northern Cape
NC071,Ubuntu,3070,6,1,35,3027,1,Northern Cape
NC077,Siyathemba,3454,23,1,18,3408,4,Northern Cape
NC085,Tsantsabane,6374,23,27,26,6286,12,Northern Cape
NC094,Phokwane,11280,43,47,31,11147,12,Western Cape
WC012,Cederberg,7923,10,11,220,7665,17,Western Cape
WC024,Stellenbosch,31724,165,153,587,30616,203,Western Cape
WC033,Cape Agulhas,5154,10,22,113,4999,10,Western Cape
WC045,Oudtshoorn,16205,25,29,32,16111,8,Eastern Cape
EC102,Blue Crane Route,5772,24,6,7,5729,6,Eastern Cape
EC103,Ikwezi,1654,9,10,3,1631,1,Eastern Cape
EC104,Makana,13583,75,28,239,13195,46,Eastern Cape
EC106,Sundays River Valley,9284,8,34,284,8938,20,Eastern Cape
EC107,Baviaans,2763,10,3,3,2747,0,Eastern Cape
EC108,Kouga,15513,36,67,151,15220,39,Eastern Cape
EC109,Kou-Kamma,6593,18,21,127,6404,23,Eastern Cape
EC121,Mbhashe,52028,49,62,50,51842,25,Eastern Cape
EC123,Great Kei,6491,5,5,0,6477,4,Eastern Cape
EC124,Amahlathi,21911,8,55,26,21814,8,Eastern Cape
EC126,Ngqushwa,11819,8,18,19,11771,3,Eastern Cape
EC127,Nkonkobe,20640,33,81,62,20438,26,Eastern Cape
EC131,Inxuba Yethemba,10874,18,10,51,10783,12,Eastern Cape
EC132,Tsolwana,6167,8,14,45,6093,7,Eastern Cape
EC133,Inkwanca,4082,6,10,14,4048,4,Eastern Cape
EC134,Lukanji,36066,112,166,228,35509,51,Eastern Cape
EC136,Emalahleni,22085,40,47,103,21879,16,Eastern Cape
EC137,Engcobo,29280,25,37,63,29136,19,Eastern Cape
EC138,Sakhisizwe,12402,17,26,55,12286,18,Eastern Cape
EC141,Elundini,28061,41,35,228,27732,25,Eastern Cape
EC142,Senqu,27080,48,23,971,25924,114,Eastern Cape
EC143,Maletswai,8031,23,20,64,7918,6,Eastern Cape
EC153,Ngquza Hill,58436,34,43,63,58264,32,Eastern Cape
EC154,Port St Johns,33912,2,7,7,33889,7,Eastern Cape
EC155,Nyandeni,63922,18,30,85,63782,7,Eastern Cape
EC156,Mhlontlo,39450,26,26,50,39335,13,Eastern Cape
EC441,Matatiele,39967,55,13,801,38980,118,Eastern Cape
EC442,Umzimvubu,38724,22,49,63,38568,22,Eastern Cape
EC443,Mbizana,59017,11,45,28,58923,10,Eastern Cape
EC444,Ntabankulu,26160,14,13,11,26115,7,Free State
FS161,Letsemeng,6686,15,20,23,6626,2,Free State
FS162,Kopanong,8341,31,12,56,8227,15,Free State
FS163,Mohokare,6390,9,13,93,6259,16,Free State
FS181,Masilonyana,10809,40,10,111,10638,10,Free State
FS182,Tokologo,4936,30,1,36,4867,2,Free State
FS183,Tswelopele,8805,29,7,29,8728,12,Free State
FS184,Matjhabeng,75217,153,77,2777,71892,318,Free State
FS185,Nala,14753,32,44,61,14595,21,Free State
FS192,Dihlabeng,22249,45,31,232,21908,33,Free State
FS193,Nketoana,11297,22,11,52,11203,9,Free State
FS194,Maluti a Phofung,72258,37,45,449,71656,71,Free State
FS195,Phumelela,8860,39,19,58,8734,10,Free State
FS201,Moqhaka,26143,61,48,224,25784,26,Free State
FS203,Ngwathe,20968,81,29,194,20623,41,Free State
FS204,Metsimaholo,26348,24,66,481,25701,76,Free State
FS205,Mafube,10681,29,22,45,10581,4,Gauteng
GT421,Emfuleni,136037,257,522,4003,130700,555,Gauteng
GT423,Lesedi,16798,37,34,573,16092,62,Gauteng
GT481,Mogale City,60499,156,136,4425,55378,404,Gauteng
GT482,Randfontein,25037,42,49,1052,23822,72,Gauteng
GT483,Westonaria,19937,41,48,2352,17300,196,KwaZulu-Natal
KZN211,Vulamehlo,15521,0,0,3,15518,0,KwaZulu-Natal
KZN212,Umdoni,14549,12,3,28,14494,12,KwaZulu-Natal
KZN213,Umzumbe,32883,3,16,26,32834,4,KwaZulu-Natal
KZN214,UMuziwabantu,20174,9,2,24,20123,16,KwaZulu-Natal
KZN215,Ezingoleni,10758,3,3,9,10739,4,KwaZulu-Natal
KZN221,uMshwathi,21762,15,7,177,21511,52,KwaZulu-Natal
KZN222,uMngeni,15510,26,14,596,14820,54,KwaZulu-Natal
KZN223,Mpofana,7140,5,0,71,7053,11,KwaZulu-Natal
KZN224,Impendle,6715,2,0,17,6695,1,KwaZulu-Natal
KZN225,The Msunduzi,122158,114,138,1572,120011,323,KwaZulu-Natal
KZN226,Mkhambathini,12455,5,1,107,12312,30,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,45462,47,42,286,45055,32,KwaZulu-Natal
KZN233,Indaka,21489,7,5,3,21473,1,KwaZulu-Natal
KZN234,Umtshezi,15772,10,13,84,15659,6,KwaZulu-Natal
KZN235,Okhahlamba,25765,22,16,108,25607,12,KwaZulu-Natal
KZN236,Imbabazane,23259,2,6,16,23228,7,KwaZulu-Natal
KZN242,Nqutu,34513,17,17,38,34430,11,KwaZulu-Natal
KZN244,Msinga,35291,6,12,17,35248,8,KwaZulu-Natal
KZN245,Umvoti,20365,61,9,63,20220,12,KwaZulu-Natal
KZN252,Newcastle,74080,160,71,428,73340,81,KwaZulu-Natal
KZN254,Dannhauser,21389,13,7,32,21327,10,KwaZulu-Natal
KZN261,eDumbe,16779,19,11,104,16603,42,KwaZulu-Natal
KZN262,UPhongolo,27596,15,10,570,26909,92,KwaZulu-Natal
KZN263,Abaqulusi,41552,43,22,135,41311,41,KwaZulu-Natal
KZN265,Nongoma,42158,8,16,58,42059,17,KwaZulu-Natal
KZN266,Ulundi,38966,7,15,61,38856,27,KwaZulu-Natal
KZN272,Jozini,40534,26,9,224,40223,52,KwaZulu-Natal
KZN273,The Big 5 False Bay,7139,8,6,14,7107,4,KwaZulu-Natal
KZN274,Hlabisa,15719,0,4,19,15688,8,KwaZulu-Natal
KZN275,Mtubatuba,36120,6,11,208,35842,53,KwaZulu-Natal
KZN281,Mfolozi,25481,2,7,94,25348,30,KwaZulu-Natal
KZN283,Ntambanana,16037,0,0,24,16007,6,KwaZulu-Natal
KZN284,uMlalazi,44045,11,17,199,43781,37,KwaZulu-Natal
KZN285,Mthonjaneni,9535,5,0,67,9450,13,KwaZulu-Natal
KZN286,Nkandla,23871,1,7,13,23839,11,KwaZulu-Natal
KZN291,Mandeni,28247,13,1,322,27853,58,KwaZulu-Natal
KZN293,Ndwedwe,28577,2,9,45,28503,18,KwaZulu-Natal
KZN294,Maphumulo,20262,0,1,8,20252,1,KwaZulu-Natal
KZN431,Ingwe,20533,11,7,62,20442,11,KwaZulu-Natal
KZN432,Kwa Sani,2225,2,0,14,2206,3,KwaZulu-Natal
KZN434,Ubuhlebezwe,20463,9,6,37,20398,13,KwaZulu-Natal
KZN435,Umzimkhulu,38725,21,23,41,38632,8,Limpopo
LIM331,Greater Giyani,56945,84,64,1057,55641,99,Limpopo
LIM332,Greater Letaba,49227,17,62,1599,47459,90,Limpopo
LIM333,Greater Tzaneen,81840,148,150,1792,79583,167,Limpopo
LIM335,Maruleng,20333,29,32,226,20026,20,Limpopo
LIM341,Musina,12668,44,58,3963,8340,263,Limpopo
LIM342,Mutale,20160,5,30,354,19730,41,Limpopo
LIM343,Thulamela,139984,282,186,3651,135537,328,Limpopo
LIM344,Makhado,108372,125,190,3212,104568,277,Limpopo
LIM351,Blouberg,36017,12,62,688,35181,74,Limpopo
LIM353,Molemole,22183,21,35,888,21182,57,Limpopo
LIM354,Polokwane,129691,183,214,4322,124658,314,Limpopo
LIM355,Lepele-Nkumpi,46981,27,47,631,46225,51,Limpopo
LIM361,Thabazimbi,12791,16,55,1003,11601,116,Limpopo
LIM362,Lephalale,22116,15,79,1309,20642,71,Limpopo
LIM365,Modimolle,12249,16,51,680,11459,43,Limpopo
LIM366,Bela-Bela,11121,18,35,605,10430,33,Eastern Cape
BUF,Buffalo City,134176,190,520,683,132613,170,Eastern Cape
EC101,Camdeboo,8202,19,4,3,8172,4,Eastern Cape
EC105,Ndlambe,9369,14,57,67,9204,27,Eastern Cape
EC122,Mnquma,48419,28,52,88,48243,8,Eastern Cape
EC128,Nxuba,3852,13,20,15,3801,3,Eastern Cape
EC135,Intsika Yethu,26116,32,76,89,25899,20,Eastern Cape
EC144,Gariep,5731,22,16,23,5664,6,Eastern Cape
EC157,King Sabata Dalindyebo,98254,143,158,329,97549,75,Eastern Cape
NMA,Nelson Mandela Bay,204790,512,1195,1911,200746,426,Eastern Cape
FS164,Naledi,4756,12,9,116,4610,9,Free State
FS191,Setsoto,21217,37,32,434,20665,49,Free State
FS196,Mantsopa,9574,33,14,274,9225,28,Free State
MAN,Mangaung,145301,363,200,3610,140581,547,Free State
EKU,Ekurhuleni,556805,1728,1843,34989,514273,3972,Gauteng
GT422,Midvaal,14763,24,21,1232,13369,117,Gauteng
GT484,Merafong City,32855,57,93,2289,30149,267,Gauteng
JHB,City of Johannesburg,756574,4347,4927,81751,657251,8298,Gauteng
TSH,City of Tshwane,517019,2016,2903,29708,479091,3301,Gauteng
ETH,eThekwini,680626,1024,1285,8292,668233,1792,KwaZulu-Natal
KZN216,Hibiscus Coast,48206,90,52,120,47887,57,KwaZulu-Natal
KZN227,Richmond,12400,9,10,183,12175,23,KwaZulu-Natal
KZN241,Endumeni,12408,24,17,53,12308,6,KwaZulu-Natal
KZN253,Emadlangeni,6354,2,0,37,6312,3,KwaZulu-Natal
KZN271,Umhlabuyalingana,32784,5,21,143,32586,29,KwaZulu-Natal
KZN282,uMhlathuze,67465,55,49,686,66516,159,KwaZulu-Natal
KZN292,KwaDukuza,44848,49,31,1708,42847,213,KwaZulu-Natal
KZN433,Greater Kokstad,13244,28,11,92,13105,8,KwaZulu-Natal
LIM334,Ba-Phalaborwa,29768,29,60,819,28820,40,KwaZulu-Natal
LIM352,Aganang,27308,29,11,230,27010,28,Limpopo
LIM364,Mookgopong,6024,9,21,895,5064,35,Limpopo
LIM367,Mogalakwena,63486,142,92,951,62214,87,Limpopo
LIM471,Ephraim Mogale,25021,28,19,1512,23349,113,Limpopo
LIM472,Elias Motsoaledi,51750,85,40,1224,50294,107,Limpopo
LIM473,Makhuduthamaga,55695,59,48,261,55304,23,Limpopo
LIM474,Fetakgomo,18940,6,29,132,18764,9,Limpopo
LIM475,Greater Tubatse,70216,25,70,795,69239,87,Limpopo
MP301,Albert Luthuli,41224,85,105,825,40110,99,Limpopo
MP302,Msukaligwa,28324,54,78,335,27801,56,Mpumalanga
MP304,Pixley Ka Seme,15692,45,11,80,15541,15,Mpumalanga
MP305,Lekwa,20603,44,31,211,20271,46,Mpumalanga
MP306,Dipaleseng,7799,5,7,70,7698,19,Mpumalanga
MP307,Govan Mbeki,55330,90,212,1440,53291,297,Mpumalanga
MP312,Emalahleni,74006,174,273,2806,70381,372,Mpumalanga
MP313,Steve Tshwete,40447,119,75,1317,38705,231,Mpumalanga
MP314,Emakhazeni,8297,13,8,224,8032,20,Mpumalanga
MP315,Thembisile,63839,139,75,746,62766,113,Mpumalanga
MP316,Dr JS Moroka,51289,98,56,451,50629,55,Mpumalanga
MP321,Thaba Chweu,16404,19,24,610,15660,91,Mpumalanga
MP323,Umjindi,11877,20,24,729,11005,99,Mpumalanga
MP324,Nkomazi,90363,197,152,6603,82686,725,Mpumalanga
MP325,Bushbuckridge,124536,102,109,755,123507,63,Mpumalanga
NW371,Moretele,34799,53,22,464,34215,45,Mpumalanga
NW372,Madibeng,85064,215,241,9142,74729,737,North West
NW374,Kgetlengrivier,8696,8,12,281,8347,48,North West
NW375,Moses Kotane,41836,132,67,776,40744,117,North West
NW381,Ratlou,19478,65,3,40,19362,8,North West
NW382,Tswaing,23095,55,30,33,22959,18,North West
NW383,Mafikeng,57353,186,77,796,56176,118,North West
NW385,Ramotshere Moiloa,25860,94,38,339,25345,44,North West
NW392,Naledi,11686,28,38,69,11533,18,North West
NW393,Mamusa,11007,26,28,22,10914,17,North West
NW394,Greater Taung,33085,69,43,73,32879,21,North West
