geo_code,name,total,Collective living quarters,Commercial,Farms,Formal residential,Industrial,Informal residential,Parks and recreation,Small holdings,Traditional residential,Vacant,province
ZA,South Africa,10378023,171906,71243,379316,5479644,32310,607285,5151,74987,3544142,12039,South Africa
WC044,George,33718,404,186,3473,27629,25,1314,281,393,0,13,Western Cape
WC047,Bitou,7906,37,4,532,6409,0,783,0,137,0,4,Western Cape
WC048,Knysna,10968,73,86,698,8994,32,1062,9,0,0,14,Western Cape
WC051,Laingsburg,1238,0,0,286,924,0,0,0,0,0,28,Western Cape
WC052,Prince Albert,2271,0,0,452,1805,0,0,0,6,0,8,Western Cape
WC053,Beaufort West,8322,7,0,967,7281,2,0,14,0,0,51,Western Cape
MP303,Mkhondo,37384,130,92,13537,12743,19,2602,3,0,8258,0,Mpumalanga
MP311,Victor Khanye,14410,0,129,2264,9863,62,615,0,1392,0,85,Mpumalanga
MP322,Mbombela,126444,751,447,4087,31867,47,3549,113,1368,84083,132,North West
NW373,Rustenburg,98581,778,200,1377,55570,680,7099,20,3397,29387,73,North West
NW384,Ditsobotla,30567,78,50,6712,14643,47,973,0,6,8049,9,North West
NW396,Lekwa-Teemane,9884,0,30,739,7046,10,2054,4,0,0,1,Northern Cape
NC062,Nama Khoi,8059,0,49,490,7490,3,0,4,0,0,23,Northern Cape
NC071,Ubuntu,3246,0,10,643,2450,79,57,0,0,0,7,Northern Cape
NC077,Siyathemba,3658,0,0,466,3146,2,0,0,32,0,12,Northern Cape
NC085,Tsantsabane,6778,20,0,499,5890,38,297,34,0,0,0,Northern Cape
NC094,Phokwane,11752,0,0,464,10145,0,710,0,336,90,7,Western Cape
WC012,Cederberg,8627,13,13,4263,3962,27,160,0,0,0,189,Western Cape
WC024,Stellenbosch,38383,3645,487,5126,23323,34,4288,0,1447,0,33,Western Cape
WC033,Cape Agulhas,5360,66,0,997,3619,21,433,9,213,0,2,Western Cape
WC045,Oudtshoorn,17381,378,221,2993,13359,53,173,0,120,0,84,Eastern Cape
EC102,Blue Crane Route,6033,0,64,1175,4426,0,315,2,15,0,36,Eastern Cape
EC103,Ikwezi,1709,0,0,287,1407,3,1,3,7,0,1,Eastern Cape
EC104,Makana,17650,2791,0,1332,12633,0,866,19,0,0,9,Eastern Cape
EC106,Sundays River Valley,9904,0,118,2854,6307,0,620,0,0,0,5,Eastern Cape
EC107,Baviaans,2903,0,0,803,2089,8,0,0,0,0,3,Eastern Cape
EC108,Kouga,16311,33,96,2526,12515,52,1069,0,0,0,20,Eastern Cape
EC109,Kou-Kamma,6848,0,20,1886,4562,15,78,74,213,0,0,Eastern Cape
EC121,Mbhashe,56839,226,767,0,4900,0,283,11,0,50582,70,Eastern Cape
EC123,Great Kei,7205,0,0,1377,1851,0,315,23,15,3623,1,Eastern Cape
EC124,Amahlathi,23321,518,0,1068,7593,6,263,5,60,13766,42,Eastern Cape
EC126,Ngqushwa,12395,0,0,101,1298,1,267,0,0,10711,17,Eastern Cape
EC127,Nkonkobe,25343,4028,77,666,7797,5,104,38,0,12537,91,Eastern Cape
EC131,Inxuba Yethemba,11628,487,73,1889,8992,28,100,7,36,0,16,Eastern Cape
EC132,Tsolwana,6434,0,0,607,1752,0,0,5,0,4054,16,Eastern Cape
EC133,Inkwanca,4215,0,0,609,3411,6,189,0,0,0,0,Eastern Cape
EC134,Lukanji,37923,512,127,991,26506,2,885,0,70,8816,14,Eastern Cape
