name,mun_code,province,electricity_access,toilet_access,water_access,internet_access,wellfare_measure
South Africa,ZA,South Africa,0.526564557,0.540897704,0.701130669,0.067755842,0.459087193
George,WC044,Western Cape,0.543760587,0.872346768,0.915774723,0.090154102,0.605509045
Bitou,WC047,Western Cape,0.456422018,0.852111777,0.859859604,0.074441359,0.56070869
Knysna,WC048,Western Cape,0.585724798,0.747971976,0.806784661,0.087157696,0.556909783
Laingsburg,WC051,Western Cape,0.680679062,0.835494327,0.971659919,0.018739353,0.626643165
Prince Albert,WC052,Western Cape,0.626892253,0.837188612,0.956386293,0.038167939,0.614658774
Beaufort West,WC053,Mpumalanga,0.682676022,0.935930106,0.971969421,0.050246914,0.660205616
Mkhondo,MP303,Mpumalanga,0.252244107,0.379723024,0.554633023,0.0293866,0.303996689
Victor Khanye,MP311,North West,0.346625767,0.817239859,0.863810084,0.054130419,0.520451532
Mbombela,MP322,North West,0.725430183,0.263028372,0.650715401,0.056172089,0.423836511
Rustenburg,NW373,North West,0.718690086,0.58616975,0.862548295,0.062214177,0.557405577
Ditsobotla,NW384,Northern Cape,0.499203081,0.438736758,0.655085113,0.036019309,0.407261065
Lekwa-Teemane,NW396,Northern Cape,0.529639438,0.920751634,0.974063106,0.025361559,0.612453934
Nama Khoi,NC062,Northern Cape,0.831267993,0.762567381,0.985961394,0.043350281,0.655786762
Ubuntu,NC071,Northern Cape,0.647456536,0.774911319,0.940322581,0.024065041,0.596688869
Siyathemba,NC077,Northern Cape,0.543202927,0.743727093,0.951494642,0.038694773,0.569279859
Tsantsabane,NC085,Western Cape,0.737327189,0.791621746,0.847327068,0.059640906,0.608979227
Phokwane,NC094,Western Cape,0.659208111,0.743540335,0.816238942,0.035908692,0.56372402
Cederberg,WC012,Western Cape,0.670842432,0.853307214,0.937543213,0.04404242,0.62643382
Stellenbosch,WC024,Western Cape,0.708420447,0.933354324,0.864849264,0.159602628,0.666556666
Cape Agulhas,WC033,Eastern Cape,0.617344072,0.899024024,0.907077154,0.090196828,0.628410519
Oudtshoorn,WC045,Eastern Cape,0.556108283,0.781812899,0.87646717,0.055913978,0.567575583
Blue Crane Route,EC102,Eastern Cape,0.582142257,0.818917552,0.90072476,0.045361178,0.586786436
Ikwezi,EC103,Eastern Cape,0.550089982,0.84055355,0.948192771,0.025981873,0.591204544
Makana,EC104,Eastern Cape,0.449942922,0.800835814,0.88373025,0.085747647,0.555064158
Sundays River Valley,EC106,Eastern Cape,0.50987526,0.575741801,0.737713453,0.026203209,0.462383431
Baviaans,EC107,Eastern Cape,0.37230341,0.766202091,0.946689895,0.013256897,0.524613073
Kouga,EC108,Eastern Cape,0.604036582,0.744666034,0.834515067,0.064806538,0.562006055
Kou-Kamma,EC109,Eastern Cape,0.535324869,0.737125749,0.907648556,0.038900571,0.554749936
Mbhashe,EC121,Eastern Cape,0.144008441,0.0733156,0.09731079,0.008674974,0.080827451
Great Kei,EC123,Eastern Cape,0.332288401,0.283530924,0.338857143,0.015937453,0.24265348
Amahlathi,EC124,Eastern Cape,0.172319979,0.22245167,0.400729318,0.014434862,0.202483957
Ngqushwa,EC126,Eastern Cape,0.26477659,0.051665421,0.238763812,0.017939475,0.143286324
Nkonkobe,EC127,Eastern Cape,0.247288503,0.415435404,0.503140349,0.020845313,0.296677393
Inxuba Yethemba,EC131,Eastern Cape,0.563647438,0.878008371,0.951351351,0.055088617,0.612023944
Tsolwana,EC132,Eastern Cape,0.180923663,0.173843954,0.551883045,0.018708027,0.231339672
Inkwanca,EC133,Eastern Cape,0.219832736,0.886660222,0.957698816,0.025521472,0.522428312
Lukanji,EC134,Eastern Cape,0.277498589,0.683903096,0.740202412,0.045557146,0.436790311
Emalahleni,EC136,Eastern Cape,0.232299565,0.155192283,0.308706786,0.018317656,0.178629073
