mun_code,name,province,district,category,lat,lng
BUF,Buffalo City,Eastern Cape,,A,-32.9872,27.8546
NMA,Nelson Mandela Bay,Eastern Cape,,A,-33.9608,25.6022
EC101,Dr Beyers Naude,Eastern Cape,Sarah Baartman,B,-32.4667,24.5333
EC102,Blue Crane Route,Eastern Cape,Sarah Baartman,B,-33.0833,25.9833
EC104,Makana,Eastern Cape,Sarah Baartman,B,-33.3117,26.5267
EC105,Ndlambe,Eastern Cape,Sarah Baartman,B,-33.4833,26.8833
EC106,Sundays River Valley,Eastern Cape,Sarah Baartman,B,-33.45,25.7667
EC108,Kouga,Eastern Cape,Sarah Baartman,B,-33.9667,25.0167
EC109,Kou-Kamma,Eastern Cape,Sarah Baartman,B,-33.75,24.1667
DC10,Sarah Baartman,Eastern Cape,,C,-33.3333,25.6667
EC121,Mbhashe,Eastern Cape,Amathole,B,-32.15,28.5833
EC122,Mnquma,Eastern Cape,Amathole,B,-32.0833,28.0167
EC123,Great Kei,Eastern Cape,Amathole,B,-32.7833,28.0333
EC124,Amahlathi,Eastern Cape,Amathole,B,-32.55,27.3667
EC126,Ngqushwa,Eastern Cape,Amathole,B,-33.0,27.2
EC129,Raymond Mhlaba,Eastern Cape,Amathole,B,-32.5333,26.5
DC12,Amathole,Eastern Cape,,C,-32.5,27.3333
EC131,Inxuba Yethemba,Eastern Cape,Chris Hani,B,-31.8833,25.2333
EC132,Intsika Yethu,Eastern Cape,Chris Hani,B,-31.9333,27.5833
EC133,Emalahleni,Eastern Cape,Chris Hani,B,-31.6333,26.8667
EC134,Engcobo,Eastern Cape,Chris Hani,B,-31.6833,28.0333
EC135,Sakhisizwe,Eastern Cape,Chris Hani,B,-31.6,27.2333
EC136,Enoch Mgijima,Eastern Cape,Chris Hani,B,-31.8667,26.7667
DC13,Chris Hani,Eastern Cape,,C,-31.7833,27.1667
EC141,Elundini,Eastern Cape,Joe Gqabi,B,-31.0667,28.5167
EC142,Senqu,Eastern Cape,Joe Gqabi,B,-30.8833,27.2
EC143,Walter Sisulu,Eastern Cape,Joe Gqabi,B,-31.3,27.05
DC14,Joe Gqabi,Eastern Cape,,C,-31.1,27.6
EC153,Ngquza Hill,Eastern Cape,OR Tambo,B,-31.5333,29.2833
EC154,Port St Johns,Eastern Cape,OR Tambo,B,-31.6167,29.5333
EC155,Nyandeni,Eastern Cape,OR Tambo,B,-31.6333,29.0
EC156,Mhlontlo,Eastern Cape,OR Tambo,B,-31.35,28.9667
EC157,King Sabata Dalindyebo,Eastern Cape,OR Tambo,B,-31.5833,28.7833
DC15,OR Tambo,Eastern Cape,,C,-31.5,29.0
EC441,Matatiele,Eastern Cape,Alfred Nzo,B,-30.3333,28.8
EC442,Umzimvubu,Eastern Cape,Alfred Nzo,B,-30.8833,29.15
EC443,Mbizana,Eastern Cape,Alfred Nzo,B,-31.05,29.85
EC444,Ntabankulu,Eastern Cape,Alfred Nzo,B,-31.1167,29.35
DC44,Alfred Nzo,Eastern Cape,,C,-30.8333,29.3
MAN,Mangaung,Free State,,A,-29.1167,26.2167
FS161,Letsemeng,Free State,Xhariep,B,-30.05,25.9667
FS162,Kopanong,Free State,Xhariep,B,-30.4667,25.6833
FS163,Mohokare,Free State,Xhariep,B,-30.4833,26.85
DC16,Xhariep,Free State,,C,-30.3333,25.8333
FS181,Masilonyana,Free State,Lejweleputswa,B,-28.6833,26.0333
FS182,Tokologo,Free State,Lejweleputswa,B,-28.6667,25.1
FS183,Tswelopele,Free State,Lejweleputswa,B,-28.3167,25.5
FS184,Matjhabeng,Free State,Lejweleputswa,B,-27.9667,26.7667
FS185,Nala,Free State,Lejweleputswa,B,-27.8167,26.2833
DC18,Lejweleputswa,Free State,,C,-28.3,25.9
FS191,Setsoto,Free State,Thabo Mofutsanyana,B,-28.8,27.7
FS192,Dihlabeng,Free State,Thabo Mofutsanyana,B,-28.5333,28.7333
FS193,Nketoana,Free State,Thabo Mofutsanyana,B,-28.1667,28.1
FS194,Maluti-A-Phofung,Free State,Thabo Mofutsanyana,B,-28.5,28.8333
FS195,Phumelela,Free State,Thabo Mofutsanyana,B,-27.65,29.4667
FS196,Mantsopa,Free State,Thabo Mofutsanyana,B,-29.1333,27.3333
DC19,Thabo Mofutsanyana,Free State,,C,-28.5,28.5
FS201,Moqhaka,Free State,Fezile Dabi,B,-27.65,27.2333
FS203,Ngwathe,Free State,Fezile Dabi,B,-27.5667,27.7667
FS204,Metsimaholo,Free State,Fezile Dabi,B,-26.8167,28.6333
FS205,Mafube,Free State,Fezile Dabi,B,-27.25,28.9
DC20,Fezile Dabi,Free State,,C,-27.3333,28.0
EKU,Ekurhuleni,Gauteng,,A,-26.1724,28.2367
JHB,City of Johannesburg,Gauteng,,A,-26.2041,28.0473
TSH,City of Tshwane,Gauteng,,A,-25.7479,28.2293
