title,provider,type,province,sector,description,requirements,deadline,is_active,url
ICT Technical Support Learnership 2025,MICT SETA,learnership,Gauteng,Information Technology,12-month learnership in IT technical support with stipend,Grade 12 with Maths; age 18-35,2025-12-31,True,https://www.mict.org.za/learnerships/
Software Development Learnership,MICT SETA,learnership,Western Cape,Information Technology,12-month learnership in systems development,Grade 12 with Maths and IT; age 18-35,2025-12-31,True,https://www.mict.org.za/learnerships/
Motor Mechanic Learnership,MERSETA,learnership,Gauteng,Manufacturing,36-month trade learnership for automotive mechanics,Grade 12 with Maths and Science; age 18-30,2025-11-30,True,https://www.merseta.org.za/learnership-programmes/
Electrician Learnership,MERSETA,learnership,KwaZulu-Natal,Engineering,36-month electrician trade learnership,N2 Certificate with Maths and Science,2025-11-30,True,https://www.merseta.org.za/learnership-programmes/
Banking Learnership NQF 5,BANKSETA,learnership,Gauteng,Financial Services,12-month banking sector learnership with monthly stipend,Grade 12; age 18-35; SA citizen,2025-10-31,True,https://www.bankseta.org.za/learnerships/
Wealth Management Learnership,BANKSETA,learnership,Western Cape,Financial Services,12-month wealth management learnership,BCom or equivalent; age 18-35,2025-10-31,True,https://www.bankseta.org.za/learnerships/
Water Reticulation Learnership,EWSETA,learnership,Limpopo,Energy,18-month learnership in water and sanitation,Grade 12 with Maths; age 18-35,2025-12-31,True,https://www.ewseta.org.za/learnerships/
YES4Youth Work Experience Programme,YES4Youth,internship,All Provinces,Various,12-month paid work experience for unemployed youth,Grade 12; age 18-34; not employed or studying,2025-12-31,True,https://www.yes4youth.co.za/
Harambee Youth Employment Accelerator,Harambee,training,Gauteng,Various,3-month workplace readiness and job matching programme,Grade 12; age 18-34; unemployed,2025-12-31,True,https://www.harambee.co.za/
SAYouth.mobi Digital Skills Programme,SAYouth.mobi,training,All Provinces,Information Technology,Free online digital skills training and work readiness,Age 15-34; SA citizen or permanent resident,2025-12-31,True,https://sayouth.mobi/
Funza Lushaka Bursary Programme,Department of Basic Education,bursary,All Provinces,Education,Full-cost bursary for students studying teaching,Admitted to BEd programme; SA citizen,2025-09-30,True,https://www.funzalushaka.doe.gov.za/
NSFAS Student Funding,NSFAS,bursary,All Provinces,Various,Full funding for TVET and university students from poor households,SA citizen; household income under R350 000,2025-11-30,True,https://www.nsfas.org.za/
Sasol Bursary Programme,Sasol,bursary,All Provinces,Engineering,Full bursary for engineering and science students,Grade 12 with 70%+ in Maths and Science,2025-08-31,True,https://www.sasol.com/careers/students-graduates
Eskom Bursary Scheme,Eskom,bursary,All Provinces,Engineering,Full bursary covering tuition fees and accommodation,Grade 12 with 60%+ in Maths and Physical Science,2025-09-30,True,https://www.eskom.co.za/careers/bursaries/
Transnet Bursary Programme,Transnet,bursary,All Provinces,Transport,Full bursary for engineering and IT students,Grade 12 with 65%+ in Maths and Science,2025-08-31,True,https://www.transnet.net/Careers/
Anglo American Bursary Programme,Anglo American,bursary,All Provinces,Mining,Full bursary for mining and engineering students,Grade 12 with 65%+ in Maths and Science; SA citizen,2025-07-31,True,https://www.angloamerican.com/careers/students
MERSETA Apprenticeship Programme,MERSETA,learnership,Mpumalanga,Manufacturing,Artisan development programme in fitting and turning,N2 or equivalent; age 18-30,2025-11-30,True,https://www.merseta.org.za/
Construction Learnership,CETA,learnership,Gauteng,Construction,18-month learnership in building and civil construction,Grade 10 minimum; age 18-35,2025-12-31,True,https://www.ceta.org.za/
Tourism Guiding Learnership,CATHSSETA,learnership,KwaZulu-Natal,Tourism,12-month tourism guiding learnership with stipend,Grade 12; age 18-35; good communication skills,2025-11-30,True,https://www.cathsseta.org.za/
Professional Cookery Learnership,CATHSSETA,learnership,Western Cape,Hospitality,18-month professional cookery learnership,Grade 12; age 18-35; passion for cooking,2025-11-30,True,https://www.cathsseta.org.za/
Mining Operations Learnership,Mining Qualifications Authority,learnership,Limpopo,Mining,12-month learnership in surface mining operations,Grade 12 with Maths; age 18-35,2025-12-31,True,https://www.mqa.org.za/
Health Promotion Learnership,HWSETA,learnership,Gauteng,Health,12-month health promotion learnership,Grade 12; age 18-35,2025-10-31,True,https://www.hwseta.org.za/
Community Health Worker Programme,HWSETA,training,Eastern Cape,Health,6-month community health worker training programme,Grade 10 minimum; age 18-45,2025-12-31,True,https://www.hwseta.org.za/
Farm Management Learnership,AgriSETA,learnership,Free State,Agriculture,12-month farm management learnership with stipend,Grade 12; interest in agriculture; age 18-35,2025-11-30,True,https://www.agriseta.co.za/
National Youth Service Programme,NYDA,training,All Provinces,Various,Community service and skills development for youth,Age 18-35; SA citizen; unemployed,2025-12-31,True,https://www.nyda.gov.za/
NYDA Grant Programme,NYDA,job,All Provinces,Various,Grants of up to R100 000 for youth-owned businesses,Age 18-35; SA citizen; viable business plan,2025-12-31,True,https://www.nyda.gov.za/
Shanduka Black Umbrellas Incubation,Shanduka Foundation,training,Gauteng,Various,3-year business incubation programme for entrepreneurs,SA citizen; age 18-40; registered business,2025-12-31,True,https://www.blackumbrellas.org/
Services SETA Business Administration Learnership,Services SETA,learnership,Gauteng,Business Services,12-month business administration learnership,Grade 12; age 18-35; computer literacy,2025-11-30,True,https://www.servicesseta.org.za/
TETA Transport Operations Learnership,TETA,learnership,Gauteng,Transport,12-month road transport operations learnership,Grade 12; valid driver's licence; age 18-35,2025-11-30,True,https://www.teta.org.za/
Shoprite Youth Employment Programme,Shoprite,job,All Provinces,Retail,Entry-level retail positions with on-the-job training,Grade 12; age 18-30,2025-12-31,True,https://www.shopriteholdings.co.za/careers
Discovery Health Internship,Discovery,internship,Gauteng,Health,12-month graduate internship in health administration,Relevant degree or diploma; age 18-30,2025-09-30,True,https://www.discovery.co.za/corporate/careers
INSETA Short-term Insurance Learnership,INSETA,learnership,Gauteng,Financial Services,12-month short-term insurance learnership,Grade 12; age 18-35,2025-10-31,True,https://www.inseta.org.za/learnerships/
