sector,occupation,ofo_code,is_scarce,qualification_required,province_demand
Information Technology,Software Developer,251201,True,National Diploma in IT / BSc Computer Science,Gauteng
Information Technology,Data Engineer,252101,True,BSc Computer Science / BTech IT,Gauteng
Information Technology,Systems Analyst,251101,True,National Diploma in IT,Western Cape
Information Technology,Network Engineer,252301,True,National Diploma in IT / CCNA,Gauteng
Information Technology,Cybersecurity Analyst,252901,True,BSc Computer Science / Certified Ethical Hacker,Gauteng
Information Technology,Database Administrator,252102,True,National Diploma in IT,KwaZulu-Natal
Information Technology,Cloud Architect,251203,True,BSc IT / AWS/Azure Certification,Gauteng
Information Technology,DevOps Engineer,251202,True,BSc Computer Science,Western Cape
Engineering,Electrical Engineer,214101,True,BEng Electrical Engineering,Gauteng
Engineering,Civil Engineer,214201,True,BEng Civil Engineering,Gauteng
Engineering,Mechanical Engineer,214401,True,BEng Mechanical Engineering,KwaZulu-Natal
Engineering,Chemical Engineer,214501,True,BEng Chemical Engineering,Mpumalanga
Engineering,Industrial Engineer,214601,True,BEng Industrial Engineering,Gauteng
Engineering,Mining Engineer,214701,True,BEng Mining Engineering,Limpopo
Engineering,Metallurgical Engineer,214901,True,BEng Metallurgical Engineering,North West
Engineering,Electrical Engineering Technician,311301,True,National Diploma in Electrical Engineering,Eastern Cape
Engineering,Civil Engineering Technician,311201,True,National Diploma in Civil Engineering,Free State
Health,Medical Doctor (General Practitioner),221101,True,MBChB,All Provinces
Health,Specialist Physician,221201,True,MBChB + MMed,Gauteng
Health,Professional Nurse,222101,True,BCur Nursing,All Provinces
Health,Pharmacist,226201,True,BPharm,Gauteng
Health,Dentist,226101,True,BDS / BChD,Western Cape
Health,Radiographer,226301,True,National Diploma in Radiography,KwaZulu-Natal
Health,Physiotherapist,226401,True,BSc Physiotherapy,Gauteng
Health,Occupational Therapist,226501,True,BSc Occupational Therapy,Eastern Cape
Health,Clinical Psychologist,263401,True,MA Clinical Psychology,All Provinces
Health,Optometrist,226601,True,BOptom,Limpopo
Financial Services,Chartered Accountant,241101,True,BCom Honours + CTA + SAICA Board Exam,Gauteng
Financial Services,Financial Manager,121101,True,BCom Accounting / BCom Finance,Western Cape
Financial Services,Actuary,212101,True,BSc Actuarial Science + ASSA Fellowship,Gauteng
Financial Services,Auditor,241201,True,BCom Accounting + CIA/SAICA,Gauteng
Financial Services,Tax Specialist,241301,True,BCom Honours Tax / LLB + HDip Tax,Gauteng
Financial Services,Risk Analyst,241901,True,BCom Risk Management,Gauteng
Financial Services,Compliance Officer,242201,True,BCom / LLB,Western Cape
Agriculture,Agricultural Scientist,213201,True,BSc Agriculture,Free State
Agriculture,Veterinarian,225101,True,BVSc,Gauteng
Agriculture,Agricultural Engineer,214801,True,BEng Agricultural Engineering,KwaZulu-Natal
Agriculture,Food Technologist,213401,True,BSc Food Science,Western Cape
Education,Mathematics Teacher (Secondary),233401,True,BEd / PGCE with Mathematics,All Provinces
Education,Physical Science Teacher (Secondary),233402,True,BEd / PGCE with Physical Sciences,All Provinces
Education,Technology Teacher (Secondary),233403,True,BEd / PGCE with Technology,Eastern Cape
Education,Foundation Phase Teacher,234101,True,BEd Foundation Phase,All Provinces
Trades,Electrician,741201,True,N3 + Trade Test (Electrician),All Provinces
Trades,Plumber,712101,True,N2 + Trade Test (Plumbing),Gauteng
Trades,Welder,721201,True,N2 + Trade Test (Welding),KwaZulu-Natal
Trades,Fitter and Turner,723101,True,N3 + Trade Test (Fitting),Mpumalanga
Trades,Millwright,723301,True,N4 + Trade Test (Millwright),North West
Trades,Boilermaker,721301,True,N2 + Trade Test (Boilermaking),Limpopo
Trades,Diesel Mechanic,723201,True,N3 + Trade Test (Diesel),Gauteng
Trades,Instrument Mechanician,741101,True,N4 + Trade Test (Instrumentation),Mpumalanga
Legal,Advocate,261101,True,LLB + Bar Exam,Gauteng
Legal,Attorney,261201,True,LLB + Articles,All Provinces
Transport,Aircraft Pilot,315101,True,Commercial Pilot License,Gauteng
Transport,Marine Engineer,314201,True,National Diploma Marine Engineering,KwaZulu-Natal
