name,provider,province,duration_months,cost,sector,qualification,estimated_employment_rate,url
ICT Technical Support Learnership,MICT SETA,Gauteng,12,0,Information Technology,NQF Level 4 - IT Technical Support,65,https://www.mict.org.za/learnerships/
Software Development Learnership,MICT SETA,Western Cape,12,0,Information Technology,NQF Level 5 - Systems Development,70,https://www.mict.org.za/learnerships/
Automotive Motor Mechanic Learnership,MERSETA,Gauteng,36,0,Manufacturing,NQF Level 4 - Motor Mechanic,72,https://www.merseta.org.za/learnership-programmes/
Electrical Engineering Learnership,MERSETA,KwaZulu-Natal,36,0,Engineering,NQF Level 4 - Electrician,75,https://www.merseta.org.za/learnership-programmes/
Fitting and Turning Learnership,MERSETA,Mpumalanga,36,0,Manufacturing,NQF Level 4 - Fitter and Turner,70,https://www.merseta.org.za/learnership-programmes/
Banking NQF 5 Learnership,BANKSETA,Gauteng,12,0,Financial Services,NQF Level 5 - Banking,68,https://www.bankseta.org.za/learnerships/
Wealth Management Learnership,BANKSETA,Western Cape,12,0,Financial Services,NQF Level 6 - Wealth Management,72,https://www.bankseta.org.za/learnerships/
Short-term Insurance Learnership,INSETA,Gauteng,12,0,Financial Services,NQF Level 4 - Short-term Insurance,60,https://www.inseta.org.za/learnerships/
Energy and Water Sector Learnership,EWSETA,Limpopo,18,0,Energy,NQF Level 4 - Water Reticulation,65,https://www.ewseta.org.za/learnerships/
Electrical Infrastructure Construction Learnership,EWSETA,Eastern Cape,24,0,Energy,NQF Level 3 - Electrical Infrastructure,68,https://www.ewseta.org.za/learnerships/
Tourism Guiding Learnership,CATHSSETA,KwaZulu-Natal,12,0,Tourism,NQF Level 4 - Tourism Guiding,55,https://www.cathsseta.org.za/
Professional Cookery Learnership,CATHSSETA,Western Cape,18,0,Hospitality,NQF Level 4 - Professional Cookery,60,https://www.cathsseta.org.za/
Mining Operations Learnership,MQA,Limpopo,12,0,Mining,NQF Level 2 - Mining Operations,70,https://www.mqa.org.za/
Health Promotion Learnership,HWSETA,Gauteng,12,0,Health,NQF Level 5 - Health Promotion,62,https://www.hwseta.org.za/
Community Health Worker Programme,HWSETA,Eastern Cape,6,0,Health,NQF Level 3 - Community Health Work,58,https://www.hwseta.org.za/
Farm Management Learnership,AgriSETA,Free State,12,0,Agriculture,NQF Level 5 - Farm Management,55,https://www.agriseta.co.za/
YES4Youth Corporate Programme,YES4Youth,All Provinces,12,0,Various,Work Experience Certificate,45,https://www.yes4youth.co.za/
Harambee Youth Employment Accelerator,Harambee,Gauteng,3,0,Various,Workplace Readiness Certificate,55,https://www.harambee.co.za/
National N Diploma Electrical Engineering,Ekurhuleni East TVET College,Gauteng,36,8500,Engineering,National N Diploma - Electrical Engineering,65,https://www.eec.edu.za/
National N Diploma IT,College of Cape Town TVET,Western Cape,36,7500,Information Technology,National N Diploma - IT,60,https://www.cct.edu.za/
Welding Learnership,MERSETA,North West,24,0,Manufacturing,NQF Level 3 - Welding,68,https://www.merseta.org.za/learnership-programmes/
Construction Learnership,CETA,Gauteng,18,0,Construction,NQF Level 3 - Building and Civil Construction,62,https://www.ceta.org.za/
Plumbing Learnership,CETA,KwaZulu-Natal,24,0,Construction,NQF Level 4 - Plumbing,65,https://www.ceta.org.za/
Business Administration Learnership,Services SETA,Gauteng,12,0,Business Services,NQF Level 4 - Business Administration,50,https://www.servicesseta.org.za/
Transport Operations Learnership,TETA,Gauteng,12,0,Transport,NQF Level 4 - Road Transport Operations,58,https://www.teta.org.za/
