code,period,population,children_0_14,youth_15_34,working_age_15_64,elderly_65_plus,source
BUF,2026,877764,224210,257574,572211,81343,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
BUF,2027,881405,220385,257954,575524,85496,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
BUF,2028,885188,217560,258017,578285,89343,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
BUF,2029,889080,215008,258622,581183,92890,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
BUF,2030,892977,213339,259158,583429,96209,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
CPT,2026,5115625,1071283,1624500,3619732,424610,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
CPT,2027,5202145,1070060,1645338,3686793,445293,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
CPT,2028,5288413,1069810,1666243,3752421,466183,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
CPT,2029,5374879,1069214,1689171,3818382,487283,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
CPT,2030,5461609,1072814,1708966,3879946,508849,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC1,2026,510778,111437,168334,364471,34869,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC1,2027,518606,111471,169799,370752,36384,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC1,2028,526409,111529,171257,376952,37928,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC1,2029,534227,111466,172942,383242,39519,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC1,2030,542064,111778,174297,389080,41205,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC10,2026,531644,136020,166788,349322,46302,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC10,2027,535951,134984,167986,353748,47219,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC10,2028,540304,134215,169056,357953,48137,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC10,2029,544716,133414,170386,362250,49052,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC10,2030,549159,133091,171458,366081,49988,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC12,2026,785715,215023,241232,467386,103306,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC12,2027,779540,208876,238164,467339,103325,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
DC12,2028,773130,203459,234144,466367,103305,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
