area,measure,period,value,source
ZA,unemployment,Jan-Mar 2008,23.2,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2008,22.6,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2008,22.8,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2008,21.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2009,23.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2009,23.2,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2009,24.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2009,24.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2010,25.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2010,25.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2010,25.4,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2010,23.9,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2011,24.8,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2011,25.6,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2011,25.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2011,23.8,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2012,25.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2012,24.8,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2012,25.2,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2012,24.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2013,25.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2013,25.3,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2013,24.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2013,24.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2014,25.2,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2014,25.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2014,25.4,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2014,24.3,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2015,26.4,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2015,25.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2015,25.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2015,24.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2016,26.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2016,26.6,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2016,27.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2016,26.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2017,27.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2017,27.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2017,27.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2017,26.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2018,26.7,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2018,27.2,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2018,27.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2018,27.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2019,27.6,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2019,29.0,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2019,29.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2019,29.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2020,30.1,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2020,23.3,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2020,30.8,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2020,32.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2021,32.6,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Apr-Jun 2021,34.4,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jul-Sep 2021,34.9,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Oct-Dec 2021,35.3,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
ZA,unemployment,Jan-Mar 2022,34.5,https://www.statssa.gov.za/publications/P0211/QLFS%20Trends%202008-2026Q2.xlsx
