mun_code,mun_name,efficient_measure,wellfare_measure,Opportunity_measure,Province
BUF,Buffalo City,0.999571621,0.574703629,0.3962745268,Eastern Cape
CPT,City of Cape Town,0.9999993532,0.708695779,0.5383982952,Western Cape
DC1,West Coast,0.9999528547,0.712713918,0.7251820859,Western Cape
DC10,Cacadu,0.9996863376,0.661455687,0.585828975,Eastern Cape
DC12,Amathole,0.9996929722,0.258010173,0.3562422914,Eastern Cape
DC13,Chris Hani,0.998932759,0.382382194,0.4096171259,Eastern Cape
DC14,Joe Gqabi,0.9999259463,0.337836395,0.4537425053,Eastern Cape
DC15,O.R.Tambo,0.8290818503,0.17373136,0.3573164399,Eastern Cape
DC16,Xhariep,0.9990655975,0.682325053,0.5548838312,Free State
DC18,Lejweleputswa,0.9788620112,0.684813125,0.3738883045,Free State
DC19,Thabo Mofutsanyane,0.9994533333,0.571394359,0.4047856917,Free State
DC2,Cape Winelands,0.9992409687,0.713670908,0.7268828894,Western Cape
DC20,Fezile Dabi,0.9999406447,0.676326331,0.4159602733,Free State
DC21,Ugu,0.9992596959,0.287873448,0.4209243014,KwaZulu-Natal
DC22,Umgungundlovu,0.9999936887,0.520866911,0.4721827441,KwaZulu-Natal
DC23,Uthukela,0.9983724624,0.328014519,0.3725737836,KwaZulu-Natal
DC24,Umzinyathi,0.9993122819,0.235772549,0.4348047827,KwaZulu-Natal
DC25,Amajuba,0.9970812792,0.554208906,0.3692265106,KwaZulu-Natal
DC26,Zululand,0.9999640086,0.308937344,0.3772818844,KwaZulu-Natal
DC27,Umkhanyakude,0.9955725654,0.175245324,0.3855720348,KwaZulu-Natal
DC28,Uthungulu,1,0.398295342,0.423132107,KwaZulu-Natal
DC29,iLembe,0.9997731193,0.324697388,0.5116947529,KwaZulu-Natal
DC3,Overberg,0.9993571782,0.680925555,0.6802668843,Western Cape
DC30,Gert Sibande,0.9994551481,0.538534472,0.4803838958,Mpumalanga
DC31,Nkangala,0.9996676305,0.538256843,0.4624336396,Mpumalanga
DC32,Ehlanzeni,0.9999917117,0.386202841,0.4043534642,Mpumalanga
DC33,Mopani,0.9992820759,0.242002535,0.3507723553,Limpopo
DC34,Vhembe,0.9952343536,0.231448872,0.3649911961,Limpopo
DC35,Capricorn,0.9997910152,0.403480151,0.3718311172,Limpopo
DC36,Waterberg,0.9999586018,0.439222902,0.5041699714,Limpopo
DC37,Bojanala,0.9994526523,0.478888832,0.4602384106,North West
DC38,Ngaka Modiri Molema,0.9983422218,0.39875261,0.4314929996,North West
DC39,Dr Ruth Segomotsi Mompati,0.9974389931,0.374978439,0.4329271184,North West
DC4,Eden,0.9962132984,0.706404335,0.5797530005,Western Cape
DC40,Dr Kenneth Kaunda,0.9997561803,0.689395456,0.4864030858,North West
DC42,Sedibeng,0.9999980789,0.713566072,0.4384648432,Gauteng
DC43,Sisonke,0.9969124022,0.214061281,0.4286751888,KwaZulu-Natal
DC44,Alfred Nzo,0.9987656701,0.134247986,0.3840324474,Eastern Cape
DC45,John Taolo Gaetsewe,0.9992461622,0.380493247,0.4821737941,Northern Cape
DC47,Sekhukhune,0.9986843099,0.226523933,0.2690729953,Limpopo
DC48,West Rand,0.9998572333,0.63475284,0.4982946116,Gauteng
DC5,Central Karoo,0.9997754162,0.718852518,0.5911318553,Western Cape
DC6,Namakwa,0.9998324098,0.68193479,0.6406872852,Northern Cape
DC7,Pixley ka Seme,0.9984377466,0.660349775,0.5228382895,Northern Cape
