geo_code,geoid,name,Opportunity_prediction,Province
WC044,municipality-WC044,George,0.562616542091,Western Cape
WC047,municipality-WC047,Bitou,0.515563170655,Western Cape
WC048,municipality-WC048,Knysna,0.537141050842,Western Cape
WC051,municipality-WC051,Laingsburg,0.744070953069,Western Cape
WC052,municipality-WC052,Prince Albert,0.590958282794,Western Cape
WC053,municipality-WC053,Beaufort West,0.515716257898,Western Cape
MP303,municipality-MP303,Mkhondo,0.437433160206,Mpumalanga
MP311,municipality-MP311,Victor Khanye,0.540552650835,Mpumalanga
MP322,municipality-MP322,Mbombela,0.461945553969,North West
NW373,municipality-NW373,Rustenburg,0.570716680112,North West
NW384,municipality-NW384,Ditsobotla,0.505313327891,North West
NW396,municipality-NW396,Lekwa-Teemane,0.504805685781,Northern Cape
NC062,municipality-NC062,Nama Khoi,0.551473317462,Northern Cape
NC071,municipality-NC071,Ubuntu,0.56872173434,Northern Cape
NC077,municipality-NC077,Siyathemba,0.593780113755,Northern Cape
NC085,municipality-NC085,Tsantsabane,0.570060328846,Northern Cape
NC094,municipality-NC094,Phokwane,0.440783112944,Western Cape
WC012,municipality-WC012,Cederberg,0.800758189587,Western Cape
WC024,municipality-WC024,Stellenbosch,0.522767783931,Western Cape
WC033,municipality-WC033,Cape Agulhas,0.764061228952,Western Cape
WC045,municipality-WC045,Oudtshoorn,0.526429987196,Eastern Cape
EC102,municipality-EC102,Blue Crane Route,0.466810513902,Eastern Cape
EC103,municipality-EC103,Ikwezi,0.657687038868,Eastern Cape
EC104,municipality-EC104,Makana,0.451129417341,Eastern Cape
EC106,municipality-EC106,Sundays River Valley,0.617548107089,Eastern Cape
EC107,municipality-EC107,Baviaans,0.569564257523,Eastern Cape
EC108,municipality-EC108,Kouga,0.624795953613,Eastern Cape
EC109,municipality-EC109,Kou-Kamma,0.800855704753,Eastern Cape
EC121,municipality-EC121,Mbhashe,0.3850341678,Eastern Cape
EC123,municipality-EC123,Great Kei,0.480508833283,Eastern Cape
EC124,municipality-EC124,Amahlathi,0.450047248804,Eastern Cape
EC126,municipality-EC126,Ngqushwa,0.273847010928,Eastern Cape
EC127,municipality-EC127,Nkonkobe,0.46892882055,Eastern Cape
EC131,municipality-EC131,Inxuba Yethemba,0.559407692136,Eastern Cape
EC132,municipality-EC132,Tsolwana,0.473467568797,Eastern Cape
