lat,lng,suburb,street,code,ward_id,source,fault_key,first_seen,last_seen,open_hours
-25.7464403,28.0927119,LOTUS GARDENS X12,AJOWAN STREET,TSH,79900007,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7464,28.0927|LOTUS GARDENS X12#0",2026-09-26 14:25:10.204350+00:00,2026-09-26 14:25:10.204350+00:00,0.0
-25.7307951,28.193713,CAPITAL PARK,SIXTH AVENUE,TSH,79900053,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7308,28.1937|CAPITAL PARK#0",2026-09-26 04:51:34.754667+00:00,2026-09-26 14:25:10.204350+00:00,9.56
-25.8088421,28.0891157,CHRISTOBURG,KALKHEUWEL STREET,TSH,79900061,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.8088,28.0891|CHRISTOBURG#0",2026-09-26 14:25:10.204350+00:00,2026-09-26 14:25:10.204350+00:00,0.0
-25.4889626,28.0950856,SOSHANGUVE-BB,STAND 417,TSH,79900094,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.4890,28.0951|SOSHANGUVE-BB#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.4428306,28.1206003,SOSHANGUVE-V,FUNEKILE STREET,TSH,79900025,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.4428,28.1206|SOSHANGUVE-V#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.580742,28.1022409,SOSHANGUVE-VV,STAND 522,TSH,79900090,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.5807,28.1022|SOSHANGUVE-VV#0",2026-09-24 17:14:48.543546+00:00,2026-09-26 14:25:10.204350+00:00,45.17
-25.4487265,28.1224443,SOSHANGUVE-W,STAND,TSH,79900027,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.4487,28.1224|SOSHANGUVE-W#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.4505747,28.1223429,SOSHANGUVE-W,LEGAKABJE STREET,TSH,79900027,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.4506,28.1223|SOSHANGUVE-W#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.7009793,28.3986176,MAMELODI X05,MMUTLANA STREET,TSH,79900016,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7010,28.3986|MAMELODI X05#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.738058,28.3592288,NELLMAPIUS X04,GONTSE STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7381,28.3592|NELLMAPIUS X04#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.7416158,28.3603815,NELLMAPIUS X04,SAAMROEP STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7416,28.3604|NELLMAPIUS X04#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.745468,28.3627447,NELLMAPIUS X04,HLAGISA STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7455,28.3627|NELLMAPIUS X04#0",2026-09-24 11:52:55.215094+00:00,2026-09-26 14:25:10.204350+00:00,50.54
-25.7434884,28.3505129,NELLMAPIUS X04,MMAPULA STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7435,28.3505|NELLMAPIUS X04#0",2026-09-26 14:25:10.204350+00:00,2026-09-26 14:25:10.204350+00:00,0.0
-25.7430118,28.3517828,NELLMAPIUS X04,LEBISA STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7430,28.3518|NELLMAPIUS X04#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.7416901,28.3504242,NELLMAPIUS X04,LESEKO STREET,TSH,79900086,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7417,28.3504|NELLMAPIUS X04#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.7297372,28.3729081,NELLMAPIUS X06,IGOLIDE STREET,TSH,79900015,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.7297,28.3729|NELLMAPIUS X06#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.8293753,28.3280141,RIETFONTEIN 375-JR,FLAMING ROCK CRESCENT,TSH,79900091,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.8294,28.3280|RIETFONTEIN 375-JR#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
-25.8379997,28.3276683,RIETFONTEIN 375-JR,JOLLIFY MAIN ROAD,TSH,79900091,https://powerfailure.tshwane.gov.za/Tshwanesms/Map.aspx,"-25.8380,28.3277|RIETFONTEIN 375-JR#0",2026-09-23 15:54:26.696532+00:00,2026-09-26 14:25:10.204350+00:00,70.51
